site_project_id,n,mean_actual,mean_pred,mean_residual
vistapark,1,60000.0,42072.78180849524,-17927.218191504762
akven_armoni_teras,1,51415.09,35569.684544451266,-15845.405455548731
twinkle_life,1,56250.0,40499.72207666571,-15750.277923334288
teras_marmara,1,45526.32,31771.49056198114,-13754.82943801886
zeray_korupark,1,46036.59,33012.47546387896,-13024.114536121037
havuzlu,1,55625.0,43982.72284963192,-11642.277150368078
rozna,1,48588.79,38280.662531491515,-10308.127468508486
lotus,1,54166.67,45742.265430494896,-8424.404569505103
ustgrup_lifeside,2,49882.74,41622.50586824217,-8260.234131757825
yonca_evleri_2,1,41666.67,33478.6210529683,-8188.048947031697
oluklu_life,2,42989.17,35121.70387645949,-7867.466123540507
yuz_yapi_dan_deniz_ve_vadi,1,43421.05,35791.15039166124,-7629.899608338761
esila_park,1,40217.39,33148.28250001061,-7069.10749998939
orka_life_2,2,43646.825,36932.1163055457,-6714.708694454301
terra_nova,1,41923.08,35818.29123674472,-6104.788763255281
pasadag_mah_full_deniz_manzarali,1,46470.59,41356.52455395015,-5114.065446049848
panoramakent_1,4,45458.335,40751.92625651369,-4706.408743486309
zeray_perla,6,47279.02,43041.27927318875,-4237.740726811244
supark_megaron,1,41319.44,37386.74495868518,-3932.6950413148224
mamik_reform,2,43276.994999999995,39520.15706614149,-3756.837933858511
manaryuvacik,1,48529.41,44886.39023526011,-3643.0197647398963
basiskele_de_havuzlu,2,44494.649999999994,41744.81239626891,-2749.8376037310845
emar_delux_yuvacik,2,41271.55,38861.36873517306,-2410.1812648269406
royal_country,2,43304.2,41340.8842642598,-1963.3157357402015
oksijen_konaklari,2,44375.0,42615.09502694002,-1759.90497305998
zeray_kent,2,37916.665,36208.18915969206,-1708.4758403079395
asrin,1,42857.14,41475.19497715641,-1381.945022843589
yesilyurtda,1,42500.0,41730.891885530305,-769.1081144696946
zeray_gunesi,6,43570.47166666667,42818.57839006994,-751.8932765967269
mavi_yesil_park,3,31199.436666666665,30509.983980294583,-689.4526863720845
royal_park,1,35714.29,35541.40574956779,-172.88425043220923
missing,296,35601.74972972973,35549.207757883916,-52.54197184580877
megatron_azize,2,41303.104999999996,41380.4133250765,77.30832507649757
bahcekent_konutlari,4,33430.34,33659.18585697777,228.8458569777713
boyunegmez_yasam,1,35384.62,35786.14494534675,401.5249453467477
hanzade_palace,1,36131.39,36618.675432756245,487.2854327562454
venedik,1,33571.43,34077.509105309226,506.07910530922527
basiskelede_prejtijli,1,35000.0,35528.57183381911,528.5718338191073
helin,2,35476.31,36573.277905897965,1096.9679058979636
yuvacik_vadi,3,35118.28,36326.66836538932,1208.3883653893233
kirazli_kent,2,37569.445,38780.142639795406,1210.6976397954022
ust_park_yuvacik,1,36416.18,37759.79946938904,1343.619469389043
mahall_yuvacik_2,1,41666.67,43085.8962787504,1419.2262787504005
dream_gardens,1,33483.87,35015.44694928144,1531.576949281436
cati_dubleks_havuzlu,1,34545.45,36424.26341151774,1878.8134115177454
zeraykent_yuvacik,2,36898.56,39468.9664303271,2570.4064303270934
cadde_53,1,31176.47,33828.29642774352,2651.8264277435155
dongelde,1,30774.19,33703.93481853768,2929.7448185376816
doga,1,32173.91,35531.40315984012,3357.49315984012
lotus_mahza,1,43241.38,46894.56888742052,3653.188887420525
torunogullari_park_2,1,29679.14,33482.11275624682,3802.972756246818
akasya_modern,1,29444.44,33307.3227653279,3862.882765327904
memur_sen,1,28500.0,33004.10793306413,4504.10793306413
yuvana_evleri,4,28317.8125,33096.114556524044,4778.302056524049
iskar_elit_kent,2,30745.340000000004,36162.18163467711,5416.84163467711
remax_dreamden_fatih_de,1,32333.33,38186.66727721312,5853.337277213119
my_yaka,2,28484.85,34435.72085301865,5950.870853018647
may_kent_2,1,27586.21,34468.171881198956,6881.961881198957
royal_city_akkurt,2,34981.58,41974.13368801348,6992.553688013475
listing_portal_vadi_yuvacik,1,31843.75,39599.16797438898,7755.417974388984
