model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_outside_mean,0.024974126264304886,1
gradient_boosting,,num__detail_effect_total_mean,0.016774831828277263,2
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.01514171091612306,3
gradient_boosting,,num__detail_effect_subtype_mean,0.012305568804826857,4
gradient_boosting,,num__detail_effect_subtype_sum,0.011694800205549173,5
gradient_boosting,,num__detail_effect_inside_sum,0.010498480509697303,6
gradient_boosting,,num__detail_effect_outside_sum,0.006123563635139205,7
extra_trees,,num__detail_effect_total_mean,0.00548963836747687,8
extra_trees,,num__detail_effect_subtype_mean,0.0052341506518708844,9
extra_trees,,num__detail_effect_subtype_sum,0.005201351783581267,10
extra_trees,,num__detail_effect_outside_x_attr_quality,0.005134838508938545,11
extra_trees,,num__detail_effect_outside_sum,0.004945155457809823,12
extra_trees,,num__detail_effect_inside_x_attr_quality,0.004583586216659954,13
extra_trees,,num__detail_effect_outside_mean,0.004415397612851319,14
extra_trees,,num__detail_effect_total_x_attr_quality,0.004328455490441707,15
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.004328147383328769,16
gradient_boosting,,num__detail_effect_front_sum,0.004099853495216822,17
extra_trees,,num__detail_effect_inside_sum,0.004087870679460589,18
extra_trees,,num__detail_effect_county_total_sum,0.003974427621060283,19
extra_trees,,num__detail_effect_total_sum,0.003889749453983153,20
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.0038384078941282964,21
extra_trees,,num__detail_effect_inside_mean,0.003813679329691355,22
extra_trees,,num__detail_effect_district_total_sum,0.0034953410836744275,23
gradient_boosting,,num__detail_effect_inside_mean,0.003455672643903547,24
gradient_boosting,,num__detail_effect_view_mean,0.0030561502694782796,25
extra_trees,,num__detail_effect_front_sum,0.0027271402071020598,26
extra_trees,,num__detail_effect_total_abs_sum,0.0025590242617769677,27
extra_trees,,num__detail_effect_view_mean,0.002497485369685231,28
extra_trees,,num__detail_effect_view_sum,0.0024617985294777735,29
extra_trees,,num__detail_effect_front_mean,0.0024424342159405383,30
extra_trees,,num__detail_effect_view_x_location_baseline,0.0023926217869613443,31
gradient_boosting,,num__detail_effect_total_sum,0.002366772101772293,32
extra_trees,,num__detail_effect_negative_count,0.00227467672676887,33
gradient_boosting,,num__detail_effect_front_mean,0.0022343720539953777,34
extra_trees,,num__detail_effect_level_code,0.0021732616282363324,35
extra_trees,,num__location_quality_x_detail_effect_total,0.0020013634990193358,36
extra_trees,,num__detail_effect_positive_count,0.0019423671876641652,37
extra_trees,,num__detail_effect_nearby_mean,0.0018646944083850455,38
extra_trees,,num__detail_effect_transport_sum,0.0018604788533952677,39
extra_trees,,num__detail_effect_transport_mean,0.0018073996850612886,40
extra_trees,,num__detail_effect_used_count,0.0017612262547302866,41
extra_trees,,num__detail_effect_nearby_sum,0.0017344609764497502,42
gradient_boosting,,num__detail_effect_nearby_mean,0.0017332031369579459,43
gradient_boosting,,num__detail_effect_negative_count,0.0017283401213441538,44
gradient_boosting,,num__detail_effect_total_abs_sum,0.0012538116262680275,45
gradient_boosting,,num__detail_effect_county_total_sum,0.0010283555454968765,46
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0010061027023506352,47
gradient_boosting,,num__detail_effect_transport_mean,0.0009405928912653628,48
gradient_boosting,,num__detail_effect_district_total_sum,0.0008260014348864247,49
gradient_boosting,,num__detail_effect_used_count,0.0007588190954060271,50
gradient_boosting,,num__detail_effect_view_sum,0.0006837286351576507,51
gradient_boosting,,num__detail_effect_nearby_sum,0.0006235052038288607,52
gradient_boosting,,num__detail_effect_level_code,0.0003680815535441885,53
gradient_boosting,,num__detail_effect_transport_sum,0.00017741511468110602,54
gradient_boosting,,num__detail_effect_positive_count,0.00017100292200362738,55
gradient_boosting,,num__location_quality_x_detail_effect_total,0.00011535959033182116,56
