district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Tepecik Mh.,1,0.7159841831661782,0.7159841831661782,22880.362869033637,22880.362869033637,31956.52,54836.88286903364
Ulaşlı Yalı Mh.,2,0.46734953435110144,0.46734953435110144,11883.033964263099,11883.033964263099,27393.165,26379.371540448745
Acısu Mh.,1,0.43885149406066376,0.43885149406066376,26873.492536239042,26873.492536239042,61235.96,34362.46746376096
Şevkatiye Mh.,1,0.3484107841322631,0.3484107841322631,9200.222268492573,9200.222268492573,26406.25,35606.47226849257
Yalakdere Mh.,1,0.29414071536415926,0.29414071536415926,16445.139727959162,16445.139727959162,55909.09,39463.950272040835
Durhasan Mh.,1,0.2930422033289541,0.2930422033289541,9190.870170016118,9190.870170016118,31363.64,40554.51017001612
Avcıköy Mh.,1,0.28152861516789385,0.28152861516789385,14389.240017993892,14389.240017993892,51111.11,36721.86998200611
Yuvacık Yakacık Mh.,1,0.25005165112348,0.25005165112348,8174.766094540657,8174.766094540657,32692.31,40867.07609454066
Rahmiye Mah.,6,0.23149129367560903,0.24056443703078917,9411.405407944343,10028.09309860562,42023.53166666667,42061.819562842844
Akçakoca Mh.,22,0.2284378415011007,0.19918109188889413,6024.450490534731,6286.600162277424,27434.883181818182,26393.539666076682
Dereköy Mh.,12,0.21898442592799824,0.1674543048668901,6113.855664257567,4676.360725423443,30411.850833333334,31551.871197870463
Çukurbağ Mh.,27,0.20918772174233505,0.19813332160060604,5759.498449288167,5389.178911598829,27429.102592592593,26685.89521534892
Bahçecik Şehitekrem Mh.,5,0.20659243991517345,0.22311707295791228,8700.041947462258,9048.637839368988,41036.438,39249.0354643468
Sahil Mah.,7,0.20432238089635266,0.20966239174582002,10168.331562132678,6167.569389397511,42624.28428571428,41161.586853128356
Tepecik Mah.,24,0.2019801395208093,0.17354784577700832,5297.658952504102,5136.43930870477,28886.956666666665,29218.729724654146
Arızlı Mh.,2,0.19843580629225183,0.19843580629225183,6468.317872962854,6468.317872962854,32579.364999999998,39047.682872962854
Saraylı Mh.,2,0.1878881073357364,0.1878881073357364,6830.607205043194,6830.607205043194,36350.575,35464.57659685854
Ulaşlı Yavuz Sultan Selim Mh.,8,0.1863850455887539,0.15968287164593498,5948.456461347379,5168.707284857155,30427.38625,30380.331388057468
Seymen Mah.,21,0.1809032354033486,0.1396627471248609,7401.086273281746,5885.316975528411,41955.845714285715,40948.6408800816
Maşukiye Mh.,11,0.18063326132860807,0.15629150760095079,7596.082076920429,7495.981393463306,44085.38363636364,44282.29038967952
Çepni Mh.,10,0.17442753956069434,0.19123211141908145,5956.251956231207,7414.644807124263,34477.428,37461.10809951872
Yenidoğan Mh.,15,0.17246287393137427,0.14671223212748152,5007.299764653043,5185.321975105657,31812.518,32091.17873790164
Karabaş Mh.,54,0.17127767290793702,0.15700985060115719,4921.009259368801,3722.2146274508978,28882.636111111115,27991.895266239284
Uzuntarla Mh.,5,0.1708161121872534,0.14211642480139225,5999.777333418787,6790.007278547462,36251.865999999995,39535.64042199981
Değirmendere Yalı Mh.,34,0.1679007315696714,0.1702698579038589,5439.992252189181,4447.581900063158,32487.920588235294,30659.13519109757
Atakent Mah.,16,0.16767117235224674,0.14764773120849378,7049.357455975478,5583.785668486587,41882.774375,40276.480352130835
Değirmendere Merkez Mh.,39,0.16658476271691855,0.16780555186860446,5162.4626563219135,3930.0108017704442,29470.965897435897,28001.847518560335
Doğan Mh.,14,0.16380969580028487,0.15077271414846363,5841.142049488153,4406.022589432387,35839.525714285715,36022.59186027875
Hacıhasan Mh.,23,0.16368099839888883,0.1513471792455177,4443.270561851641,3823.5080048281925,27935.45347826087,27798.32230975595
Yukarı Mh.,23,0.16223764802833326,0.12364857625535612,6371.3335480547485,5594.592542428392,42459.23173913043,42118.785096562475
Yüzbaşılar Mh.,51,0.15991602761501875,0.12553701312448842,4432.049396037491,3807.4222780862947,27432.452352941178,26099.84921723602
4 Temmuz Mah.,166,0.15948170576692594,0.13133493183596484,5581.173038193896,4410.681691133368,35666.80530120482,34789.60295702469
