raw_name,proposed_canonical_id,reason,frequency,mean_residual,needs_manual_review,mean_price,median_price
eskidjiden izmit iztop park,eskidjiden_iztop_park,low_freq_kept_separate_review,1,,True,,
Vadi İzmit,ritim_vadi_evleri,near_dict_not_merged_conservative,16,,True,,
Kavanium İzmit Evleri 819 Ada,kavanium_evleri_819_ada,low_freq_kept_separate_review,2,,True,,
myra-3 sitesi,myra_3,low_freq_kept_separate_review,1,,True,,
Çepni Corner Park,cepni_corner_park,low_freq_kept_separate_review,1,,True,,
Yeni Akarca Konutları,akarca,low_freq_kept_separate_review,1,,True,,
alikahya ve dumlupinar sinirinda site,alikahya_ve_dumlupinar_sinirinda,low_freq_kept_separate_review,1,,True,,
Up Town Evleri 2. Etap,up_town_evleri_2,low_freq_kept_separate_review,1,,True,,
Up Town Evleri 1. Etap,up_town_evleri_1,low_freq_kept_separate_review,2,,True,,
Up Town Evleri 1. Etap,up_town_evleri_1,low_freq_kept_separate_review,2,,True,,
Vadi İzmit,ritim_vadi_evleri,near_dict_not_merged_conservative,16,,True,,
ten yuvam akarca konutlari,ten_yuvam_akarca,low_freq_kept_separate_review,1,,True,,
Muasır Kent Sitesi,muasir_kent,low_freq_kept_separate_review,1,,True,,
Jasmin Country,jasmin_country,low_freq_kept_separate_review,2,,True,,
Kartanesi Sitesi,kartanesi,low_freq_kept_separate_review,1,,True,,
Vadi İzmit,ritim_vadi_evleri,near_dict_not_merged_conservative,16,,True,,
ekol'den karadenizliler mah./hls yapi' da site,ekol_den_karadenizliler_mah_hls_yapi_da,low_freq_kept_separate_review,1,,True,,
izmit sehir hastanesi karsisi sarkent evleri,sehir_hastanesi_karsisi_sarkent,low_freq_kept_separate_review,1,,True,,
remax dream'den 80 kredi eminevime uygun site,remax_dream_den_80_kredi_eminevime_uygun,low_freq_kept_separate_review,1,,True,,
remax effect ten kocaeli gundogdu bayindirlik konutlari,remax_effect_ten_gundogdu_bayindirlik,low_freq_kept_separate_review,2,,True,,
gundogdu havuzlu asansorlu site,gundogdu_havuzlu_asansorlu,low_freq_kept_separate_review,1,,True,,
Almira Sitesi,almira,low_freq_kept_separate_review,2,,True,,
tarcanlardan gundogdu eren life,tarcanlardan_gundogdu_eren_life,low_freq_kept_separate_review,2,,True,,
Almira Sitesi,almira,low_freq_kept_separate_review,2,,True,,
izmit yesilova liva park,yesilova_liva_park,low_freq_kept_separate_review,1,,True,,
tarcanlar'dan gundogdu eren life,tarcanlar_dan_gundogdu_eren_life,low_freq_kept_separate_review,1,,True,,
izmit kabaoglu satilik havuzlu site,kabaoglu_havuzlu,low_freq_kept_separate_review,1,,True,,
Güney Park Çayırköy,guney_park_cayirkoy,low_freq_kept_separate_review,2,,True,,
Cef City Gölpark,cef_city_golpark,low_freq_kept_separate_review,2,,True,,
MK Teras,mk_teras,low_freq_kept_separate_review,2,,True,,
Yeşilova Konakları,yesilova_konaklari,low_freq_kept_separate_review,1,,True,,
Aslantaş Plus,aslantas_plus,low_freq_kept_separate_review,1,,True,,
izmit arizli toki konutlari,arizli_toki,low_freq_kept_separate_review,1,,True,,
TOKİ Konutları 185. Ada,toki_konutlari_185_ada,low_freq_kept_separate_review,1,,True,,
Terrace,terrace,low_freq_kept_separate_review,1,,True,,
Avlu Residence,avlu,low_freq_kept_separate_review,1,,True,,
Tepe Residence,tepe,low_freq_kept_separate_review,1,,True,,
Anakent Sitesi,anakent,low_freq_kept_separate_review,2,,True,,
Manzara İzmit Evleri,manzara,low_freq_kept_separate_review,2,,True,,
Kavan TRY,kavan_try,low_freq_kept_separate_review,1,,True,,
asayra dan bayindirlik kalici konutlari,asayra_dan_bayindirlik_kalici,low_freq_kept_separate_review,1,,True,,
Cef City Gölpark,cef_city_golpark,low_freq_kept_separate_review,2,,True,,
Güney Park Çayırköy,guney_park_cayirkoy,low_freq_kept_separate_review,2,,True,,
kocaeli izmit cayirkoy premiumda site,cayirkoy_premiumda,low_freq_kept_separate_review,1,,True,,
Uğur Sitesi,ugur,low_freq_kept_separate_review,1,,True,,
Burçin Sitesi,burcin,low_freq_kept_separate_review,2,,True,,
izmit sea life 41 sitesi,sea_life_41,low_freq_kept_separate_review,2,,True,,
İremkent Sitesi,iremkent,low_freq_kept_separate_review,2,,True,,
remax dream'den plaj yolunda site,remax_dream_den_plaj_yolunda,low_freq_kept_separate_review,1,,True,,
kurucesme fatih mahallesi site,kurucesme_fatih_mahallesi,low_freq_kept_separate_review,1,,True,,
Onur Sitesi,onur,low_freq_kept_separate_review,2,,True,,
izmit kurucesmenin ustu site,kurucesmenin_ustu,low_freq_kept_separate_review,1,,True,,
Vista Evleri,vista,low_freq_kept_separate_review,2,,True,,
plajyolu avangard projesi,plajyolu_avangard,low_freq_kept_separate_review,1,,True,,
Vista Evleri,vista,low_freq_kept_separate_review,2,,True,,
remax plaj yolu deniz manzarali site,remax_plaj_yolu_deniz_manzarali,low_freq_kept_separate_review,1,,True,,
Yelken Park Evleri,yelken_park,low_freq_kept_separate_review,2,,True,,
Zorlu Sitesi,zorlu,low_freq_kept_separate_review,2,,True,,
tanyildiz-izmit/kurucesme butik site,tanyildiz_izmit_kurucesme_butik,low_freq_kept_separate_review,1,,True,,
Balaban Yüksel Sitesi,balaban_yuksel,low_freq_kept_separate_review,2,,True,,
plajyolunda site,plajyolunda,low_freq_kept_separate_review,2,,True,,
Erdağı Sitesi,erdagi,low_freq_kept_separate_review,1,,True,,
La Vida Park Evleri,la_vida_park,low_freq_kept_separate_review,1,,True,,
Zorlu Sitesi,zorlu,low_freq_kept_separate_review,2,,True,,
izmit plajyolunda site,plajyolunda,low_freq_kept_separate_review,2,,True,,
Türköz Sitesi,turkoz,low_freq_kept_separate_review,2,,True,,
Seka Akgün Sitesi,seka_akgun,low_freq_kept_separate_review,1,,True,,
Onur Siteleri,onur_siteleri,low_freq_kept_separate_review,1,,True,,
kurucesme oluklu sitesi,kurucesme_oluklu,low_freq_kept_separate_review,1,,True,,
Türköz Sitesi,turkoz,low_freq_kept_separate_review,2,,True,,
sifir satilik izmit sirintepe sea life,sifir_sirintepe_sea_life,low_freq_kept_separate_review,1,,True,,
Soğucak Evleri,sogucak,low_freq_kept_separate_review,1,,True,,
