building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,585,5.148717948717949,0.0,4,0,0.8550952873693412,27460.147572649574
26-30 arası,415,4.691566265060241,0.0,1,0,0.8559999626047616,28543.812409638555
16-20 arası,206,2.2864077669902914,0.0,0,0,0.9690089311868831,35885.83932038835
5,278,2.197841726618705,0.0,0,0,1.0088269461517805,40081.814496402876
2,206,2.1941747572815533,0.0,0,0,1.0133997609830971,41854.85223300971
11-15 arası,781,2.175416133162612,0.0,0,0,0.9957631359668684,39677.26417413572
0 (Yapım Aşamasında),179,2.1731843575418996,0.0,0,0,1.048943093866565,45358.292402234634
3,197,2.1319796954314723,0.0,0,0,1.0305790652453413,41236.08126903553
6-10 arası,1148,2.047909407665505,0.0,0,0,1.0021735816928645,39176.28763937282
1,261,1.9693486590038314,0.0,0,0,1.0244259247146241,41322.642873563214
0 (Oturuma Hazır),1996,1.968937875751503,0.0,0,0,1.0168036701623304,40684.464183366734
4,155,1.961290322580645,0.0,0,0,1.0397538907987878,41030.00180645161
21-25 arası,242,1.9090909090909092,0.0,0,0,0.9578320840998612,33980.545
missing,18,0.9444444444444444,0.0,0,0,1.1231392928851578,42992.14388888889
