model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_outside_mean,0.02280173104796288,1
gradient_boosting,,num__detail_effect_total_mean,0.019349919956141767,2
gradient_boosting,,num__detail_effect_subtype_sum,0.01798712136004259,3
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.015540446916157752,4
gradient_boosting,,num__detail_effect_subtype_mean,0.014924229834946373,5
extra_trees,,num__detail_effect_subtype_sum,0.010266000254133288,6
gradient_boosting,,num__detail_effect_inside_sum,0.010191681184351703,7
extra_trees,,num__detail_effect_subtype_mean,0.00936240985652188,8
gradient_boosting,,num__detail_effect_outside_sum,0.006760015283143511,9
extra_trees,,num__detail_effect_total_mean,0.00586889887677434,10
gradient_boosting,,num__detail_effect_inside_mean,0.005451258382206554,11
extra_trees,,num__detail_effect_outside_x_attr_quality,0.005004372165800624,12
extra_trees,,num__detail_effect_inside_x_attr_quality,0.004774234326351425,13
extra_trees,,num__detail_effect_total_x_attr_quality,0.004708055090266347,14
extra_trees,,num__detail_effect_outside_sum,0.004575652548789521,15
extra_trees,,num__detail_effect_outside_mean,0.00449748013113147,16
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.004269559847495948,17
extra_trees,,num__detail_effect_inside_mean,0.0042218333951431946,18
extra_trees,,num__detail_effect_inside_sum,0.004190954700975651,19
extra_trees,,num__detail_effect_total_sum,0.004068936600362675,20
extra_trees,,num__detail_effect_county_total_sum,0.003842415621277432,21
gradient_boosting,,num__detail_effect_front_sum,0.0034637232707924537,22
extra_trees,,num__detail_effect_district_total_sum,0.0031641995055294993,23
extra_trees,,num__detail_effect_view_mean,0.00293014469055487,24
extra_trees,,num__detail_effect_front_sum,0.0027824188974415894,25
gradient_boosting,,num__detail_effect_total_sum,0.002590605707887434,26
extra_trees,,num__detail_effect_front_mean,0.0025564866948037637,27
extra_trees,,num__detail_effect_total_abs_sum,0.002511577237076783,28
extra_trees,,num__detail_effect_view_x_location_baseline,0.0024625900075769926,29
extra_trees,,num__detail_effect_negative_count,0.0024348041551574507,30
extra_trees,,num__detail_effect_view_sum,0.002429471787465128,31
gradient_boosting,,num__detail_effect_view_mean,0.00234379697752738,32
extra_trees,,num__detail_effect_level_code,0.0022486341379021847,33
gradient_boosting,,num__detail_effect_total_abs_sum,0.002142542724666783,34
extra_trees,,num__location_quality_x_detail_effect_total,0.0020876416839930296,35
gradient_boosting,,num__detail_effect_front_mean,0.0020088438578784204,36
extra_trees,,num__detail_effect_positive_count,0.0019580412484296018,37
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.0019342023033344332,38
extra_trees,,num__detail_effect_nearby_sum,0.0019021106044923568,39
extra_trees,,num__detail_effect_nearby_mean,0.0018808009139232513,40
extra_trees,,num__detail_effect_transport_sum,0.001865411902873037,41
extra_trees,,num__detail_effect_used_count,0.0018351525868135496,42
extra_trees,,num__detail_effect_transport_mean,0.0018217248442922533,43
gradient_boosting,,num__detail_effect_county_total_sum,0.0017917063453009676,44
gradient_boosting,,num__detail_effect_transport_mean,0.0014398902208551036,45
gradient_boosting,,num__detail_effect_district_total_sum,0.0010335155789770662,46
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0010054281413917551,47
gradient_boosting,,num__detail_effect_view_sum,0.0008447249253188245,48
gradient_boosting,,num__detail_effect_used_count,0.000780475848938773,49
gradient_boosting,,num__detail_effect_negative_count,0.0007086011131752595,50
gradient_boosting,,num__detail_effect_nearby_mean,0.0006905596418649546,51
gradient_boosting,,num__detail_effect_positive_count,0.0002821849139488649,52
gradient_boosting,,num__detail_effect_nearby_sum,0.00022160741113071372,53
gradient_boosting,,num__detail_effect_transport_sum,8.710776540558007e-05,54
gradient_boosting,,num__detail_effect_level_code,0.0,55
gradient_boosting,,num__location_quality_x_detail_effect_total,0.0,56
