building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,585,0.15965198005422646,0.13002990898918484,4386.075782137603,3451.19314623416,27460.147572649574,27371.557818769194
26-30 arası,415,0.14394455791147767,0.12031350965166444,4099.472889686983,3280.613057963972,28543.812409638555,28137.581387087786
21-25 arası,242,0.13463006510885245,0.10062635852485619,4355.672366488876,3394.7737129010147,33980.545,34160.483699363765
16-20 arası,206,0.13245727179092961,0.09471219976686396,4618.556374123797,3150.8657730408777,35885.83932038835,36067.356139316755
missing,18,0.13136946728284365,0.1161473597740976,5609.3966263835,5135.561138574452,42992.14388888889,41420.86234978286
5,278,0.12519927663250233,0.09923597251108773,5050.359134023616,3736.8800955867664,40081.814496402876,39286.00428479633
3,197,0.12356023430072992,0.09962658783703139,5130.056220852007,3997.3561757458374,41236.08126903553,40803.27265528334
6-10 arası,1148,0.12158952112874108,0.09586906120186309,4712.236927363912,3613.169905524166,39176.28763937282,38854.70970729249
2,206,0.12121533036618215,0.10326062292847168,5115.883768480093,3873.8218156197727,41854.85223300971,41395.57233737406
11-15 arası,781,0.11915102749854739,0.0925762983087125,4611.106123248848,3547.8043152061364,39677.26417413572,39472.727458190966
4,155,0.11287561114458702,0.09286935870250776,4631.358044020751,3644.4748248814576,41030.00180645161,40365.332473560076
1,261,0.1089596711012744,0.08211780476048822,4407.280891924072,3423.21887380712,41322.642873563214,41168.443726549456
0 (Yapım Aşamasında),179,0.10556748366617844,0.08366399508153559,4821.915666557305,3834.7255564184925,45358.292402234634,44521.660093601764
0 (Oturuma Hazır),1996,0.09572286838038084,0.07289896971680893,4001.0478953046736,2812.5183400190326,40684.464183366734,40079.38384264518
