feature,importance
num__district_m2_group_target_median,0.09760103952880658
num__district_room_count_target_median,0.06411526430173847
num__attr_total_quality_score,0.055762625346441025
num__attr_effect_building_age_bucket,0.039978914774101246
num__is_old_building,0.02386116067814281
num__attr_m2_per_room,0.02115474304009561
num__location_baseline_m2,0.020793916569219115
num__location_baseline_log,0.01886770448663983
num__trend_sale_m2,0.015730529998969272
num__building_age,0.01446711693079894
num__detail_effect_subtype_sum,0.01412656080708794
num__detail_effect_outside_mean,0.013649605589547174
num__detail_effect_total_mean,0.012609409416458054
num__detail_effect_subtype_mean,0.012143319845734126
num__detail_effect_inside_x_attr_quality,0.010157340621254589
num__estimated_monthly_rent_gross,0.010039061919097977
num__site_project_oof_residual_mean,0.009810266835590345
num__total_floors,0.009229101034282188
num__attr_effect_elevator,0.009192754379702708
num__site_project_oof_price_level,0.009084282273829555
cat__usage_status_Mülk Sahibi,0.008513148942433761
num__dues,0.008500199280316739
num__demo_old_ratio,0.007904136107212191
num__attr_is_old_building,0.007863243387578324
num__attr_building_age_inverse,0.007654594054910134
num__attr_has_elevator,0.007333349258723335
num__attr_building_age_score,0.007288798690655446
num__demo_age_65_plus,0.0071966560267988115
num__detail_effect_inside_sum,0.007191317942663677
cat__elevator_Var,0.006774527328131257
num__distance_to_coast_x_near_sea_zero,0.006058573747896898
cat__parking_Açık Otopark,0.005857923964544798
num__demo_divorced_ratio,0.005718390358101324
num__detail_effect_outside_sum,0.005667833915966516
cat__detail_konut_tipi_Ara Kat,0.0054915744045930335
num__net_m2,0.005387298391465846
num__attr_quality_x_county_income,0.005220608222353618
num__bathroom_count,0.005157841978031732
num__detail_effect_inside_mean,0.004836545888674874
num__detail_effect_outside_x_attr_quality,0.004636966006648285
num__trend_yield,0.004518388258673664
num__distance_to_coastline_m,0.004510457257244224
num__location_baseline_vs_trend,0.0043851254710954475
num__demo_population_density,0.0043716655992340385
num__attr_compactness_score,0.003941243678828067
num__attr_quality_x_demo_income,0.003915589270168062
num__attr_effect_total_quality_bucket,0.0036786669637522166
num__gross_m2,0.003615431173289154
cat__heating_Kombi (Doğalgaz),0.003363458494949574
num__district_target_mean,0.0033335955750278252
