room_count,n,mape,mae
4.5+1,1,0.8585934386861145,16149.730456835245
4.5+2,1,0.3652464632865596,22827.903955409973
2.5+1,1,0.2532971063757974,9065.36918972341
6+2,1,0.24910234486837973,8622.772326510014
5+2,1,0.23552587986291834,7130.178592477267
4+2,6,0.18398161551299086,6759.098596457847
5+1,8,0.16866873761314505,7130.804802883848
4+1,27,0.16694729419180374,7455.5721270586955
3+2,2,0.16668174243711176,7608.679756806319
3+1,141,0.16524917740536915,5869.844470299604
1+1,13,0.1640691156710533,8253.159154081253
2+1,118,0.14306445565892675,5883.07702846905
5.5+1,1,0.07115405327803077,2564.5109074092034
6+1,3,0.0643623849448535,2113.735225612163
3.5+1,3,0.05725155102785976,1777.4570455628466
2+2,1,0.05678296205062858,2472.806576735973
