district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,0.8585934386861145,16149.730456835245
Tepeköy Mh.,31 ve üzeri,76-100,1,0.5241888565317067,14240.465683074217
4 Temmuz Mah.,4,76-100,1,0.4393375094734793,14213.860083744908
4 Temmuz Mah.,21-25 arası,126-150,1,0.434528108211102,8851.498339660186
Kayacık Mh.,31 ve üzeri,126-150,1,0.4341706801071026,10130.64775526346
Kayacık Mh.,26-30 arası,200+,2,0.4300319478055262,26033.558157663836
Dereköy Mh.,11-15 arası,200+,1,0.4091775974974929,17068.55296351369
Ereğli Mh.,16-20 arası,101-125,1,0.374706940564224,10941.44266447534
Dereköy Mh.,11-15 arası,76-100,1,0.37081498567964105,9888.400854173713
Kayacık Mh.,3,126-150,1,0.331196840896515,24202.845046447357
Kayacık Mh.,2,151-200,1,0.32681235557343613,23549.712704042235
4 Temmuz Mah.,1,0-75,1,0.31219178372865364,21437.17019000683
Avcıköy Mh.,21-25 arası,76-100,1,0.3078259712023599,15733.327074980647
Yalakdere Mh.,16-20 arası,101-125,1,0.3073878514619139,17185.775052290774
4 Temmuz Mah.,21-25 arası,101-125,4,0.3057048992819321,7334.741072579038
Tepeköy Mh.,6-10 arası,151-200,1,0.299048152296936,18370.100356742994
Kayacık Mh.,11-15 arası,200+,3,0.28275456094166845,10396.933565263653
Dereköy Mh.,16-20 arası,126-150,1,0.28046219778067166,7113.172008016685
Ereğli Mh.,21-25 arası,0-75,2,0.27917616627633735,18317.777343876678
Kayacık Mh.,31 ve üzeri,76-100,4,0.27807045074815007,9526.041814134074
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.2759917590636002,17709.47212655354
Kayacık Mh.,16-20 arası,126-150,2,0.2757229911359715,8513.91586190661
4 Temmuz Mah.,4,200+,1,0.2682442270635924,9477.961795432842
Kayacık Mh.,21-25 arası,76-100,2,0.26068399470056447,10445.166179920228
4 Temmuz Mah.,31 ve üzeri,126-150,15,0.26003230314855597,7720.587128148481
Kayacık Mh.,6-10 arası,200+,1,0.24910234486837973,8622.772326510014
Kayacık Mh.,16-20 arası,151-200,3,0.2482823678865833,10685.096377262453
4 Temmuz Mah.,5,101-125,1,0.2461753346529396,13334.498114285343
4 Temmuz Mah.,26-30 arası,76-100,5,0.24554689118704584,7682.735656939005
4 Temmuz Mah.,6-10 arası,151-200,6,0.23844195492209885,10981.364320597377
Ereğli Mh.,31 ve üzeri,101-125,1,0.23433770795482964,10779.534565922164
Kayacık Mh.,6-10 arası,76-100,2,0.22987167535473438,10841.959141684838
4 Temmuz Mah.,4,151-200,1,0.21825774795033587,7639.021178261755
4 Temmuz Mah.,31 ve üzeri,0-75,3,0.2155412896759504,7791.809942749588
Dereköy Mh.,11-15 arası,151-200,1,0.2149155114744822,5823.516183856405
Kayacık Mh.,5,0-75,1,0.21366903311045451,14244.602919593744
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.20743518850539844,10556.035251990488
Kayacık Mh.,26-30 arası,76-100,4,0.20173177229569023,7080.66482139399
Kayacık Mh.,11-15 arası,151-200,3,0.19960534407333919,6903.772201552051
4 Temmuz Mah.,6-10 arası,76-100,3,0.1885503209181477,8884.336372959973
Kayacık Mh.,1,151-200,1,0.1875640375285313,8212.86275998105
Kayacık Mh.,26-30 arası,101-125,3,0.18553063824538418,7935.620512298458
Kayacık Mh.,31 ve üzeri,101-125,11,0.1852710228485803,5477.039207316437
4 Temmuz Mah.,1,76-100,3,0.16802268503474718,8294.156735467375
Ereğli Mh.,0 (Yapım Aşamasında),0-75,2,0.16267669823159256,7680.788188973682
4 Temmuz Mah.,6-10 arası,200+,6,0.1572935964178784,5479.588261623845
4 Temmuz Mah.,0 (Yapım Aşamasında),101-125,1,0.15185940711030047,7466.421355787796
Kayacık Mh.,11-15 arası,101-125,5,0.15064211747629153,7873.799330576617
4 Temmuz Mah.,31 ve üzeri,101-125,19,0.15006731304968307,3666.605617837131
4 Temmuz Mah.,6-10 arası,126-150,8,0.14551351331680443,4501.920745220755
Kayacık Mh.,16-20 arası,101-125,3,0.1439577952369272,4888.187246974011
4 Temmuz Mah.,6-10 arası,101-125,7,0.14208270972145032,5208.177768738169
Kayacık Mh.,6-10 arası,101-125,4,0.1382022416922185,8538.788092294282
Kayacık Mh.,26-30 arası,151-200,1,0.13614755677248905,4084.4267031746713
4 Temmuz Mah.,31 ve üzeri,76-100,14,0.1330473503283001,3803.283393527558
