model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.10438537327088555,1
gradient_boosting,num__attr_effect_building_age_bucket,0.07260385070946436,2
gradient_boosting,num__attr_m2_per_room,0.031920240148747114,3
gradient_boosting,num__attr_effect_elevator,0.01577582774082987,4
gradient_boosting,num__attr_building_age_inverse,0.015187119387970417,5
extra_trees,num__attr_effect_building_age_bucket,0.014507937233901,6
extra_trees,num__attr_is_old_building,0.012492011809355795,7
extra_trees,num__attr_has_elevator,0.011783494516893261,8
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.01104427715393858,9
extra_trees,num__attr_m2_per_room,0.009976203838554736,10
gradient_boosting,num__attr_quality_x_county_income,0.009838443716696597,11
extra_trees,num__attr_total_quality_score,0.00904474890179401,12
extra_trees,num__attr_building_age_score,0.008811167278327309,13
extra_trees,num__attr_compactness_score,0.007322308514023487,14
extra_trees,num__detail_effect_outside_x_attr_quality,0.0055466837402730765,15
extra_trees,num__attr_effect_elevator,0.0053970747041794465,16
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.00502280488650914,17
extra_trees,num__detail_effect_total_x_attr_quality,0.004802713807348879,18
extra_trees,num__detail_effect_inside_x_attr_quality,0.004686209611621023,19
gradient_boosting,num__attr_quality_x_demo_income,0.00465021545340453,20
extra_trees,num__attr_effect_total_quality_bucket,0.004262832670268326,21
extra_trees,num__attr_is_mid_age_building,0.0039218325808769204,22
extra_trees,num__attr_compact_home_x_quality,0.0036618829804270546,23
extra_trees,num__attr_building_age_inverse,0.0034689014520760493,24
extra_trees,num__attr_net_gross_ratio,0.0034688618710292567,25
extra_trees,num__attr_quality_x_location_baseline,0.0033368674741235606,26
extra_trees,num__attr_quality_x_county_income,0.0033210702000921713,27
extra_trees,num__attr_quality_x_demo_income,0.002978697229776978,28
gradient_boosting,num__detail_effect_total_x_attr_quality,0.0027196506632848547,29
extra_trees,num__attr_floor_ratio,0.0025662004327309477,30
gradient_boosting,num__attr_old_building_x_no_elevator,0.002253002743982848,31
extra_trees,num__attr_quality_x_district_median,0.002234949781552139,32
extra_trees,num__attr_amenity_score,0.0021436090428815697,33
extra_trees,num__attr_is_middle_floor,0.0021083132182001625,34
extra_trees,num__attr_is_new_building,0.0020859326146475676,35
extra_trees,num__attr_net_gross_good,0.0020228188823466055,36
gradient_boosting,num__attr_amenity_score,0.001876724278127988,37
extra_trees,num__attr_old_building_x_no_elevator,0.0017994088477504707,38
extra_trees,num__attr_effect_site_inside,0.0017755333682337344,39
gradient_boosting,num__attr_quality_x_location_baseline,0.00174087186092401,40
gradient_boosting,num__attr_heating_quality_score,0.0017091548905352287,41
extra_trees,num__attr_new_building_x_site_inside,0.0016923795875341035,42
extra_trees,num__attr_heating_quality_score,0.001650791188901679,43
extra_trees,num__attr_large_home_x_quality,0.0016021115363951475,44
gradient_boosting,num__attr_net_gross_ratio,0.0015727482306174168,45
extra_trees,num__attr_floor_quality_score,0.0015358752983982433,46
gradient_boosting,num__attr_effect_total_quality_bucket,0.00150619353192177,47
extra_trees,num__attr_is_ground_or_below,0.0014209468273346834,48
extra_trees,num__attr_net_gross_bad,0.001357630127776685,49
gradient_boosting,num__attr_effect_heating_quality_bucket,0.0013303673465971252,50
gradient_boosting,num__attr_is_old_building,0.0012762021273083125,51
extra_trees,num__attr_is_young_building,0.001263526168800222,52
extra_trees,num__attr_effect_parking,0.001047031215424068,53
extra_trees,num__attr_effect_heating_quality_bucket,0.0010254145335863423,54
gradient_boosting,num__attr_building_age_score,0.0009581554416043059,55
gradient_boosting,num__attr_compact_home_x_quality,0.0009377168424759642,56
extra_trees,num__attr_is_top_floor,0.0009376723651060332,57
extra_trees,num__attr_has_parking,0.0008500469839388497,58
extra_trees,num__attr_is_site_inside,0.0007396753878003688,59
extra_trees,num__attr_is_furnished,0.0006403724060982219,60
gradient_boosting,num__attr_floor_ratio,0.0006121852406308242,61
gradient_boosting,num__attr_quality_x_district_median,0.0005049418692733734,62
extra_trees,num__attr_has_premium_heating,0.00047135624256676147,63
gradient_boosting,num__attr_new_building_x_site_inside,0.00046625186872128636,64
extra_trees,num__attr_has_balcony,0.000432183000140775,65
extra_trees,num__attr_county_elevator_premium,0.0004249292443555767,66
gradient_boosting,num__attr_large_home_x_quality,0.0003372981450468596,67
extra_trees,num__attr_county_good_heating_premium,0.0002684553550919152,68
extra_trees,num__attr_county_parking_premium,0.00023071684873230024,69
extra_trees,num__attr_has_natural_gas_heating,0.00021506427975432027,70
extra_trees,num__attr_county_high_quality_premium,0.00019892050850630293,71
gradient_boosting,num__attr_effect_site_inside,0.00017660039487362347,72
extra_trees,num__attr_county_new_building_premium,0.00016905730640137093,73
extra_trees,num__attr_has_poor_heating,0.00014327763848363042,74
extra_trees,num__location_source_data_attr_map,0.00013109201103178104,75
extra_trees,cat__location_source_data_attr_map,0.00012815933577467603,76
gradient_boosting,num__attr_floor_quality_score,0.00012291788776660546,77
extra_trees,num__attr_county_old_building_discount,0.00011075641840370775,78
extra_trees,num__attr_county_site_inside_premium,0.00011031622799555858,79
gradient_boosting,num__attr_compactness_score,9.369372573461617e-05,80
gradient_boosting,num__attr_is_middle_floor,4.283681043320842e-05,81
gradient_boosting,num__attr_is_site_inside,2.101198612442635e-05,82
