county,feature,group,positive_count,negative_count,local_effect,global_effect,smoothed_effect,reliability_level
Başiskele,front_east,front,805,,-0.010674155239183655,-0.0006156422465339872,-0.010674155239183655,county
Gölcük,front_east,front,444,,-0.020644923772954522,-0.0006156422465339872,-0.020644923772954522,county
Karamürsel,front_east,front,122,,0.03438300131043526,-0.0006156422465339872,0.03438300131043526,county
Kartepe,front_east,front,434,,0.01190349972841421,-0.0006156422465339872,0.01190349972841421,county
İzmit,front_east,front,896,,0.011208947264084784,-0.0006156422465339872,0.011208947264084784,county
Başiskele,front_north,front,543,,0.02039767064646271,0.002068573585693123,0.02039767064646271,county
Gölcük,front_north,front,354,,-0.01703664506788001,0.002068573585693123,-0.01703664506788001,county
Karamürsel,front_north,front,141,,0.004046939913619996,0.002068573585693123,0.004046939913619996,county
Kartepe,front_north,front,214,,-0.004097801008255203,0.002068573585693123,-0.004097801008255203,county
İzmit,front_north,front,591,,0.0009725824749536247,0.002068573585693123,0.0009725824749536247,county
Başiskele,front_score,front,1226,,-0.00014142043644394355,0.0030002691266206583,-0.00014142043644394355,county
Gölcük,front_score,front,690,,-0.011044656110454404,0.0030002691266206583,-0.011044656110454404,county
Karamürsel,front_score,front,235,,-0.026535529384329206,0.0030002691266206583,-0.026535529384329206,county
Kartepe,front_score,front,663,,0.012898752577293301,0.0030002691266206583,0.012898752577293301,county
İzmit,front_score,front,1735,,0.011054251191191262,0.0030002691266206583,0.011054251191191262,county
Başiskele,front_south,front,846,,-0.019313367396288666,-0.008826553508310298,-0.019313367396288666,county
Gölcük,front_south,front,474,,-0.013068089565709155,-0.008826553508310298,-0.013068089565709155,county
Karamürsel,front_south,front,151,,-0.0271797794925903,-0.008826553508310298,-0.0271797794925903,county
Kartepe,front_south,front,442,,0.0016254931968278149,-0.008826553508310298,0.0016254931968278149,county
İzmit,front_south,front,1193,,0.007233334803750772,-0.008826553508310298,0.007233334803750772,county
Başiskele,front_west,front,766,,-0.005050340607807326,0.0009543365727529007,-0.005050340607807326,county
Gölcük,front_west,front,392,,-0.007854432358023787,0.0009543365727529007,-0.007854432358023787,county
Karamürsel,front_west,front,131,,-0.014820606568521194,0.0009543365727529007,-0.014820606568521194,county
Kartepe,front_west,front,345,,0.008501224613919254,0.0009543365727529007,0.008501224613919254,county
İzmit,front_west,front,867,,0.010465708875116888,0.0009543365727529007,0.010465708875116888,county
Başiskele,in_air_conditioner,inside,64,,0.062292033615791165,0.06689035440155244,0.062292033615791165,county
Gölcük,in_air_conditioner,inside,34,,0.03766636006414778,0.06689035440155244,0.03766636006414778,county
Karamürsel,in_air_conditioner,inside,11,,0.07857961370371631,0.06689035440155244,0.07857961370371631,global_fallback
Kartepe,in_air_conditioner,inside,28,,0.079847580268973,0.06689035440155244,0.079847580268973,global_fallback
İzmit,in_air_conditioner,inside,105,,0.08477803417836287,0.06689035440155244,0.08477803417836287,county
Başiskele,in_builtin_kitchen,inside,324,,0.028763134622092578,0.05749656413178261,0.028763134622092578,county
Gölcük,in_builtin_kitchen,inside,212,,0.06835444339137328,0.05749656413178261,0.06835444339137328,county
Karamürsel,in_builtin_kitchen,inside,49,,0.06506325870350735,0.05749656413178261,0.06506325870350735,county
Kartepe,in_builtin_kitchen,inside,165,,0.04781843041764927,0.05749656413178261,0.04781843041764927,county
İzmit,in_builtin_kitchen,inside,480,,0.0781726424539192,0.05749656413178261,0.0781726424539192,county
Başiskele,in_dressing_room,inside,111,,0.016876775304969352,0.037621650018819786,0.016876775304969352,county
Gölcük,in_dressing_room,inside,16,,0.061443708110923936,0.037621650018819786,0.061443708110923936,global_fallback
Karamürsel,in_dressing_room,inside,10,,0.04576535622611407,0.037621650018819786,0.04576535622611407,global_fallback
Kartepe,in_dressing_room,inside,36,,0.06021698652860002,0.037621650018819786,0.06021698652860002,county
İzmit,in_dressing_room,inside,82,,0.061871570656382685,0.037621650018819786,0.061871570656382685,county
Başiskele,in_fiber,inside,536,,0.00862025785795393,0.030240158039790188,0.00862025785795393,county
Gölcük,in_fiber,inside,233,,0.03557652442664528,0.030240158039790188,0.03557652442664528,county
Karamürsel,in_fiber,inside,76,,0.047507568509842966,0.030240158039790188,0.047507568509842966,county
