building_age_group,n,mape,mae
21-25 arası,14,0.23947757840448852,8748.80578045186
16-20 arası,14,0.20455681521789246,7479.014949520408
4,5,0.20362326864431143,7023.939714749472
3,3,0.19402175620827986,11584.144500356364
31 ve üzeri,73,0.19240955435260718,5591.454368705127
2,3,0.17852724801581785,10941.75810458143
6-10 arası,47,0.17019029952739545,6889.3844527004085
26-30 arası,37,0.15917362832733978,5695.060683201902
5,5,0.1591714353620539,8827.336450707571
11-15 arası,49,0.14439783809503312,5804.671559987678
1,9,0.13046354823547468,6976.899495202681
0 (Oturuma Hazır),52,0.10370059503062075,5540.592388487819
0 (Yapım Aşamasında),17,0.08846604195055555,4324.831880603725
