site_project_id,n,mean_actual,mean_pred,mean_residual
izmit::sehri_bahce_3,1,70952.38,34906.62011304565,-36045.75988695436
izmit::sogucak,1,72222.22,38593.033101435074,-33629.18689856493
izmit::sehr_i_bahce_sitesi_3,1,66346.15,41641.01770529331,-24705.132294706687
basiskele::panorama_3,1,68780.49,44493.53164280983,-24286.958357190175
izmit::elit_kirk_bir,1,63105.26,40062.2215965508,-23043.0384034492
kartepe::hursoy_sapphire,1,71000.0,48042.03092049465,-22957.969079505347
basiskele::vistapark,1,60000.0,40198.294854583284,-19801.705145416716
golcuk::guler_sabanci,1,41200.0,21655.73605703339,-19544.26394296661
izmit::armadakent_1,1,89062.5,69701.41792249083,-19361.08207750917
izmit::muasir_kent,1,58333.33,39034.1643600738,-19299.1656399262
kartepe::gate_41,1,64634.15,45339.4018456732,-19294.7481543268
basiskele::yuvacik_pasadagi_mh,1,57241.38,38200.7917317552,-19040.5882682448
izmit::kabaoglu,1,64486.57,46395.955531485284,-18090.614468514716
basiskele::semt_bahcecik,1,61111.11,43540.28866122269,-17570.821338777314
karamursel::karamursel_aydin,1,41714.29,24194.21943550716,-17520.070564492842
basiskele::temizel_tepe_loft,1,52777.78,35318.552056359404,-17459.227943640595
karamursel::kolayli_2,2,57031.58,40168.54363939522,-16863.036360604783
karamursel::zumrut_2,1,51339.29,34816.79420834381,-16522.49579165619
golcuk::luxury_sea_suit,1,45614.04,29137.709545114885,-16476.330454885116
basiskele::merkezde_essiz_bir,1,56666.67,40320.22637259851,-16346.443627401488
izmit::armakent_4,1,70564.52,54353.59217931,-16210.927820690005
basiskele::erenoglu_gm_den,1,60185.19,44236.164492821365,-15949.025507178638
izmit::yesilova_mah,1,63000.0,47177.075183147375,-15822.924816852625
basiskele::akven_armoni_teras,1,51415.09,35594.10844005378,-15820.981559946216
kartepe::hursoy_nefes_kartepe,2,62726.815,47179.20000952199,-15547.614990478007
izmit::gundogdu_havuzlu_asansorlu,1,65126.05,49612.57803216037,-15513.471967839636
basiskele::yuvacikta,1,57500.0,42092.08623610534,-15407.913763894663
izmit::full,2,76119.4,61144.349771956244,-14975.050228043747
