building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,585,0.15990901803608182,0.13094874657569772,4389.759302089277,3435.6563663785237,27460.147572649574,27370.784696586274
26-30 arası,415,0.14375618415848995,0.11950979392082976,4094.4941145428447,3280.448960324942,28543.812409638555,28144.3000011761
21-25 arası,242,0.13508080756196617,0.10157867514410612,4372.974218338558,3317.6847157797256,33980.545,34157.68151760047
16-20 arası,206,0.13317824904449008,0.09645161418263948,4645.38714473372,3233.125000286176,35885.83932038835,36061.16460802208
missing,18,0.1267172854471139,0.12118225355512881,5404.270376030948,5052.86657939931,42992.14388888889,41464.61115876891
5,278,0.12548963981250041,0.09930449220106372,5043.122321777321,3863.399793467077,40081.814496402876,39360.52671049539
3,197,0.12472250112665587,0.09901195749418774,5183.387328719541,3974.0328904229027,41236.08126903553,40771.04298815681
6-10 arası,1148,0.12051812458171061,0.09582101850178582,4670.387089992847,3624.982810682426,39176.28763937282,38886.21076461283
2,206,0.11980270010334829,0.09831603740234812,5045.237653005664,4045.728813867685,41854.85223300971,41386.570782154624
11-15 arası,781,0.11869450994011263,0.09243288773386679,4590.295573698572,3542.270818449095,39677.26417413572,39492.615943538025
4,155,0.11255375669233772,0.0931080910798489,4614.042444663567,3512.4972413495925,41030.00180645161,40437.8488668958
1,261,0.1083460936144349,0.08040691586832718,4376.880259356612,3386.278965699188,41322.642873563214,41167.217029568725
0 (Yapım Aşamasında),179,0.10507092438114855,0.08047891498976624,4800.1912907773,3760.2213929127975,45358.292402234634,44530.11164644578
0 (Oturuma Hazır),1996,0.0953337986500495,0.07294699272400376,3987.485618640619,2805.750338026737,40684.464183366734,40069.75673980277
