building_age_group,n,mape,mae
21-25 arası,14,0.24093611237291748,8842.073689306724
16-20 arası,14,0.20784313841445284,7595.31598119167
4,5,0.2063170282767132,7097.299077732425
3,3,0.1976113699664849,11747.32495640994
31 ve üzeri,73,0.19258526161946268,5593.204142850134
6-10 arası,47,0.16798986328474177,6842.10159812287
2,3,0.16767256144039022,10319.04307886887
26-30 arası,37,0.1580968902244524,5681.956908263211
5,5,0.1565331344826249,8673.62546414804
11-15 arası,49,0.1409814782680278,5704.049121498931
1,9,0.1333091204284372,7046.527024815498
0 (Oturuma Hazır),52,0.1037228083611797,5529.1101847919845
0 (Yapım Aşamasında),17,0.09116957586753138,4464.275393798779
