feature,importance,rank
num__location_baseline_log,0.02030557405433395,1
num__location_baseline_m2,0.018934033069482104,2
num__distance_to_coast_x_near_sea_zero,0.006194095577213565,3
num__demo_population_density,0.005312209893621194,4
num__location_baseline_vs_trend,0.004082749255809608,5
num__distance_to_coastline_m,0.004057434615877371,6
num__attr_quality_x_location_baseline,0.002980939937014194,7
num__distance_to_karamursel_center_m,0.0029178521199954076,8
num__bearing_from_district_centroid_sin,0.0027348156824215154,9
num__distance_to_coast_x_view_sea,0.0023307913465342982,10
num__bearing_from_district_centroid_cos,0.0023146963804619248,11
num__location_baseline_level_code,0.0021648646885254136,12
num__distance_to_district_centroid_m,0.002102146445981427,13
num__distance_to_county_centroid_m,0.0020371396588865606,14
num__bearing_from_county_centroid_cos,0.0018289984465344167,15
num__location_baseline_count,0.0016464626656256462,16
num__lat_centered_county,0.0016438109625645835,17
num__bearing_from_county_centroid_sin,0.001641987940211012,18
num__lon_centered_county,0.001629308455852833,19
num__distance_to_coast_x_large_home,0.0015520802647228658,20
num__distance_to_yuvacik_m,0.0015041111932642165,21
num__detail_effect_view_x_location_baseline,0.0014872800181044072,22
num__distance_to_izmit_center_m,0.0013967682165344044,23
num__transport_score,0.0013212390736131903,24
num__distance_to_golcuk_center_m,0.0012639714710455966,25
num__distance_to_geo_cluster_center_m,0.001257878700275194,26
num__lat_centered_city,0.0011920352857179813,27
num__distance_to_kullar_m,0.0011751170782453118,28
cat__coast_distance_bucket_500_1000,0.001132126173545674,29
num__lat,0.0011262175666071333,30
num__location_quality_x_detail_effect_total,0.0010715794204391401,31
num__distance_to_coast_x_site_inside,0.0009865470119648592,32
num__lon,0.0009262281442781409,33
num__distance_to_bahcecik_m,0.0009208715343950445,34
num__demo_pharmacy_count,0.0009105326304847424,35
num__demo_pharmacy_per_10k,0.0009029829204259113,36
cat__coast_distance_bucket_1000_3000,0.0008965872071274632,37
num__distance_to_sahil_m,0.000893149379120667,38
num__distance_to_basiskele_coast_m,0.0008750857300458923,39
num__demo_education_high_school_ratio,0.0008655715431889425,40
cat__geo_cluster_x_room_count_city_2||3+1,0.0008007722567473282,41
cat__geo_cluster_x_room_count_city_5||3+1,0.000745625783592025,42
num__lon_centered_city,0.0007450300153754117,43
cat__coast_distance_bucket_3000_plus,0.0007409097788671343,44
cat__coast_distance_bucket_0_500,0.0006331254023375439,45
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||200+,0.0006154647535878961,46
cat__geo_cluster_x_room_count_city_10||3+1,0.0005944809617503908,47
num__demo_education_primary_school_count,0.0005488108931638663,48
cat__geo_cluster_county_Karamürsel_0,0.0005354684295955151,49
cat__geo_cluster_x_room_count_city_8||3+1,0.0005247208071280823,50
cat__geo_cluster_x_room_count_city_8||2+1,0.0005238879498793126,51
num__demo_education_middle_school_count,0.0004946819990981743,52
