site_project_id,n,mean_actual,mean_pred,mean_residual
izmit::sehri_bahce_3,1,70952.38,34455.53608430836,-36496.84391569164
izmit::sogucak,1,72222.22,38290.936429035406,-33931.283570964595
izmit::sehr_i_bahce_sitesi_3,1,66346.15,41572.59024967533,-24773.55975032466
basiskele::panorama_3,1,68780.49,45695.38764589348,-23085.102354106522
izmit::elit_kirk_bir,1,63105.26,40174.57729040653,-22930.68270959347
kartepe::hursoy_sapphire,1,71000.0,48356.138285970475,-22643.861714029525
izmit::armadakent_1,1,89062.5,68812.52732193272,-20249.97267806728
kartepe::gate_41,1,64634.15,44406.58764861782,-20227.562351382185
izmit::muasir_kent,1,58333.33,38622.273511854306,-19711.056488145696
golcuk::guler_sabanci,1,41200.0,21725.41871633147,-19474.58128366853
basiskele::yuvacik_pasadagi_mh,1,57241.38,38045.19369533435,-19196.18630466565
basiskele::vistapark,1,60000.0,41598.8473039681,-18401.152696031902
basiskele::temizel_tepe_loft,1,52777.78,35357.5287626255,-17420.251237374498
izmit::kabaoglu,1,64486.57,47332.735018377,-17153.834981622997
izmit::armakent_4,1,70564.52,53447.52618244779,-17116.99381755221
karamursel::karamursel_aydin,1,41714.29,24623.086547031588,-17091.203452968413
izmit::yesilova_mah,1,63000.0,46226.93499451729,-16773.065005482713
basiskele::semt_bahcecik,1,61111.11,44523.78309383309,-16587.326906166913
karamursel::zumrut_2,1,51339.29,34781.30164369628,-16557.988356303722
karamursel::kolayli_2,2,57031.58,40548.71872739685,-16482.86127260315
basiskele::akven_armoni_teras,1,51415.09,35335.679340351344,-16079.410659648653
basiskele::merkezde_essiz_bir,1,56666.67,40818.090910003426,-15848.579089996572
basiskele::erenoglu_gm_den,1,60185.19,44354.23564621594,-15830.954353784065
golcuk::luxury_sea_suit,1,45614.04,30102.65554833981,-15511.38445166019
izmit::full,2,76119.4,60921.36746554675,-15198.03253445325
basiskele::yuvacikta,1,57500.0,42310.24663993338,-15189.753360066621
karamursel::saka,1,47523.81,32984.75328333944,-14539.056716660554
izmit::sehrin_yildizi,1,44545.45,30037.264241490448,-14508.18575850955
izmit::gundogdu_havuzlu_asansorlu,1,65126.05,50659.014130987154,-14467.035869012849
kartepe::hursoy_nefes_kartepe,2,62726.815,48440.32635608844,-14286.488643911562
izmit::terrace,1,54166.67,39951.113593419585,-14215.556406580414
izmit::hanzade,1,50588.24,36525.09808247963,-14063.14191752037
izmit::kurucesmenin_ustu,1,60000.0,45943.144353435855,-14056.855646564145
kartepe::vefakent_gulbahce,1,47931.03,34230.97101362971,-13700.058986370292
kartepe::ertugrul_gazi_mh,1,63333.33,49762.25192035049,-13571.07807964951
kartepe::casaba,3,63405.223333333335,49846.42450220322,-13558.798831130109
izmit::remax_plaj_yolu_deniz_manzarali,1,62416.67,48946.78639821329,-13469.883601786707
izmit::sunrise_yesilova,1,60000.0,46575.04491981839,-13424.955080181608
izmit::dan_bayindirlik,1,46869.57,33851.84034103571,-13017.729658964287
basiskele::panoramakent_3,1,54166.67,41385.63823090939,-12781.031769090609
golcuk::dogakent,1,35897.44,23187.360947511705,-12710.079052488298
karamursel::kolayli_4,1,44117.65,31557.01063062466,-12560.639369375342
golcuk::flora,1,44333.33,32016.956598027697,-12316.373401972305
kartepe::vefakent_saklibahce,3,45959.59333333333,33673.66076884831,-12285.932564485025
basiskele::seymen,1,55714.29,43486.03408472165,-12228.25591527835
izmit::manzara,1,51546.39,39411.66102880871,-12134.728971191289
karamursel::hetas_konaklari,2,55000.0,43212.85017139004,-11787.14982860996
basiskele::kolayli_kullar,1,48333.33,36806.47798561671,-11526.852014383294
izmit::yasam,1,52500.0,41029.82653172767,-11470.173468272333
izmit::altinevler,1,60833.33,49489.36532513771,-11343.96467486229
kartepe::ertugrul_gazi_de,2,55113.634999999995,43844.3326837302,-11269.302316269797
golcuk::dan,1,64375.0,53202.01670551236,-11172.98329448764
basiskele::pasadag_mh_de_konsept_talha_park,1,41807.91,30753.092391085673,-11054.81760891433
kartepe::kaymakamlik_belediye_yani_tower,1,63281.25,52234.75875775119,-11046.491242248812
basiskele::kolayli,1,50000.0,39010.26337264894,-10989.736627351063
golcuk::supark_arcadia,1,44230.77,33433.585184504715,-10797.184815495282
