feature,importance,rank
num__location_baseline_m2,0.020171760466244262,1
num__location_baseline_log,0.019178302106592385,2
num__distance_to_coast_x_near_sea_zero,0.006115405828200303,3
num__demo_population_density,0.005439161335165372,4
num__location_baseline_vs_trend,0.004170611050246803,5
num__bearing_from_district_centroid_sin,0.0030145345331245403,6
num__attr_quality_x_location_baseline,0.0029424111292856484,7
num__distance_to_karamursel_center_m,0.0026779440140327023,8
num__distance_to_coastline_inv,0.0026542237645778037,9
num__distance_to_coast_x_view_sea,0.002269868747849055,10
num__bearing_from_district_centroid_cos,0.0022575783509959455,11
num__distance_to_coastline_m,0.0022255997318590642,12
num__distance_to_district_centroid_m,0.0022179351322764813,13
num__location_baseline_level_code,0.0021554897538696343,14
num__bearing_from_county_centroid_cos,0.001938321339355595,15
num__bearing_from_county_centroid_sin,0.0018233761159963016,16
num__location_baseline_count,0.0018079185261148604,17
num__distance_to_county_centroid_m,0.0017883470228296217,18
num__lon_centered_county,0.0017164102524430927,19
num__detail_effect_view_x_location_baseline,0.0016993622446559897,20
num__distance_to_coast_x_large_home,0.001631330507746859,21
num__lat_centered_county,0.0015020430511058465,22
num__distance_to_izmit_center_m,0.0014894990512794482,23
num__distance_to_golcuk_center_m,0.0013999015767878,24
num__distance_to_yuvacik_m,0.001387765446602208,25
num__transport_score,0.0013322816628879874,26
num__distance_to_basiskele_coast_m,0.0011393249765692354,27
num__distance_to_geo_cluster_center_m,0.0011287312916301922,28
num__distance_to_bahcecik_m,0.0011239862654482756,29
cat__coast_distance_bucket_500_1000,0.0011217323043589869,30
num__lat,0.0011177621348017084,31
num__lat_centered_city,0.001109637478523405,32
num__distance_to_coast_x_site_inside,0.0010767727318969638,33
num__location_quality_x_detail_effect_total,0.0010583615446755784,34
num__distance_to_kullar_m,0.00096512163294193,35
num__demo_pharmacy_count,0.0009445756245284897,36
num__lon,0.0008868029137828466,37
num__distance_to_sahil_m,0.0008847787786843099,38
num__demo_pharmacy_per_10k,0.0008719881642653428,39
cat__coast_distance_bucket_1000_3000,0.0008497612809672737,40
num__demo_education_high_school_ratio,0.0008135545503357077,41
num__lon_centered_city,0.0007037412508885944,42
cat__geo_cluster_x_room_count_city_2||3+1,0.0006992976629104511,43
cat__coast_distance_bucket_3000_plus,0.0006769642376552823,44
cat__geo_cluster_x_room_count_city_5||3+1,0.0006450838961649881,45
cat__geo_cluster_county_Karamürsel_0,0.0006431696558416756,46
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||200+,0.0006293778114975934,47
cat__geo_cluster_x_room_count_city_8||3+1,0.0005586315027496204,48
cat__geo_cluster_x_room_count_city_10||3+1,0.0005573824345722627,49
cat__coast_distance_bucket_0_500,0.0005475858068192381,50
num__demo_education_primary_school_count,0.000502354558643868,51
num__demo_population_female,0.0004918892119190521,52
num__demo_education_primary_school_ratio,0.0004626928824384546,53
cat__geo_cluster_x_room_count_city_8||2+1,0.00045966199050913174,54
num__is_large_flat,0.00044851901526169776,55
num__demo_population_total,0.0004411491557921918,56
