raw_folded,canonical_id
1.69 kredi icon residence,1_69_kredi_icon
1.99 kredi fsm de butik site,1_99_kredi_fsm_de_butik
100. yil bariser sitesi,100_yil_bariser
151 ada,151_ada
1sifir site,1sifir
480 residence sitesi,480
75. yil sitesi,75_yil
80 ine kredi imkamli site,80_ine_kredi_imkamli
a plus residence,a_plus
academic life sitesi,academic_life
acil basiskele'fatih mah site,basiskele_fatih
acill deallife'dan ataevlerde site,acill_deallife_dan_ataevlerde
adesa sitesi,adesa
adres emlaktan kent,adres_emlaktan_kent
agkoc evleri 2,agkoc_evleri_2
akademic life 2. etap,akademic_life_2
akademik elit park,akademik_elit_park
akar sitesi,akar
akasya modern evleri,akasya_modern
akcakent 1 konutlari,akcakent_1
akcakent 2 sitesi,akcakent_2
akcakoca konutlari,akcakoca
akcakoca universite evleri,akcakoca_universite
akdora sitesi,akdora
akkonak evleri,akkonak
akkurt royal city,royal_city_akkurt
akkus sitesi,akkus
akven armoni teras,akven_armoni_teras
akyuz sitesi,akyuz
alacati'dan yaylacik mh.'de havuzlu site,alacati_dan_yaylacik_mh_de_havuzlu
alan park evleri,alan_park
alan park evleri sitesi,alan_park
alikahya kavanium evleri,alikahya_kavanium
alikahya ve dumlupinar sinirinda site,alikahya_ve_dumlupinar_sinirinda
alizepark city,alizepark_city
alizepark city sitesi,alizepark_city
almira sitesi,almira
altin vadi evleri sitesi,altin_vadi
altinevler sitesi,altinevler
altinkent kalici konutlari 3 ada,altinkent_kalici_konutlari_3_ada
altinkent kalici konutlari 5 ada,altinkent_kalici_konutlari_5_ada
altinkent kalici konutlari 6 ada sitesi,altinkent_kalici_konutlari_6_ada
altinkent kalici konutlari 7 ada,altinkent_kalici_konutlari_7_ada
altinkent sitesi,altinkent
altinsehir sitesi,altinsehir
anadolu evleri,anadolu
anadolu sitesi,anadolu
anakent sitesi,anakent
anatolia evleri,anatolia
ara kat daire site,ara
ara kat sifir site,ara_sifir
arakat asansorlu butik site,asansorlu_butik
aras gayrimenkulden fsm'de site,aras_gayrimenkulden_fsm_de
armada kent 5. etap sitesi,armada_kent_5
armada sitesi,armada
armadakent 1. etap,armadakent_1
armadakent 3 etap sitesi,armadakent_3
armadakent 3. etap,armadakent_3
armadakent 4. etap,armadakent_4
armadakent 5. etap,armadakent_5
armakent 4. etap,armakent_4
armoni 2 evleri,armoni_2
armonia rezidans,armonia
ars'den kent meydaninda site,ars_den_kent_meydaninda
arslanbey atakent konutlari,arslanbey_atakent
art yapi elit park evleri,art_yapi_elit_park
asansorlu site,asansorlu
asayra dan bayindirlik kalici konutlari,asayra_dan_bayindirlik_kalici
asayra dan izmit yuvam akarca konutlari,asayra_dan_yuvam_akarca
asena sitesi,asena
aslantas plus,aslantas_plus
asrin evleri sitesi,asrin
