canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning,county
izmit::yildiz_konutlari,yildiz konutlari,1,18,"{""yildiz konutlari"": 58581.615000000005}",0.0,,izmit
izmit::yuvam_akarca,izmit yuvam akarca konutlari | yuvam akarca evleri | yuvam izmit akarca evleri,3,12,"{""yuvam izmit akarca evleri"": 39409.525, ""yuvam akarca evleri"": 36956.52, ""izmit yuvam akarca konutlari"": 38695.65}",2453.0050000000047,,izmit
izmit::kavanium_833_ada,kavanium 833 ada,1,12,"{""kavanium 833 ada"": 54582.555}",0.0,,izmit
izmit::kentsa,kentsa sitesi,1,4,"{""kentsa sitesi"": 64423.08}",0.0,,izmit
izmit::eskidjiden_iztop_park,eskidjiden izmit iztop park,1,1,"{""eskidjiden izmit iztop park"": 51923.08}",0.0,,izmit
izmit::vadi_izmit,vadi izmit,1,5,"{""vadi izmit"": 36032.39}",0.0,,izmit
izmit::kavanium_evleri_819_ada,kavanium izmit evleri 819 ada,1,2,"{""kavanium izmit evleri 819 ada"": 53621.795}",0.0,,izmit
izmit::kavanium_832_ada,kavanium 832 ada,1,4,"{""kavanium 832 ada"": 51125.0}",0.0,,izmit
izmit::iztop_park,iztop park evleri,1,5,"{""iztop park evleri"": 48993.29}",0.0,,izmit
izmit::green_hill_city,green hill city,1,4,"{""green hill city"": 50261.495}",0.0,,izmit
izmit::myra_3,myra-3 sitesi,1,1,"{""myra-3 sitesi"": 51866.67}",0.0,,izmit
izmit::jasmine_country,jasmine country | jasmine country sitesi,2,13,"{""jasmine country sitesi"": 39884.44, ""jasmine country"": 38135.59}",1748.8500000000058,,izmit
izmit::cepni_corner_park,cepni corner park,1,1,"{""cepni corner park"": 49500.0}",0.0,,izmit
izmit::akarca,yeni akarca konutlari,1,1,"{""yeni akarca konutlari"": 38266.67}",0.0,,izmit
izmit::alikahya_ve_dumlupinar_sinirinda,alikahya ve dumlupinar sinirinda site,1,1,"{""alikahya ve dumlupinar sinirinda site"": 59090.91}",0.0,,izmit
