classified_id,district,duplex_type,is_large_home,actual_unit_price_gross,pred_ensemble,residual,gross_m2
1233012200,28 Haziran Mah.,none,0,70000.0,24536.812160839825,45463.18783916018,150.0
1322227206,Çayırköy Mh.,garden,0,91503.27,48165.57357729691,43337.69642270309,153.0
1299347236,Fatih Sultan Mehmet Mh.,standard,1,66666.67,28775.12471694781,37891.54528305219,225.0
1324981362,Gündoğdu Mh.,garden,1,70952.38,33781.25997637823,37171.12002362178,210.0
1313515494,Sahil Mah.,none,0,82500.0,47481.420880842124,35018.579119157876,100.0
1314905024,Çayırköy Mh.,none,0,90780.14,55765.54532620932,35014.59467379068,141.0
1313060280,Gündoğdu Mh.,standard,1,71590.91,36644.185668507445,34946.72433149256,220.0
1309780795,Cumhuriyet Mah.,none,1,72222.22,38544.24366980616,33677.976330193844,225.0
1319931947,Alikahya Cumhuriyet Mah.,none,0,79333.33,46041.66821665946,33291.66178334054,75.0
1323921785,Kayacık Mh.,none,1,59090.91,29252.18883214721,29838.721167852793,220.0
1322508527,Ereğli Mh.,none,0,69800.0,41028.86733322282,28771.13266677718,50.0
1317048661,28 Haziran Mah.,none,0,70000.0,41626.9960297482,28373.003970251797,90.0
1325775171,Orhan Mah.,none,0,70800.0,42647.33229070604,28152.667709293957,125.0
1317615213,4 Temmuz Mah.,roof,0,72285.71,44933.93028678539,27351.779713214615,175.0
1286535074,Acısu Mh.,none,1,61235.96,34362.46746376096,26873.492536239042,356.0
1304080042,Turgut Mah.,none,0,60937.5,35733.18280650924,25204.31719349076,160.0
1317699691,Gündoğdu Mh.,garden,0,66346.15,41285.11090469426,25061.039095305736,156.0
1325901660,Kabaoğlu Mh.,roof,0,77419.35,52422.00673567952,24997.343264320487,93.0
1325444340,Barbaros Mah.,none,0,69750.0,45878.54467260049,23871.45532739951,100.0
1274037916,Körfez Mh.,roof,0,58900.0,35096.85348524992,23803.14651475008,100.0
1309008766,Kayacık Mh.,none,0,73076.92,49358.440472266826,23718.479527733172,130.0
1327223254,Yeşilyurt Mh.,none,1,68780.49,45136.96929437747,23643.520705622534,205.0
1320985250,Atakent Mah.,none,0,67857.14,44317.44432665802,23539.69567334198,70.0
1326448174,Kayacık Mh.,none,0,72314.05,49184.71885201232,23129.33114798768,121.0
1318834380,Kayacık Mh.,roof,0,74253.73,51333.46627596818,22920.263724031814,134.0
1323645166,Kayacık Mh.,roof,1,62500.0,39622.810943231045,22877.189056768955,264.0
1291184592,Kayacık Mh.,roof,0,72058.82,49191.107872125984,22867.712127874023,170.0
1321510171,Çayırköy Mh.,none,0,75163.4,52646.17073759773,22517.229262402267,153.0
1320945619,Fatih Sultan Mehmet Mh.,none,0,71000.0,48521.83245663507,22478.16754336493,150.0
1247441736,Turgut Mah.,none,1,63105.26,41295.17565860264,21810.084341397363,190.0
1326814327,Paşadağ Mh.,none,0,61250.0,39754.233212176696,21495.766787823304,120.0
1288491307,Seymen Mah.,standard,1,57142.86,35817.98409901684,21324.875900983163,210.0
1308076537,Gündoğdu Mh.,none,0,70588.24,49278.86687392353,21309.373126076476,85.0
1318014998,Cumhuriyet Mah.,roof,0,68711.66,47543.702143054856,21167.957856945148,163.0
1328711131,Alikahya Fatih Mah.,standard,0,57500.0,36391.234070453145,21108.765929546855,120.0
1322198330,Çayırköy Mh.,roof,1,69518.72,48445.64849381788,21073.071506182125,187.0
1324196018,4 Temmuz Mah.,none,0,68666.67,47812.4998325124,20854.170167487595,75.0
1305589348,Donanma Mah.,none,0,57500.0,36755.31599698226,20744.68400301774,100.0
1304281327,Turgut Mah.,none,0,60344.83,39653.17276437186,20691.65723562814,87.0
1327934326,M. Alipaşa Mh.,standard,0,58333.33,37642.86980044369,20690.460199556313,120.0
1316757213,Kocatepe Mah.,none,0,57692.31,37067.85582480367,20624.454175196326,130.0
1319939334,Ataevler Mh.,roof,0,62893.08,42310.281590643535,20582.798409356466,159.0
1326022367,Maşukiye Mh.,standard,1,64634.15,44072.39270436941,20561.75729563059,205.0
1286102939,Yahyakaptan Mah.,none,0,89062.5,68612.36569638026,20450.134303619736,160.0
1255585007,Çayırköy Mh.,none,0,65000.0,44600.68831370991,20399.311686290093,100.0
1330292026,Fatih Sultan Mehmet Mh.,roof,0,54074.07,33677.86930875696,20396.200691243037,135.0
1261205190,Kayacık Mh.,none,0,55263.16,34951.96493252885,20311.195067471155,95.0
1308744084,Alikahya Fatih Mah.,none,0,73518.52,53257.4730591372,20261.046940862805,135.0
1314569957,Alikahya Fatih Mah.,none,0,65000.0,44785.88589143797,20214.114108562033,120.0
1306665779,Yeşilova Mh.,none,0,84545.45,64345.89134609402,20199.55865390598,55.0
