county,feature,rows,non_null,coverage,mean
Başiskele,attr_has_elevator,1753,1753,1.0,0.4734740444951512
Başiskele,attr_has_parking,1753,1746,0.9960068454078722,0.9868270332187858
Başiskele,attr_has_balcony,1753,1753,1.0,0.9897318881916715
Başiskele,attr_is_site_inside,1753,1745,0.995436394751854,0.366189111747851
Başiskele,attr_credit_eligible,1753,0,0.0,
Başiskele,attr_building_age_score,1753,1753,1.0,0.8975470621791216
Başiskele,attr_heating_quality_score,1753,1753,1.0,0.9273702224757557
Başiskele,attr_total_quality_score,1753,1753,1.0,0.8042442089507121
Gölcük,attr_has_elevator,1182,1182,1.0,0.17343485617597293
Gölcük,attr_has_parking,1182,1182,1.0,0.8950930626057529
Gölcük,attr_has_balcony,1182,1182,1.0,0.9830795262267343
Gölcük,attr_is_site_inside,1182,1182,1.0,0.26311336717428085
Gölcük,attr_credit_eligible,1182,0,0.0,
Gölcük,attr_building_age_score,1182,1182,1.0,0.6483079526226734
Gölcük,attr_heating_quality_score,1182,1182,1.0,0.8783502538071064
Gölcük,attr_total_quality_score,1182,1182,1.0,0.7011288306072571
Karamürsel,attr_has_elevator,328,320,0.975609756097561,0.559375
Karamürsel,attr_has_parking,328,325,0.9908536585365854,0.7569230769230769
Karamürsel,attr_has_balcony,328,323,0.9847560975609756,0.9752321981424149
Karamürsel,attr_is_site_inside,328,328,1.0,0.22865853658536586
Karamürsel,attr_credit_eligible,328,0,0.0,
Karamürsel,attr_building_age_score,328,328,1.0,0.5727134146341463
Karamürsel,attr_heating_quality_score,328,328,1.0,0.848780487804878
Karamürsel,attr_total_quality_score,328,328,1.0,0.692843834688347
Kartepe,attr_has_elevator,1007,1005,0.9980139026812314,0.2955223880597015
Kartepe,attr_has_parking,1007,1003,0.9960278053624627,0.9800598205383848
Kartepe,attr_has_balcony,1007,1007,1.0,0.9870903674280039
Kartepe,attr_is_site_inside,1007,1003,0.9960278053624627,0.39082751744765704
Kartepe,attr_credit_eligible,1007,0,0.0,
Kartepe,attr_building_age_score,1007,1007,1.0,0.8901191658391261
Kartepe,attr_heating_quality_score,1007,1007,1.0,0.9252631578947369
Kartepe,attr_total_quality_score,1007,1007,1.0,0.7868632351318547
İzmit,attr_has_elevator,2397,2378,0.9920734251147267,0.47645079899074855
İzmit,attr_has_parking,2397,2390,0.9970796829370046,0.8393305439330544
İzmit,attr_has_balcony,2397,2396,0.9995828118481435,0.9319699499165276
İzmit,attr_is_site_inside,2397,2389,0.9966624947851481,0.40979489326077856
İzmit,attr_credit_eligible,2397,0,0.0,
İzmit,attr_building_age_score,2397,2397,1.0,0.6334376303712974
İzmit,attr_heating_quality_score,2397,2397,1.0,0.8727743012098457
İzmit,attr_total_quality_score,2397,2397,1.0,0.7212688920267143
