decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,33089.415253127816,5302.256044088262
1,174,31543.124942528735,34822.19012605309,3279.0651835243475
2,176,33617.061534090906,36170.67912341272,2553.617589321812
3,174,35227.52902298851,36698.3693692332,1470.840346244691
4,176,36766.70914772727,37608.339749187675,841.6306014603996
5,175,38721.52542857143,38596.20988613517,-125.31554243625995
6,175,41049.114285714284,39821.906505131294,-1227.2077805829915
7,175,43378.922857142854,41181.55239601946,-2197.370461123393
8,175,46825.67697142858,43155.312688365644,-3670.36428306293
9,176,55005.39056818183,45299.24425904263,-9706.14630913919
