model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_outside_mean,0.023527512291956047,1
gradient_boosting,,num__detail_effect_total_mean,0.021192362903268532,2
gradient_boosting,,num__detail_effect_subtype_sum,0.018556573766178905,3
gradient_boosting,,num__detail_effect_subtype_mean,0.015479933802742565,4
gradient_boosting,,num__detail_effect_inside_sum,0.012947488475225089,5
gradient_boosting,,num__detail_effect_outside_sum,0.011102757384421864,6
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.010735769026731791,7
extra_trees,,num__detail_effect_subtype_sum,0.010068345026640214,8
extra_trees,,num__detail_effect_subtype_mean,0.00946140298781514,9
extra_trees,,num__detail_effect_total_mean,0.006073085783069887,10
extra_trees,,num__detail_effect_outside_x_attr_quality,0.00567147443378637,11
gradient_boosting,,num__detail_effect_inside_mean,0.005514097527844791,12
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.005323539391522254,13
extra_trees,,num__detail_effect_total_x_attr_quality,0.0050062756032331155,14
extra_trees,,num__detail_effect_outside_mean,0.0047141892119771465,15
extra_trees,,num__detail_effect_outside_sum,0.0046842855563077644,16
extra_trees,,num__detail_effect_inside_x_attr_quality,0.004506526502543456,17
extra_trees,,num__detail_effect_county_total_sum,0.004364125986403375,18
gradient_boosting,,num__detail_effect_view_mean,0.004350900371961616,19
extra_trees,,num__detail_effect_total_sum,0.004260332473680312,20
extra_trees,,num__detail_effect_inside_sum,0.004246289687395222,21
extra_trees,,num__detail_effect_inside_mean,0.004042908646833386,22
gradient_boosting,,num__detail_effect_total_sum,0.003940988391363768,23
extra_trees,,num__detail_effect_district_total_sum,0.003689125257240621,24
gradient_boosting,,num__detail_effect_front_sum,0.0035347089605838075,25
extra_trees,,num__detail_effect_view_sum,0.0027689487589298693,26
extra_trees,,num__detail_effect_view_x_location_baseline,0.0027526323059254075,27
extra_trees,,num__detail_effect_negative_count,0.0027090128729879447,28
extra_trees,,num__detail_effect_total_abs_sum,0.002685508214609141,29
extra_trees,,num__detail_effect_front_sum,0.0026751924003511314,30
extra_trees,,num__detail_effect_view_mean,0.0026459063470106827,31
extra_trees,,num__detail_effect_front_mean,0.0025241177177739776,32
extra_trees,,num__detail_effect_level_code,0.002434390017599627,33
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.002347100543555915,34
gradient_boosting,,num__detail_effect_front_mean,0.0021895365476111554,35
extra_trees,,num__location_quality_x_detail_effect_total,0.0021300062183164208,36
extra_trees,,num__detail_effect_nearby_mean,0.002069586825617665,37
extra_trees,,num__detail_effect_positive_count,0.002064824777037053,38
extra_trees,,num__detail_effect_nearby_sum,0.0019921519979075996,39
extra_trees,,num__detail_effect_transport_sum,0.001917537483176313,40
extra_trees,,num__detail_effect_transport_mean,0.0019144449783139444,41
extra_trees,,num__detail_effect_used_count,0.0018780749035205203,42
gradient_boosting,,num__detail_effect_transport_mean,0.0013365473081222473,43
gradient_boosting,,num__detail_effect_negative_count,0.0012910513505410236,44
gradient_boosting,,num__detail_effect_total_abs_sum,0.0012115789897578827,45
gradient_boosting,,num__detail_effect_nearby_mean,0.0010990881798353014,46
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0010486369644750466,47
gradient_boosting,,num__detail_effect_used_count,0.000986297124854795,48
gradient_boosting,,num__detail_effect_county_total_sum,0.0009746093360486291,49
gradient_boosting,,num__detail_effect_district_total_sum,0.0008827480925447594,50
gradient_boosting,,num__detail_effect_view_sum,0.0008434122720416335,51
gradient_boosting,,num__detail_effect_level_code,0.00037762249738084857,52
gradient_boosting,,num__detail_effect_positive_count,0.0003306120280084376,53
gradient_boosting,,num__detail_effect_transport_sum,0.0002822378310069954,54
gradient_boosting,,num__location_quality_x_detail_effect_total,0.0002796565397826063,55
gradient_boosting,,num__detail_effect_nearby_sum,7.538635739982902e-05,56
