district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Ulaşlı Yalı Mh.,2,0.46788900602673766,0.46788900602673766,11915.63467046655,11915.63467046655,27393.165,26317.37438587599
Acısu Mh.,1,0.44316069418424653,0.44316069418424653,27137.370542638753,27137.370542638753,61235.96,34098.589457361246
Şevkatiye Mh.,1,0.35165407398811116,0.35165407398811116,9285.86539124856,9285.86539124856,26406.25,35692.11539124856
Durhasan Mh.,1,0.2959327436771626,0.2959327436771626,9281.528036902804,9281.528036902804,31363.64,40645.1680369028
Yuvacık Yakacık Mh.,1,0.2506240815352407,0.2506240815352407,8193.480167015365,8193.480167015365,32692.31,40885.790167015366
Dereköy Mh.,12,0.24719241460509875,0.1928361520576372,6907.380344200085,5742.9191010464565,30411.850833333334,32070.683627257968
Yalakdere Mh.,1,0.23605403591722482,0.23605403591722482,13197.566338959354,13197.566338959354,55909.09,42711.52366104064
Akçakoca Mh.,22,0.22607102306015897,0.19218835728243938,5887.537579472886,5881.934612712248,27434.883181818182,26615.74222073813
Rahmiye Mah.,6,0.22541156441161783,0.22015928777488966,9188.161249547531,9226.677383484595,42023.53166666667,41728.95423646536
Çukurbağ Mh.,27,0.21048358742117235,0.19629323766294485,5798.953483575927,5366.344704860367,27429.102592592593,26739.17673225377
Sahil Mah.,7,0.2061486423336158,0.2235867139670341,10319.412659326745,6696.117695182511,42624.28428571428,40639.697910469884
Bahçecik Şehitekrem Mh.,5,0.20282971359417604,0.19933461928454677,8625.785650563212,8084.127112471593,41036.438,39408.98445179473
Tepecik Mah.,24,0.1991274469430473,0.17391165218147225,5211.315916942516,5153.135166176582,28886.956666666665,29131.8349484223
Arızlı Mh.,2,0.1870241448114931,0.1870241448114931,6075.83866726544,6075.83866726544,32579.364999999998,38655.203667265436
Yenidoğan Mh.,15,0.1829536553981673,0.15091755664064638,5373.001215788881,4999.144063721411,31812.518,32452.17402789758
Uzuntarla Mh.,5,0.18001154309915907,0.15054767964883503,6302.904877061377,6547.95789469318,36251.865999999995,39935.5877191841
Maşukiye Mh.,11,0.17968281628255744,0.11746533845497392,7461.2236093491,5034.228455312201,44085.38363636364,44660.37957850412
Ulaşlı Yavuz Sultan Selim Mh.,8,0.17701899461920836,0.1679363405934099,5722.946548414166,5468.80536407709,30427.38625,30206.055336030113
Seymen Mah.,21,0.17651721317701735,0.1276722896950105,7279.077590161149,6345.619595905118,41955.845714285715,40415.7826044527
Atakent Mah.,16,0.17518831935200277,0.16008523644896475,7327.774160658512,6090.922813400779,41882.774375,40502.591808611876
Karabaş Mh.,54,0.1731428470918511,0.1583145265049561,4975.926915859723,3719.912846936977,28882.636111111115,27979.669027691845
Saraylı Mh.,2,0.17280057230135806,0.17280057230135806,6349.513770992391,6349.513770992391,36350.575,35012.58144819946
Değirmendere Yalı Mh.,34,0.1690896423285192,0.1680767460019756,5501.205427869685,4977.911231066946,32487.920588235294,30554.917315924944
Alikahya Merkez Mah.,2,0.1680546847444036,0.1680546847444036,7613.599525949012,7613.599525949012,44386.365000000005,36772.76547405099
Çepni Mh.,10,0.16768535861894568,0.16891457860872716,5733.275774533813,6456.42160311421,34477.428,37460.76489540143
Yukarı Mh.,23,0.16450963148150746,0.13435738592631674,6492.090592018089,5571.946274643968,42459.23173913043,42062.73343756908
Sarımeşe Mh.,31,0.16356478941753386,0.14266982099546527,7654.009138683343,8125.939079764612,48507.349677419355,50259.15639404962
Değirmendere Merkez Mh.,39,0.16326373262731636,0.1567855347364512,5098.83428617066,3853.565982764492,29470.965897435897,27927.978939637727
Hacıhasan Mh.,23,0.16207291053679604,0.1442800151282655,4413.662899446519,3644.9691069877917,27935.45347826087,27710.87981059009
Halıdere Yalı Mh.,17,0.16145432735075227,0.13236624919703133,4601.853362452928,3562.3853315345295,28975.32,28165.24843995383
Kayacık Mh.,113,0.16106744057565966,0.12509046915267702,7079.637019952724,5716.632421499395,45203.53300884956,43964.77662207374
4 Temmuz Mah.,166,0.1592287862095046,0.12823512642903068,5543.988032035056,4639.813407341866,35666.80530120482,34869.26794108593
Cumhuriyet Mah.,111,0.15870709243388242,0.11828167827532637,6003.686689989053,4714.288357164616,39382.130900900906,39101.4811756371
Tavşantepe Mh.,11,0.158343021794652,0.11887564473211544,4045.5596148228883,3942.709279867311,27457.940909090907,28656.59732700961
Yüzbaşılar Mh.,51,0.1574733834167782,0.12548974199864268,4378.069767965035,3833.2351565982244,27432.452352941178,26105.826700737078
Doğan Mh.,14,0.1571125437832681,0.15248172970433033,5567.392079030671,4188.759912981175,35839.525714285715,36020.21022741941
Şirintepe Mh.,65,0.154898916914066,0.12535204095431401,5518.751616136875,3962.7353697432845,37370.92107692308,37536.00190658332
M. Alipaşa Mh.,35,0.15454181845518303,0.11824887096335124,5399.149564215087,4250.755039768668,35252.65914285715,34450.365608019194
Veliahmet Mah.,33,0.15429904153155724,0.1259735944881054,4614.814058539189,4656.727560709045,32528.83727272727,32931.72975781704
