feature,importance
num__district_m2_group_target_median,0.09730262729672676
num__district_room_count_target_median,0.06536434071582542
num__attr_total_quality_score,0.055248108839632395
num__attr_effect_building_age_bucket,0.0423425318613776
num__is_old_building,0.025381015318542526
num__attr_m2_per_room,0.021566687015844497
num__location_baseline_log,0.021174568719826332
num__location_baseline_m2,0.015881123139271276
num__trend_sale_m2,0.015567675601254428
num__detail_effect_subtype_sum,0.01431245939640956
num__detail_effect_outside_mean,0.014120850751966597
num__detail_effect_total_mean,0.01363272434316921
num__building_age,0.01321438297553619
num__detail_effect_subtype_mean,0.012470668395278852
num__attr_effect_elevator,0.011808418229080107
num__attr_building_age_inverse,0.011338959489123482
num__estimated_monthly_rent_gross,0.010957410053443882
num__dues,0.009163238748710287
cat__usage_status_Mülk Sahibi,0.009162688454075665
num__total_floors,0.008957653304605238
num__detail_effect_inside_sum,0.008596889081310155
num__detail_effect_outside_sum,0.007893521470364814
num__detail_effect_inside_x_attr_quality,0.007621147764637624
num__demo_old_ratio,0.007385547215861134
num__attr_building_age_score,0.0070955349899342055
num__demo_age_65_plus,0.006841366335300089
cat__parking_Açık Otopark,0.00683960844054331
num__attr_has_elevator,0.006806929756712869
num__attr_quality_x_county_income,0.00671082879135684
cat__elevator_Var,0.006597761110955802
num__demo_divorced_ratio,0.006424742650573814
num__distance_to_coast_x_near_sea_zero,0.006042779562032131
cat__detail_konut_tipi_Ara Kat,0.005971087107574974
num__net_m2,0.005901152784731672
num__attr_is_old_building,0.005629282460345984
num__bathroom_count,0.005586335519637915
num__detail_effect_outside_x_attr_quality,0.0054975069126543125
num__trend_yield,0.005410717352156443
num__demo_population_density,0.0051611233381689894
num__detail_effect_inside_mean,0.004778503087339089
num__location_baseline_vs_trend,0.004564200790618776
num__attr_quality_x_demo_income,0.004222181019714938
num__detail_effect_total_sum,0.00410066043252204
num__attr_compactness_score,0.003843050241437744
num__detail_effect_total_x_attr_quality,0.0036766880733945153
num__distance_to_coastline_m,0.0035740812755748015
num__district_target_mean,0.0035536156143774894
num__detail_effect_view_mean,0.003498403359486149
num__gross_m2,0.003476836301550221
cat__demo_dominant_age_group_65+,0.00340396285127232
