building_age_group,n,mape,mae
21-25 arası,14,0.21954672508650513,7906.635454101744
16-20 arası,14,0.21880168235778757,7775.5273005816625
4,5,0.20363187719139392,7056.9548001924
3,3,0.1976323186974208,11755.214369723515
31 ve üzeri,73,0.19335415307235398,5615.877973914957
6-10 arası,47,0.17555344371017315,7079.5475510780025
2,3,0.17395222504173144,10830.765701989096
5,5,0.16086280864553432,8886.482684485884
26-30 arası,37,0.15958591256600865,5706.060700290252
11-15 arası,49,0.14705071636509984,5927.27624288421
1,9,0.12795798849651,6792.5070770558
0 (Oturuma Hazır),52,0.10051931458964697,5433.711616018672
0 (Yapım Aşamasında),17,0.09026126838599297,4448.203140145222
