room_count,n,mape,mae
4.5+1,1,0.9618039415597406,18091.070474846772
4.5+2,1,0.3666649837735981,22916.56148584988
6+2,1,0.30193866527818547,10451.721635297195
5+2,1,0.2345733485627808,7101.342193314431
4+2,6,0.21270895265601675,7722.132904072531
2.5+1,1,0.18790724075086737,6725.100555635945
4+1,27,0.17380736308071623,7767.787003805781
3+1,141,0.16672060952391796,5931.044321936692
5+1,8,0.1613571676623923,6780.742430403941
3+2,2,0.15935149765927759,7248.099151711147
5.5+1,1,0.15408174900154165,5553.363550536393
1+1,13,0.14659160833367024,7362.425886559585
2+1,118,0.1385178497387269,5676.007162441923
3.5+1,3,0.0768441699098622,2402.7175261869925
6+1,3,0.054462106261864617,1820.9731727991518
2+2,1,0.04208788715472516,1832.8597240899617
