model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_outside_mean,0.026032930859919902,1
gradient_boosting,,num__detail_effect_total_mean,0.019281220281408926,2
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.016240308196459097,3
gradient_boosting,,num__detail_effect_subtype_sum,0.013330524992883013,4
gradient_boosting,,num__detail_effect_subtype_mean,0.011719028280157109,5
gradient_boosting,,num__detail_effect_outside_sum,0.00950874434452102,6
gradient_boosting,,num__detail_effect_inside_sum,0.008542368360067162,7
extra_trees,,num__detail_effect_subtype_mean,0.006820515111058463,8
extra_trees,,num__detail_effect_total_mean,0.005683352941085383,9
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.005360965566964756,10
extra_trees,,num__detail_effect_outside_x_attr_quality,0.005330182854934621,11
gradient_boosting,,num__detail_effect_view_mean,0.005252478659910297,12
extra_trees,,num__detail_effect_outside_sum,0.005149032210714622,13
extra_trees,,num__detail_effect_subtype_sum,0.00512854223341712,14
extra_trees,,num__detail_effect_outside_mean,0.004850905634585459,15
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.004777377745472497,16
extra_trees,,num__detail_effect_total_x_attr_quality,0.004775989871099068,17
extra_trees,,num__detail_effect_inside_x_attr_quality,0.004717634148358164,18
gradient_boosting,,num__detail_effect_inside_mean,0.0044346122604403,19
extra_trees,,num__detail_effect_county_total_sum,0.004288340111568324,20
extra_trees,,num__detail_effect_inside_mean,0.00415886737357714,21
extra_trees,,num__detail_effect_inside_sum,0.00410768372640466,22
extra_trees,,num__detail_effect_total_sum,0.0037159938022527416,23
extra_trees,,num__detail_effect_district_total_sum,0.003539325679703117,24
gradient_boosting,,num__detail_effect_front_sum,0.0034486123595103314,25
extra_trees,,num__detail_effect_total_abs_sum,0.003078450741531841,26
extra_trees,,num__detail_effect_front_sum,0.002701747092918237,27
extra_trees,,num__detail_effect_view_mean,0.002557345459702959,28
extra_trees,,num__detail_effect_view_sum,0.002513352591439128,29
extra_trees,,num__detail_effect_front_mean,0.002507947759591639,30
extra_trees,,num__detail_effect_negative_count,0.002409306079959668,31
extra_trees,,num__detail_effect_view_x_location_baseline,0.0023515045467894717,32
extra_trees,,num__detail_effect_level_code,0.0022202761247391606,33
extra_trees,,num__location_quality_x_detail_effect_total,0.0020351555694483633,34
extra_trees,,num__detail_effect_positive_count,0.0019785109612468436,35
extra_trees,,num__detail_effect_transport_sum,0.0019404642877007272,36
extra_trees,,num__detail_effect_nearby_sum,0.00187812841203436,37
extra_trees,,num__detail_effect_nearby_mean,0.0018761841969686323,38
extra_trees,,num__detail_effect_transport_mean,0.0018601907968778739,39
extra_trees,,num__detail_effect_used_count,0.0017495333280964712,40
gradient_boosting,,num__detail_effect_front_mean,0.001723486107555232,41
gradient_boosting,,num__detail_effect_county_total_sum,0.0017163124962955403,42
gradient_boosting,,num__detail_effect_total_abs_sum,0.0017075807966423894,43
gradient_boosting,,num__detail_effect_total_sum,0.0016395207046764615,44
gradient_boosting,,num__detail_effect_transport_mean,0.0015970854383159962,45
gradient_boosting,,num__detail_effect_negative_count,0.0015372701214044508,46
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.001486623944685824,47
gradient_boosting,,num__detail_effect_used_count,0.0010154705115601526,48
gradient_boosting,,num__detail_effect_nearby_mean,0.0009443963106339208,49
gradient_boosting,,num__detail_effect_district_total_sum,0.0008906155556045008,50
gradient_boosting,,num__detail_effect_view_sum,0.0006468807291687712,51
gradient_boosting,,num__detail_effect_level_code,0.0004948328448841087,52
gradient_boosting,,num__detail_effect_nearby_sum,0.0003341272042230336,53
gradient_boosting,,num__detail_effect_positive_count,0.00023800682677146482,54
gradient_boosting,,num__detail_effect_transport_sum,0.00012450412427535953,55
gradient_boosting,,num__location_quality_x_detail_effect_total,0.0,56
