county,group,mean_abs_effect,positive_feature_count,negative_feature_count,top_positive_features,top_negative_features
Başiskele,front,0.011115390865237261,1,4,front_north|front_score|front_west,front_south|front_east|front_west
Başiskele,inside,0.02097475955892003,12,2,in_air_conditioner|in_parent_bathroom|in_builtin_kitchen,in_terrace|in_pantry|in_laminate_floor
Başiskele,nearby,0.007665321044727655,2,9,near_sea_zero|near_mall|near_pharmacy,near_park|near_mosque|near_lake_zero
Başiskele,outside,0.06690493964494494,11,1,out_closed_pool|out_open_pool|out_pool,out_sound_insulation|out_heat_insulation|out_hydrofor
Başiskele,subtype,0.044325296309172584,1,6,subtype_middle_floor|subtype_top_floor|subtype_reverse_duplex,subtype_triplex|subtype_duplex|subtype_roof_duplex
Başiskele,transport,0.012494280204865076,1,9,transport_tem|transport_airport|transport_score,transport_train|transport_metro|transport_tram
Başiskele,view,0.02081634197217423,5,4,view_pool|view_river|view_park_green,view_city|view_nature|view_sea
Gölcük,front,0.013929749375004375,0,5,front_west|front_score|front_south,front_east|front_north|front_south
Gölcük,inside,0.03332841993079615,12,2,in_parent_bathroom|in_builtin_kitchen|in_intercom,in_laminate_floor|in_pvc|in_steel_door
Gölcük,nearby,0.011591883429310957,1,10,near_sea_zero|near_market|near_pharmacy,near_university|near_lake_zero|near_city_center
Gölcük,outside,0.07671097264717186,12,0,out_open_pool|out_sauna_hamam|out_generator,out_heat_insulation|out_sound_insulation|out_hydrofor
Gölcük,subtype,0.02422196992853559,2,5,subtype_middle_floor|subtype_duplex|subtype_reverse_duplex,subtype_triplex|subtype_top_floor|subtype_roof_duplex
Gölcük,transport,0.013453823150366565,6,4,transport_airport|transport_tem|transport_e5,transport_metro|transport_minibus|transport_score
Gölcük,view,0.02452446220200423,5,4,view_pool|view_bosphorus|view_river,view_city|view_score|view_sea
Karamürsel,front,0.021393171333899192,2,3,front_east|front_north|front_west,front_south|front_score|front_west
Karamürsel,inside,0.0455008551792526,9,5,in_parent_bathroom|in_intercom|in_air_conditioner,in_laminate_floor|in_steel_door|in_pvc
Karamürsel,nearby,0.03825764029444898,2,9,near_sea_zero|near_mall|near_lake_zero,near_mosque|near_city_center|near_hospital
Karamürsel,outside,0.06986808444826648,12,0,out_generator|out_closed_pool|out_sauna_hamam,out_heat_insulation|out_hydrofor|out_children_playground
Karamürsel,subtype,0.047286801202668406,4,3,subtype_duplex|subtype_garden_duplex|subtype_roof_duplex,subtype_top_floor|subtype_triplex|subtype_reverse_duplex
Karamürsel,transport,0.024719703137355716,3,7,transport_e5|transport_tram|transport_airport,transport_score|transport_minibus|transport_bus_stop
Karamürsel,view,0.0387421855247347,6,3,view_pool|view_bosphorus|view_river,view_score|view_city|view_park_green
Kartepe,front,0.007805354224941957,4,1,front_score|front_east|front_west,front_north|front_south|front_west
Kartepe,inside,0.04058562850189312,13,1,in_air_conditioner|in_smart_home|in_dressing_room,in_terrace|in_pantry|in_laminate_floor
Kartepe,nearby,0.02079590607387061,10,1,near_sea_zero|near_mall|near_park,near_lake_zero|near_university|near_market
Kartepe,outside,0.07257221886065186,12,0,out_open_pool|out_sauna_hamam|out_pool,out_heat_insulation|out_sound_insulation|out_hydrofor
Kartepe,subtype,0.044189827779712525,1,6,subtype_middle_floor|subtype_top_floor|subtype_garden_duplex,subtype_triplex|subtype_roof_duplex|subtype_duplex
Kartepe,transport,0.017301335962877508,9,1,transport_minibus|transport_main_road|transport_score,transport_train|transport_e5|transport_airport
Kartepe,view,0.029607788556985117,9,0,view_pool|view_bosphorus|view_park_green,view_nature|view_sea|view_lake
İzmit,front,0.008186964921819466,5,0,front_east|front_score|front_west,front_north|front_south|front_west
İzmit,inside,0.04721700122018702,13,1,in_air_conditioner|in_smart_home|in_parent_bathroom,in_terrace|in_pvc|in_heat_glass
İzmit,nearby,0.012927413721331094,9,2,near_sea_zero|near_university|near_mall,near_lake_zero|near_park|near_city_center
İzmit,outside,0.08465221339892244,12,0,out_generator|out_open_pool|out_pool,out_heat_insulation|out_sound_insulation|out_children_playground
İzmit,subtype,0.04994783489779993,1,6,subtype_middle_floor|subtype_garden_duplex|subtype_duplex,subtype_triplex|subtype_top_floor|subtype_roof_duplex
İzmit,transport,0.01516423098806224,10,0,transport_tem|transport_airport|transport_e5,transport_minibus|transport_score|transport_bus_stop
İzmit,view,0.029166192759691654,7,2,view_pool|view_bosphorus|view_river,view_city|view_lake|view_nature
