district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Ulaşlı Yalı Mh.,2,0.47684464337193355,0.47684464337193355,12163.846443990753,12163.846443990753,27393.165,26231.908949510587
Acısu Mh.,1,0.4444410663301157,0.4444410663301157,27215.775360148313,27215.775360148313,61235.96,34020.18463985169
Şevkatiye Mh.,1,0.36553783021920894,0.36553783021920894,9652.483329225986,9652.483329225986,26406.25,36058.73332922599
Durhasan Mh.,1,0.29697226060552506,0.29697226060552506,9314.13107161787,9314.13107161787,31363.64,40677.77107161787
Yuvacık Yakacık Mh.,1,0.2474302858674102,0.2474302858674102,8089.067608965994,8089.067608965994,32692.31,40781.377608965995
Dereköy Mh.,12,0.24659931565597612,0.18628101340433434,6879.008734614556,5446.721731784019,30411.850833333334,32157.248501641337
Rahmiye Mah.,6,0.2331275881703876,0.23345132569926297,9486.849511399914,9777.689114462959,42023.53166666667,41819.143701805624
Akçakoca Mh.,22,0.2239920686063671,0.1915315402284774,5847.865572755165,5809.53986418511,27434.883181818182,26546.660829362005
Yalakdere Mh.,1,0.22184986888988806,0.22184986888988806,12403.42428625295,12403.42428625295,55909.09,43505.66571374705
Çukurbağ Mh.,27,0.21039245131652104,0.20162508963960157,5800.475063905639,5497.408597064663,27429.102592592593,26691.21818250524
Bahçecik Şehitekrem Mh.,5,0.2012869553588726,0.21605171499593145,8641.008043242962,8762.098290620397,41036.438,38956.8093626864
Tepecik Mah.,24,0.20000702371509596,0.1704585863484217,5237.539434691161,5038.809656048175,28886.956666666665,29094.635152144907
Sahil Mah.,7,0.19887907184166173,0.20889819351108907,10078.49287185156,6145.089222111848,42624.28428571428,40560.31519992902
Arızlı Mh.,2,0.187624842683407,0.187624842683407,6105.007332320902,6105.007332320902,32579.364999999998,38684.3723323209
Ulaşlı Yavuz Sultan Selim Mh.,8,0.1860574904673627,0.17202687088452664,5947.682012463636,5551.495925787223,30427.38625,30501.91635791964
Yenidoğan Mh.,15,0.18052411740674845,0.14465534311431474,5303.288669765409,4804.158976348386,31812.518,32485.62900492398
Maşukiye Mh.,11,0.17739515043876944,0.12248521075364384,7406.171377312558,5874.5793349693195,44085.38363636364,44732.05524701764
Seymen Mah.,21,0.1754468585742191,0.12720182887006537,7214.078983471795,5774.88566885412,41955.845714285715,40482.31641945706
Saraylı Mh.,2,0.17499459963359462,0.17499459963359462,6404.345662936619,6404.345662936619,36350.575,35195.72006962517
Atakent Mah.,16,0.17473521389298072,0.15780607216348042,7316.6762405314885,6000.05984508101,41882.774375,40492.48010940738
Uzuntarla Mh.,5,0.17305308380488765,0.15416159436706584,6093.48183379101,6513.4032025160195,36251.865999999995,39739.986552784605
Avcıköy Mh.,1,0.1725798129459877,0.1725798129459877,8820.745803261801,8820.745803261801,51111.11,42290.3641967382
Karabaş Mh.,54,0.17255146266414206,0.1571713559562756,4961.178343011918,3632.924786356716,28882.636111111115,27969.66377892977
Değirmendere Yalı Mh.,34,0.1692286954585961,0.1705853415560317,5492.022550560274,4977.013320667449,32487.920588235294,30609.227924628318
Çepni Mh.,10,0.16852101536924996,0.17580921615021566,5756.0814160575665,6718.453637682032,34477.428,37506.584620718626
Yukarı Mh.,23,0.16335228125013077,0.12805299986982518,6428.347449127517,5363.644246320604,42459.23173913043,42126.2745405493
