room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
4.5+2,1,0.36790096640420566,0.36790096640420566,22993.810400262853,22993.810400262853,62500.0,39506.18959973715
2+0,1,0.3538031502519128,0.3538031502519128,11719.729352094611,11719.729352094611,33125.0,44844.72935209461
6+3,1,0.2477847933574734,0.2477847933574734,6382.33663768859,6382.33663768859,25757.58,32139.91663768859
4.5+1,11,0.23707789022916204,0.18400369328997448,7998.63935332381,6434.067580830357,37813.62454545454,38824.60298292406
3.5+1,15,0.2279081962853927,0.17183035480994005,9058.008020306917,6022.853922053371,40512.062666666665,37527.47138645177
5+2,7,0.2265518862233912,0.20830016275369007,6207.321425404751,6305.96247911407,30521.02142857143,32837.964162645294
4+2,23,0.22221938647768785,0.1907761865283964,6314.472571905645,6824.602353956874,31348.985217391306,33457.28512947914
3+0,2,0.20644030381445588,0.20644030381445588,6479.613527493348,6479.613527493348,32567.31,31968.318124298075
3+2,11,0.1728553018974258,0.20745882470067126,5202.123826817164,5936.636414315719,31216.80818181818,32504.497033133186
6+2,2,0.16255073318495847,0.16255073318495847,5626.755398475947,5626.755398475947,34615.38,38038.189699401366
6+1,10,0.16234058404834112,0.138602189791997,6259.236649413295,4519.720928196299,37903.004,37799.90813519973
5+1,56,0.16189992958754737,0.16037020875934344,5903.127575775865,5490.937229622699,35885.91071428572,35724.66722051888
2.5+1,13,0.15370268640955284,0.18334308354783566,6040.263007597662,6183.432920864099,39644.58384615385,39871.51853611785
2+2,4,0.14178760771277688,0.14975380863272264,6036.371073043776,4852.1092219813,42830.542499999996,39603.85060539233
4+1,588,0.1393802973751574,0.10534441725865029,5029.471223636,3673.937034056309,36239.4018707483,35892.52046125135
3+1,3028,0.12303259466472234,0.09728408412181588,4492.743691771064,3426.7386353534366,36975.068873844124,36533.69398862773
1+1,417,0.11712791386511999,0.0988666487283824,5517.965393144995,4383.55836810953,46893.92798561151,46383.018015115915
2+1,2452,0.10694510076161294,0.08321293000480509,4062.2699159109443,3137.3515966279992,38679.249004893965,38339.57390423443
Stüdyo (1+0),14,0.10047278106136583,0.07766920071957087,6591.480435013677,3561.2247872922017,63090.70428571429,59048.86195046549
7+1,1,0.08395694885179082,0.08395694885179082,2606.1639004641693,2606.1639004641693,31041.67,28435.50609953583
5.5+1,3,0.07702810887462024,0.08199919103427203,2583.8630514697907,2585.5599520728792,31615.309999999998,32475.466416754538
1.5+1,7,0.07366439656518213,0.05997033406606689,3260.209699769265,2811.1094093468855,44694.17142857143,43883.286379030826
