feature,importance
num__district_m2_group_target_median,0.0946535063097479
num__district_room_count_target_median,0.06453307861633763
num__attr_total_quality_score,0.05361744509091453
num__attr_effect_building_age_bucket,0.04406019452932242
num__is_old_building,0.025494861802944538
num__attr_m2_per_room,0.019724529624628534
num__location_baseline_log,0.019632781925346836
num__building_age,0.018325056154938135
num__location_baseline_m2,0.016268975951434637
num__detail_effect_outside_mean,0.01544191824725268
num__trend_sale_m2,0.015058597037809832
num__attr_effect_elevator,0.012777162480441397
num__detail_effect_total_mean,0.012482286611247154
num__detail_effect_inside_x_attr_quality,0.010478971172408631
num__duplex_x_gross_m2,0.009872719777176298
num__demo_old_ratio,0.009405007728801294
num__detail_effect_subtype_mean,0.009269771695607786
num__detail_effect_subtype_sum,0.009229533613150067
num__total_floors,0.009176885182765427
cat__usage_status_Mülk Sahibi,0.00886665365332457
num__estimated_monthly_rent_gross,0.008783614059479479
num__dues,0.00786664182724247
num__attr_building_age_inverse,0.0077513829929180145
num__detail_effect_outside_sum,0.0073288882776178215
num__detail_effect_inside_sum,0.006325026043235911
num__attr_is_old_building,0.006271500664243776
num__demo_age_65_plus,0.006160669208840539
cat__large_home_x_site_project_id_bucket_lh__missing,0.006143663547540936
num__attr_quality_x_county_income,0.006113534511356428
cat__parking_Açık Otopark,0.006036283445762264
num__distance_to_coast_x_near_sea_zero,0.005683448009860372
num__bathroom_count,0.005664873367985525
num__demo_population_density,0.0056390394174693215
num__attr_building_age_score,0.0055954762136542135
num__demo_divorced_ratio,0.0054546516689117095
num__trend_yield,0.005434199821876517
num__detail_effect_outside_x_attr_quality,0.005345574210949689
cat__elevator_Var,0.004965785986821229
num__detail_effect_total_x_attr_quality,0.004776683808285782
num__net_m2,0.004679451821793404
num__detail_effect_inside_mean,0.00429673981700872
num__district_target_mean,0.004242863040928977
num__attr_quality_x_demo_income,0.0041920005896234624
num__location_baseline_vs_trend,0.004128710009844158
num__attr_has_elevator,0.004039291980609721
num__detail_effect_view_mean,0.003904912059806628
cat__heating_Kombi (Doğalgaz),0.0032526983040354522
cat__demo_dominant_age_group_65+,0.003111370668759843
num__distance_to_district_centroid_m,0.0030852546598057803
num__attr_compactness_score,0.0030833306302071404
