model,feature,importance
extra_trees,num__district_m2_group_target_median,0.05490656052738135
extra_trees,num__is_old_building,0.04543767242436135
extra_trees,num__district_room_count_target_median,0.03720479623695695
extra_trees,num__attr_effect_building_age_bucket,0.01348540074951978
extra_trees,num__attr_is_old_building,0.012543001328487551
extra_trees,num__location_baseline_log,0.012320872277550207
extra_trees,num__location_baseline_m2,0.010620624516047013
extra_trees,num__attr_total_quality_score,0.010480415363144617
extra_trees,num__attr_building_age_score,0.010318762151240732
extra_trees,cat__elevator_Var,0.009931571973642458
extra_trees,cat__usage_status_Mülk Sahibi,0.008851485996937648
extra_trees,num__attr_m2_per_room,0.00876373869564384
extra_trees,num__building_age,0.008122757426025213
extra_trees,num__attr_has_elevator,0.008078583961219441
extra_trees,cat__large_home_x_site_project_id_bucket_lh__missing,0.00725735714953573
extra_trees,num__trend_sale_m2,0.006919569736903859
extra_trees,num__detail_effect_subtype_mean,0.006820515111058463
extra_trees,num__attr_effect_elevator,0.006667426200524545
extra_trees,num__estimated_monthly_rent_gross,0.006521096280993181
extra_trees,num__trend_yield,0.006341716321827232
extra_trees,cat__demo_dominant_age_group_65+,0.006222741337519686
extra_trees,num__dues,0.006214620747268725
extra_trees,num__attr_compactness_score,0.006166661260414281
extra_trees,cat__elevator_Yok,0.006092040898742488
extra_trees,num__detail_effect_total_mean,0.005683352941085383
extra_trees,num__distance_to_coast_x_near_sea_zero,0.005593695018554517
extra_trees,num__detail_effect_outside_x_attr_quality,0.005330182854934621
extra_trees,num__detail_effect_outside_sum,0.005149032210714622
extra_trees,num__detail_effect_subtype_sum,0.00512854223341712
extra_trees,num__attr_is_mid_age_building,0.00499698521142545
extra_trees,num__detail_effect_outside_mean,0.004850905634585459
extra_trees,num__detail_effect_total_x_attr_quality,0.004775989871099068
extra_trees,cat__heating_Kombi (Doğalgaz),0.004729490666433664
extra_trees,num__detail_effect_inside_x_attr_quality,0.004717634148358164
extra_trees,num__demo_age_65_plus,0.0046124384326048295
extra_trees,num__district_target_mean,0.004547482951916803
extra_trees,num__total_floors,0.004446523787006265
extra_trees,num__location_baseline_vs_trend,0.004330937740862527
extra_trees,num__duplex_or_large_home,0.004323323617917761
extra_trees,num__detail_effect_county_total_sum,0.004288340111568324
extra_trees,num__detail_effect_inside_mean,0.00415886737357714
extra_trees,num__detail_effect_inside_sum,0.00410768372640466
extra_trees,num__bearing_from_district_centroid_cos,0.004088288971637187
extra_trees,num__demo_divorced_ratio,0.004057106232351228
extra_trees,cat__parking_Açık Otopark,0.004020251457503291
extra_trees,num__demo_old_ratio,0.00401786534229929
extra_trees,num__bearing_from_district_centroid_sin,0.003941075443125918
extra_trees,cat__detail_konut_tipi_Ara Kat,0.003929266616543962
extra_trees,num__bathroom_count,0.003897393848834844
extra_trees,num__duplex_x_gross_m2,0.003795878255234481
extra_trees,num__net_m2,0.0037916012578844967
extra_trees,num__gross_m2,0.0037639502950178624
extra_trees,num__detail_effect_total_sum,0.0037159938022527416
extra_trees,num__attr_compact_home_x_quality,0.003657637409953629
extra_trees,num__attr_effect_total_quality_bucket,0.00365548570649941
extra_trees,num__net_gross_ratio,0.003645362247469747
extra_trees,num__attr_building_age_inverse,0.003600712400658597
extra_trees,cat__usage_status_Boş,0.003596411662602884
extra_trees,num__detail_effect_district_total_sum,0.003539325679703117
extra_trees,num__attr_net_gross_ratio,0.0035312878167035352
extra_trees,num__location_baseline_level_code,0.00344539343304508
extra_trees,num__attr_quality_x_location_baseline,0.0034336604204232624
extra_trees,num__attr_quality_x_county_income,0.003222177145829009
extra_trees,cat__duplex_x_county_nonduplex,0.0030979992409588967
extra_trees,num__detail_effect_total_abs_sum,0.003078450741531841
extra_trees,num__remaining_floors,0.0030453485144857485
extra_trees,num__attr_quality_x_demo_income,0.002941495200281755
extra_trees,num__location_baseline_count,0.002902394337198926
extra_trees,cat__duplex_type_none,0.0028823206978765294
extra_trees,num__district_room_rent_m2_count,0.002870592628920463
extra_trees,num__floor_num,0.0028395923650046794
extra_trees,cat__duplex_match_source_none,0.0028052218204162173
extra_trees,cat__usage_status_Kiracılı,0.0027575865169997484
extra_trees,cat__m2_group_126-150,0.002703389450865033
extra_trees,num__detail_effect_front_sum,0.002701747092918237
extra_trees,cat__m2_group_101-125,0.0026514386884954693
extra_trees,num__distance_to_coast_x_view_sea,0.0026136212100309718
extra_trees,num__detail_front_count,0.00259827648093256
extra_trees,num__district_m2_group_rent_m2_count,0.002578508740532317
extra_trees,num__district_m2_group_rent_m2_median,0.0025743751518492847
extra_trees,num__detail_effect_view_mean,0.002557345459702959
extra_trees,num__distance_to_district_centroid_m,0.00255247764735356
extra_trees,num__detail_inside_count,0.002549208992719975
extra_trees,num__bearing_from_county_centroid_cos,0.0025353737059476073
extra_trees,num__demo_widow_ratio,0.002522401326833165
extra_trees,num__detail_effect_view_sum,0.002513352591439128
extra_trees,num__detail_effect_front_mean,0.002507947759591639
extra_trees,num__detail_near_count,0.0024378431493365517
extra_trees,num__attr_floor_ratio,0.0024274079520570325
extra_trees,num__floor_ratio,0.002427227700429534
extra_trees,num__detail_effect_negative_count,0.002409306079959668
extra_trees,num__attr_amenity_score,0.0024071004847184877
extra_trees,num__demo_population_density,0.0023841860589295695
extra_trees,cat__kitchen_Kapalı,0.0023806498887990048
extra_trees,num__inside_quality_score,0.0023731827412583483
extra_trees,cat__duplex_x_site_project_nonduplex,0.002363640878714514
extra_trees,num__lat_centered_county,0.0023594564438489305
extra_trees,cat__room_count_3+1,0.002355609298420558
extra_trees,num__attr_is_middle_floor,0.0023523719407259292
extra_trees,num__detail_effect_view_x_location_baseline,0.0023515045467894717
extra_trees,num__detail_transport_count,0.0023481910708392307
extra_trees,cat__kitchen_Açık (Amerikan),0.002333948919776828
extra_trees,num__attr_old_building_x_no_elevator,0.0023329397838918325
extra_trees,cat__building_age_group_0 (Oturuma Hazır),0.002307036353678319
extra_trees,cat__duplex_x_site_quality_tier_nonduplex,0.002303317557535579
extra_trees,num__basiskele_detail_group_bucket_median,0.0023029884284840136
extra_trees,num__attr_quality_x_district_median,0.002287419020875554
extra_trees,num__is_middle_floor,0.0022789213676550984
extra_trees,num__attr_new_building_x_site_inside,0.002257330896088273
extra_trees,num__distance_to_county_centroid_m,0.0022490465096807006
extra_trees,num__distance_to_geo_cluster_center_m,0.002247460410815288
extra_trees,num__front_score,0.0022467277905594855
extra_trees,num__nearby_score,0.0022342404699295425
extra_trees,cat__floor_segment_Ara Kat,0.0022248209668344994
extra_trees,num__detail_effect_level_code,0.0022202761247391606
extra_trees,cat__coast_distance_bucket_500_1000,0.0022024641685754512
extra_trees,num__attr_net_gross_good,0.0021471333317442764
extra_trees,cat__floor_segment_Zemin/Giriş,0.002146488185799879
extra_trees,num__distance_to_coast_x_large_home,0.002143712415937489
extra_trees,num__site_security_score,0.002136319130157115
extra_trees,num__estimated_rent_m2_gross,0.0020958675080715683
extra_trees,num__outside_quality_score,0.0020762129765065354
extra_trees,num__detail_view_count,0.002074362746531994
extra_trees,cat__duplex_x_district_nonduplex,0.00206598674415151
extra_trees,num__location_quality_x_detail_effect_total,0.0020351555694483633
extra_trees,cat__building_age_group_21-25 arası,0.0020324160521437247
extra_trees,num__transport_score,0.0020275280702414414
extra_trees,num__distance_to_coastline_inv,0.002024446288994751
extra_trees,num__detail_effect_positive_count,0.0019785109612468436
extra_trees,num__bearing_from_county_centroid_sin,0.0019645901675533766
extra_trees,num__detail_outside_count,0.0019619491951869306
extra_trees,num__detail_quality_score,0.0019497358380738325
extra_trees,num__accessibility_score,0.0019446009869983074
extra_trees,num__detail_effect_transport_sum,0.0019404642877007272
extra_trees,num__district_room_rent_m2_median,0.0019221013843144868
extra_trees,cat__detail_konut_tipi_missing,0.0019108372964190435
extra_trees,num__demo_age_55_64,0.0019097379927872787
extra_trees,num__demo_ses_d_ratio,0.0019047255344437095
extra_trees,num__detail_selected_count,0.001899998557711025
extra_trees,num__detail_effect_nearby_sum,0.00187812841203436
extra_trees,num__detail_effect_nearby_mean,0.0018761841969686323
extra_trees,cat__parking_Kapalı Otopark,0.0018617255174153712
extra_trees,num__detail_effect_transport_mean,0.0018601907968778739
extra_trees,cat__detail_cephe_missing,0.0018294352326754884
extra_trees,cat__parking_Açık & Kapalı Otopark,0.0018208876508590158
extra_trees,num__demo_age_65_plus_count,0.001811180380601261
extra_trees,num__attr_is_new_building,0.0017860384027764856
extra_trees,cat__building_age_group_6-10 arası,0.0017829304229876712
extra_trees,cat__m2_group_76-100,0.0017599127016400737
extra_trees,cat__detail_cephe_Doğu|Güney,0.0017590744608822538
extra_trees,num__attr_floor_quality_score,0.0017524348292368877
extra_trees,num__detail_effect_used_count,0.0017495333280964712
extra_trees,cat__detail_manzara_Şehir,0.001745397303147406
extra_trees,cat__coast_distance_bucket_1000_3000,0.0017267388863889102
extra_trees,num__view_score,0.0017246307996565842
extra_trees,num__district_target_median,0.0017208086015103228
extra_trees,num__demo_old_ratio_diff_county,0.001694188093635756
extra_trees,num__county_room_count_target_median,0.0016817459761996553
extra_trees,cat__room_count_2+1,0.0016536834813956243
extra_trees,num__lon_centered_county,0.0016490089837447213
extra_trees,num__trend_rent_m2,0.0016432340531126915
extra_trees,cat__detail_cephe_Batı|Güney,0.0016405515804891577
extra_trees,num__large_home_detail_premium_x_m2,0.0016352241854261699
extra_trees,num__demo_household_size,0.001615576440473393
extra_trees,num__distance_to_coastline_m,0.001554006364447055
extra_trees,num__district_rent_m2_count,0.0015513495412488778
extra_trees,num__district_rent_m2_median,0.0015444694501284737
extra_trees,cat__duplex_x_site_quality_tier_duplex__unknown,0.0015341964998003403
extra_trees,num__lat,0.00153351348064249
extra_trees,num__lat_centered_city,0.0015022415646230394
extra_trees,num__attr_heating_quality_score,0.0014996807667429384
extra_trees,num__basiskele_district_premium_bucket_mean,0.0014989714035134726
extra_trees,num__attr_is_ground_or_below,0.0014954604073298136
extra_trees,num__demo_young_ratio,0.0014903116348861753
extra_trees,num__demo_pharmacy_count,0.0014778446340225216
extra_trees,num__distance_to_golcuk_center_m,0.0014775099452647579
extra_trees,cat__heating_Yerden Isıtma,0.0014762884461700157
extra_trees,cat__coast_distance_bucket_3000_plus,0.0014717923415070934
extra_trees,num__demo_car_per_capita,0.0014620548764809583
extra_trees,num__demo_vehicle_per_capita,0.0014551797231868162
extra_trees,num__trend_sale_annual_change,0.001440505763506564
extra_trees,num__distance_to_kullar_m,0.0014189305474362438
extra_trees,num__demo_density_vs_county,0.001408278151624869
extra_trees,cat__furnished_Hayır,0.0014069788890954883
extra_trees,num__distance_to_karamursel_center_m,0.0014001436142143874
extra_trees,num__attr_effect_site_inside,0.00138258139788121
extra_trees,num__district_rent_m2_mean,0.0013692550572175148
extra_trees,num__attr_net_gross_bad,0.001344260738578307
extra_trees,num__distance_to_izmit_center_m,0.0013275198359587001
extra_trees,cat__site_project_match_source_site_name,0.001326726878241694
extra_trees,cat__detail_manzara_Park & Yeşil Alan|Şehir,0.0013235617131264858
extra_trees,cat__detail_cephe_Batı|Doğu|Güney|Kuzey,0.0013206144369324014
extra_trees,num__demo_age_0_14,0.001316119827211818
extra_trees,num__lon,0.001314328581863313
extra_trees,cat__site_project_x_county_missing__izmit,0.0012922112391445643
