room_count,n,mape,mae
4.5+1,1,0.9495846792062593,17861.23201522372
4.5+2,1,0.36790096640420566,22993.810400262853
6+2,1,0.26143191546293354,9049.56509787732
2.5+1,1,0.2136202812035894,7645.356645527427
4+2,6,0.20991234802478173,7677.186207855985
5+2,1,0.20830016275369007,6305.96247911407
4+1,27,0.17534138225601387,7798.336049319005
3+1,141,0.16765128469059196,5957.259961676301
5+1,8,0.16571417187298504,7010.297623156734
1+1,13,0.15090642344105934,7590.0129581932315
3+2,2,0.1462768591774419,6844.880139669873
2+1,118,0.13944605770572205,5710.582814267723
5.5+1,1,0.12545080162348596,4521.4563933491445
3.5+1,3,0.08662837245433179,2717.2117384629187
6+1,3,0.059105580274959275,2036.2540692554041
2+2,1,0.058923812755437364,2566.037178160761
