district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,0.9495846792062593,17861.23201522372
Tepeköy Mh.,31 ve üzeri,76-100,1,0.5256007174851716,14278.821243682884
4 Temmuz Mah.,4,76-100,1,0.4682180177601919,15148.229435514422
Ereğli Mh.,16-20 arası,101-125,1,0.4571242967709523,13348.029465711807
Kayacık Mh.,31 ve üzeri,126-150,1,0.44947158197668263,10487.668747883989
Dereköy Mh.,11-15 arası,200+,1,0.4372182012657717,18238.246840878768
Kayacık Mh.,26-30 arası,200+,2,0.4320709558994101,26158.569721445467
4 Temmuz Mah.,21-25 arası,126-150,1,0.3757324095821721,7653.80820418039
Kayacık Mh.,3,126-150,1,0.33236823944943406,24288.447244787138
4 Temmuz Mah.,4,200+,1,0.32950683359631877,11642.57368871382
Kayacık Mh.,2,151-200,1,0.3275606148396031,23603.63138381629
Kayacık Mh.,16-20 arası,126-150,2,0.325750587484749,10036.314504121268
Tepeköy Mh.,6-10 arası,151-200,1,0.3040703753635861,18678.608337948324
Kayacık Mh.,11-15 arası,200+,3,0.30359263084293436,10981.348065157195
4 Temmuz Mah.,21-25 arası,101-125,4,0.30145105869675226,7307.542343708864
4 Temmuz Mah.,1,0-75,1,0.29648022238255967,20358.30959186984
Ereğli Mh.,21-25 arası,0-75,2,0.28333161801170914,18458.60039645194
Dereköy Mh.,11-15 arası,151-200,1,0.28293225247700404,7666.550170951308
Dereköy Mh.,16-20 arası,126-150,1,0.276934050486752,7023.69000734116
Kayacık Mh.,31 ve üzeri,76-100,4,0.27169677392244007,9251.071048317304
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.2713153799429921,17409.404450726593
Kayacık Mh.,6-10 arası,200+,1,0.26143191546293354,9049.56509787732
4 Temmuz Mah.,31 ve üzeri,126-150,15,0.25998263714564623,7698.265081617794
Kayacık Mh.,16-20 arası,151-200,3,0.2554262852576772,10716.005353900253
4 Temmuz Mah.,26-30 arası,76-100,5,0.24867212260382207,7793.591022964276
Dereköy Mh.,11-15 arası,76-100,1,0.24796971706992146,6612.526615096962
4 Temmuz Mah.,5,101-125,1,0.24685969951158268,13371.56787974306
Kayacık Mh.,21-25 arası,76-100,2,0.24325812717862177,9791.791785048294
4 Temmuz Mah.,6-10 arası,151-200,6,0.23395687161151793,10874.695641476379
Ereğli Mh.,31 ve üzeri,101-125,1,0.22594697048855755,10393.560642473647
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.2258177393471112,11394.495875866425
Kayacık Mh.,6-10 arası,76-100,2,0.2248071582856438,10456.408314444558
Yalakdere Mh.,16-20 arası,101-125,1,0.22184986888988806,12403.42428625295
4 Temmuz Mah.,31 ve üzeri,0-75,3,0.2160450093227518,7808.522898499358
4 Temmuz Mah.,4,151-200,1,0.2145556129901383,7509.446454654841
Kayacık Mh.,11-15 arası,151-200,3,0.21356060887171466,7434.261359612964
Kayacık Mh.,5,0-75,1,0.21216739109871546,14144.493447139
Kayacık Mh.,26-30 arası,76-100,4,0.2018252801033294,6980.981102575472
Kayacık Mh.,1,151-200,1,0.20058790361295567,8783.138523742418
Kayacık Mh.,26-30 arası,101-125,3,0.18151163975246576,7710.095417765692
Kayacık Mh.,31 ve üzeri,101-125,11,0.1812030503616325,5368.395766860892
Avcıköy Mh.,21-25 arası,76-100,1,0.1725798129459877,8820.745803261801
4 Temmuz Mah.,0 (Yapım Aşamasında),101-125,1,0.16525282728173366,8124.931225527995
4 Temmuz Mah.,6-10 arası,76-100,3,0.16429065105769786,7958.821014292611
4 Temmuz Mah.,1,76-100,3,0.16171832223899416,7955.36456312909
4 Temmuz Mah.,6-10 arası,101-125,7,0.15184828061353622,5596.544558621482
Kayacık Mh.,16-20 arası,101-125,3,0.15128623572041686,4937.9252571245415
4 Temmuz Mah.,6-10 arası,126-150,8,0.151107860461835,4674.866810365212
Kayacık Mh.,6-10 arası,101-125,4,0.15065349736330083,9090.395474057841
4 Temmuz Mah.,31 ve üzeri,101-125,19,0.1503577354679916,3666.643592919226
4 Temmuz Mah.,6-10 arası,200+,6,0.14119019664476815,5042.000179517469
Kayacık Mh.,26-30 arası,151-200,1,0.1407505698917681,4222.517096753043
Kayacık Mh.,11-15 arası,101-125,5,0.1401914793458156,7459.192705005014
Dereköy Mh.,11-15 arası,126-150,3,0.14008185325117306,4780.3177946919795
Ereğli Mh.,0 (Yapım Aşamasında),0-75,2,0.13863881318863358,6529.289930279745
Dereköy Mh.,26-30 arası,151-200,1,0.13379099617385268,3943.489612224308
4 Temmuz Mah.,3,76-100,2,0.13214107641900508,5544.165584588536
4 Temmuz Mah.,31 ve üzeri,76-100,14,0.13179996549984127,3770.181448357335
4 Temmuz Mah.,26-30 arası,126-150,9,0.12924105706696906,2581.4321974373242
4 Temmuz Mah.,11-15 arası,76-100,6,0.12788253162804378,5977.613643181404
Kayacık Mh.,16-20 arası,200+,1,0.12545080162348596,4521.4563933491445
4 Temmuz Mah.,11-15 arası,126-150,3,0.12155429555123566,5154.385165247312
Ereğli Mh.,11-15 arası,200+,1,0.12142084001221987,5557.338353312494
Kayacık Mh.,21-25 arası,126-150,2,0.12102715420068516,4128.106607366719
4 Temmuz Mah.,11-15 arası,101-125,5,0.11992271997955957,5992.19726638282
4 Temmuz Mah.,2,151-200,1,0.11956440120585729,5417.761929640408
Kayacık Mh.,5,101-125,1,0.11812469170163588,6189.73384516572
4 Temmuz Mah.,31 ve üzeri,151-200,3,0.11572668580599722,2881.6078160655175
4 Temmuz Mah.,0 (Oturuma Hazır),151-200,2,0.11349177169109875,5196.590441660319
4 Temmuz Mah.,11-15 arası,200+,3,0.11295798518294593,3385.5814508968324
Kayacık Mh.,0 (Oturuma Hazır),101-125,3,0.11164636268002111,5227.735000929385
Kayacık Mh.,31 ve üzeri,0-75,1,0.11109768933078278,4814.2328340082895
Kayacık Mh.,5,76-100,1,0.10864435612636857,4729.224722010709
Kayacık Mh.,0 (Oturuma Hazır),126-150,7,0.10855426958225234,6884.452624853914
4 Temmuz Mah.,0 (Oturuma Hazır),76-100,3,0.10787331968968056,6595.156347308839
Kayacık Mh.,11-15 arası,126-150,2,0.10779946243962513,4275.927959970388
Kayacık Mh.,0 (Oturuma Hazır),0-75,6,0.10592419353364925,4972.2189295678045
4 Temmuz Mah.,26-30 arası,101-125,5,0.10537023103632578,3538.0249419690763
4 Temmuz Mah.,5,76-100,1,0.10168888431903557,5084.4442159517785
Kayacık Mh.,6-10 arası,151-200,4,0.09843135084504535,6311.7451563853665
Kayacık Mh.,0 (Oturuma Hazır),76-100,5,0.09805667583677703,4972.2541261561655
Kayacık Mh.,11-15 arası,76-100,4,0.09416209267765682,3681.4878364172982
Dereköy Mh.,6-10 arası,151-200,1,0.09332844235800691,2990.697802664825
Kayacık Mh.,0 (Yapım Aşamasında),101-125,4,0.09189576827602387,4227.3997813477035
4 Temmuz Mah.,0 (Oturuma Hazır),101-125,7,0.0896569785364152,4648.7137574023045
Kayacık Mh.,26-30 arası,126-150,3,0.08923814759973651,3669.1722871593324
4 Temmuz Mah.,11-15 arası,151-200,6,0.0887960305340854,3541.4693897863094
Kayacık Mh.,0 (Oturuma Hazır),151-200,4,0.08878717707352402,6486.356231955377
Ereğli Mh.,0 (Oturuma Hazır),76-100,6,0.0837623413114108,4094.9884445177145
Ereğli Mh.,0 (Yapım Aşamasında),76-100,5,0.08182652858539267,4238.891684580407
Ereğli Mh.,16-20 arası,126-150,1,0.07677313230375371,2746.1158271933964
4 Temmuz Mah.,0 (Yapım Aşamasında),76-100,2,0.07323650728349272,3925.606054904176
Ereğli Mh.,26-30 arası,76-100,2,0.073050107426504,3361.5016483524523
Tepeköy Mh.,0 (Oturuma Hazır),76-100,2,0.07226365756561602,2950.172218067888
Ereğli Mh.,11-15 arası,101-125,1,0.06512438634865848,2839.42324480151
Kayacık Mh.,4,76-100,1,0.06183153975430485,2827.662044897341
4 Temmuz Mah.,0 (Yapım Aşamasında),0-75,2,0.06135816715231294,3067.907814199698
Ereğli Mh.,11-15 arası,151-200,1,0.058923812755437364,2566.037178160761
Dereköy Mh.,6-10 arası,126-150,2,0.058593944540313095,1935.3591834588406
4 Temmuz Mah.,2,76-100,1,0.05695079387885745,2214.7531585675606
4 Temmuz Mah.,26-30 arası,151-200,2,0.048666658287132854,1442.4197525571526
Ereğli Mh.,0 (Oturuma Hazır),200+,3,0.047210601778985395,1790.813200226102
Ereğli Mh.,1,126-150,1,0.04427466736653967,1741.4701021683359
4 Temmuz Mah.,16-20 arası,151-200,1,0.04200369545303387,1791.3341202072625
Kayacık Mh.,1,0-75,3,0.04161460771420598,2039.9529660356468
Kayacık Mh.,21-25 arası,101-125,1,0.037646868571410114,1411.7575714278792
Ereğli Mh.,0 (Oturuma Hazır),151-200,1,0.0303005552737702,1363.524987319659
Kayacık Mh.,0 (Yapım Aşamasında),76-100,1,0.025929210570651545,1377.4893115658633
Kayacık Mh.,6-10 arası,126-150,1,0.008276973547425912,358.6688261318777
Tepeköy Mh.,21-25 arası,0-75,1,0.0054434043061996696,235.88083512397134
4 Temmuz Mah.,4,101-125,1,4.691598288376223e-05,1.935284293955192
