decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,33041.75311883298,5254.593909793432
1,174,31543.124942528735,34777.927885935336,3234.802943406605
2,176,33617.061534090906,36135.33302141906,2518.2714873281484
3,174,35227.52902298851,36644.90535094058,1417.3763279520733
4,176,36766.70914772727,37597.4816780519,830.7725303246353
5,175,38721.52542857143,38597.32780886695,-124.19761970447792
6,175,41049.114285714284,39834.17360848513,-1214.9406772291568
7,175,43378.922857142854,41205.1834530632,-2173.739404079658
8,175,46825.67697142858,43264.644754109955,-3561.0322173186164
9,176,55005.39056818183,45435.0379128728,-9570.352655309014
