building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,585,0.1594132631737397,0.12837448791063694,4378.061410704528,3414.589122045072,27460.147572649574,27377.6381596366
26-30 arası,415,0.1440408357425994,0.11910139310803641,4101.71431908104,3274.8877123784223,28543.812409638555,28143.541657383164
16-20 arası,206,0.13728074558930478,0.09551059239683238,4788.1667608971575,3396.887116291755,35885.83932038835,36198.72031357986
21-25 arası,242,0.13302887509129577,0.10240876456929901,4304.726352616132,3523.5970562333787,33980.545,34270.06464917656
missing,18,0.13095407528246839,0.11510297461523647,5592.118778462147,5115.487184098325,42992.14388888889,41389.912971449376
5,278,0.1279770547343948,0.10002394691096814,5162.41334309244,3889.6295183652237,40081.814496402876,39303.36455491031
3,197,0.12737374861679335,0.10453034263753305,5308.457585214574,4182.264756832199,41236.08126903553,40607.65823868119
6-10 arası,1148,0.1242531867724626,0.09929342814842512,4818.168846736232,3695.156269636758,39176.28763937282,38873.28699031822
2,206,0.12306762675981138,0.10234728429317835,5192.579256348278,3906.865322194164,41854.85223300971,41455.2984744384
11-15 arası,781,0.12296079096662112,0.09577095344080279,4779.294865249121,3685.9405527360796,39677.26417413572,39466.18753561088
4,155,0.11530194879286687,0.0958607271296636,4755.224843836083,3712.3563617239706,41030.00180645161,40347.12868789473
1,261,0.11041810649118969,0.081038336340583,4453.654297841641,3392.873380441888,41322.642873563214,41229.55816683584
0 (Yapım Aşamasında),179,0.10885063523298097,0.08588693165552755,4984.74718249141,3847.521219698814,45358.292402234634,44390.628575612434
0 (Oturuma Hazır),1996,0.09647977653646761,0.0741202186266427,4041.062596119352,2882.9452283673418,40684.464183366734,40020.71934178297
