heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.22376066579933526,0.222331152606666,9414.281081606645,5850.819922454975,36936.85,32457.23541532842
Yok,26,0.21004468140525787,0.1767610676588946,6866.217190179362,5570.106729619438,34610.45115384615,33583.85437634076
Doğalgaz Sobası,45,0.18190372790192982,0.1659781818206386,5547.328111906483,4300.016644494157,29016.16688888889,27873.1637594641
Kombi (Elektrik),12,0.15092398417281117,0.13929554055270782,6703.2483032212485,5388.767734517776,39483.42083333334,38462.69328383175
Klima,7,0.14191516196421444,0.09291368644687005,4725.223628466692,3757.8569415022394,32086.58714285714,31525.857569148757
Kombi (Doğalgaz),3871,0.13106572669835345,0.10436150538226377,4660.455364276539,3591.4674902528495,36411.337104107464,36235.37189400293
,18,0.13095407528246839,0.11510297461523647,5592.118778462147,5115.487184098325,42992.14388888889,41389.912971449376
Kat Kaloriferi,26,0.12234235932546883,0.09938955000762756,4277.518944498315,3940.321608340084,35067.71076923077,34978.3253807563
Merkezi,209,0.12141609667336711,0.09029586054743721,4416.970242597615,3665.995680052729,37981.59133971292,37117.32111010401
Merkezi (Pay Ölçer),331,0.1110140046339842,0.0775889227439166,5182.118118462456,3209.019232276536,45494.26628398792,44596.18165515852
VRV,2,0.10090877945711658,0.10090877945711658,8018.47196306528,8018.47196306528,71051.59,64174.78366692446
Yerden Isıtma,2115,0.09764666487734062,0.07650746507934805,4051.3531546854224,2981.1380607962346,40547.94645390071,39908.974266809644
