room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
4.5+2,1,0.37358191615028286,0.37358191615028286,23348.869759392677,23348.869759392677,62500.0,39151.13024060732
2+0,1,0.33248625625418016,0.33248625625418016,11013.607238419718,11013.607238419718,33125.0,44138.60723841972
6+3,1,0.27769389888596824,0.27769389888596824,7152.722816067238,7152.722816067238,25757.58,32910.30281606724
5+2,7,0.23403925527269057,0.23042338643000954,6348.736907761461,7306.828078077797,30521.02142857143,33410.82317478723
3.5+1,15,0.23210628771696235,0.19278295165114645,9254.26270558491,5792.709076325882,40512.062666666665,37467.20367561542
3+0,2,0.22587917241330963,0.22587917241330963,7162.205987181382,7162.205987181382,32567.31,31610.052297708702
4.5+1,11,0.225671814132817,0.1662651812500181,7606.661624312589,5993.034910236474,37813.62454545454,38461.0433124601
4+2,23,0.2189453113106159,0.17467773345026658,6152.495234490101,6632.238565239466,31348.985217391306,33608.02740990163
6+2,2,0.17672566822372915,0.17672566822372915,6117.426161318308,6117.426161318308,34615.38,38057.93061034616
3+2,11,0.1745050785350222,0.2016673937063492,5296.887677631493,5822.373876356556,31216.80818181818,32500.064831501633
6+1,10,0.16635014600490827,0.15894108949090707,6382.501316095304,5078.3933301230845,37903.004,37924.313853512795
5+1,56,0.15974498472793064,0.17651410787314098,5833.513211974928,5366.95102488872,35885.91071428572,35800.950389435835
2.5+1,13,0.1527091169396639,0.18262502588011698,6033.534902481274,5864.564948628962,39644.58384615385,39828.190480135425
2+2,4,0.15112175784251042,0.15512412313760626,6578.724109682862,4938.966848296441,42830.542499999996,39101.737724248225
4+1,588,0.13968177116369218,0.1042712794540456,5035.028110144527,3728.4097143438685,36239.4018707483,35927.32128984044
3+1,3028,0.12335278506568685,0.09714079371665647,4506.251267482162,3401.948696811198,36975.068873844124,36521.04614198786
1+1,417,0.11757567394763353,0.09810073987081756,5542.651844616156,4348.3306840438745,46893.92798561151,46371.18614082201
2+1,2452,0.10721156830292869,0.08347344563901232,4075.3133642969146,3158.208792367568,38679.249004893965,38325.484532437775
Stüdyo (1+0),14,0.1024177603462886,0.08130754165950838,6702.660183032277,3730.207236127728,63090.70428571429,59128.12081034481
7+1,1,0.08425168492200069,0.08425168492200069,2615.313000292721,2615.313000292721,31041.67,28426.356999707277
1.5+1,7,0.06897323984601847,0.05798846602921622,3068.8600310937118,2718.2093451195105,44694.17142857143,44170.65306409811
5.5+1,3,0.068812955661361,0.06316018567548363,2289.5740671412022,1991.5372894320826,31615.309999999998,32577.19254085315
