feature,importance
num__district_m2_group_target_median,0.09761275257546849
num__district_room_count_target_median,0.06526583675826396
num__attr_total_quality_score,0.05536642663092459
num__attr_effect_building_age_bucket,0.04202595525645465
num__is_old_building,0.022767542563617443
num__attr_m2_per_room,0.02053139188515419
num__location_baseline_log,0.019497051139739197
num__location_baseline_m2,0.01689046934642724
num__trend_sale_m2,0.016049684151637683
num__detail_effect_subtype_sum,0.014279795198505653
num__detail_effect_outside_mean,0.014136616885459924
num__building_age,0.013915968145230884
num__detail_effect_total_mean,0.013632219786358594
num__detail_effect_subtype_mean,0.012154917473507287
num__attr_building_age_inverse,0.011185331329506597
num__attr_effect_elevator,0.010802841865804328
num__estimated_monthly_rent_gross,0.01077585735654668
num__demo_old_ratio,0.01023550573339637
num__total_floors,0.009468539787354926
num__detail_effect_inside_sum,0.009113696693590651
cat__usage_status_Mülk Sahibi,0.009017785662002186
num__dues,0.008768976902837546
num__attr_building_age_score,0.008023026331148625
num__detail_effect_inside_x_attr_quality,0.0075520378477575145
num__detail_effect_outside_sum,0.007357045913745562
num__attr_is_old_building,0.00719037539355374
cat__elevator_Var,0.006951634999966784
cat__parking_Açık Otopark,0.006922011167453633
num__attr_quality_x_county_income,0.006771074505993006
num__attr_has_elevator,0.006529893959032038
num__demo_divorced_ratio,0.006477366633058692
num__distance_to_coast_x_near_sea_zero,0.006224768812336457
num__bathroom_count,0.005758853317640188
num__detail_effect_outside_x_attr_quality,0.005586512088872279
cat__detail_konut_tipi_Ara Kat,0.005584314041875478
num__net_m2,0.005361412553704455
num__demo_population_density,0.005127773412264881
num__trend_yield,0.004762203045601576
num__detail_effect_inside_mean,0.004708120967214508
num__location_baseline_vs_trend,0.0045207943643913754
num__attr_quality_x_demo_income,0.004226035633958391
num__gross_m2,0.003967195418482104
num__demo_age_65_plus,0.003938543596210739
num__attr_compactness_score,0.003933579913082085
num__detail_effect_view_mean,0.003922774879147177
num__distance_to_coastline_m,0.003833744105596117
num__detail_effect_total_x_attr_quality,0.0036910040950801724
num__district_target_mean,0.0036144324306085804
cat__demo_dominant_age_group_65+,0.003337427910303966
num__attr_effect_total_quality_bucket,0.003334741886382565
