model,feature,importance
extra_trees,num__district_m2_group_target_median,0.05979671068716066
extra_trees,num__is_old_building,0.04519517379202171
extra_trees,num__district_room_count_target_median,0.03806608526063616
extra_trees,cat__elevator_Var,0.013903269999933568
extra_trees,num__attr_is_old_building,0.013753015710661199
extra_trees,num__attr_has_elevator,0.013059787918064076
extra_trees,num__location_baseline_log,0.012968531938333713
extra_trees,num__attr_effect_building_age_bucket,0.012457423326835793
extra_trees,cat__detail_konut_tipi_Ara Kat,0.011057625066357
extra_trees,num__location_baseline_m2,0.010118692804525603
extra_trees,num__attr_m2_per_room,0.01011291375227951
extra_trees,num__detail_effect_subtype_sum,0.009975738263610222
extra_trees,num__building_age,0.009783945722534987
extra_trees,num__detail_effect_subtype_mean,0.009504649048624704
extra_trees,num__attr_building_age_score,0.0089172659988118
extra_trees,cat__usage_status_Mülk Sahibi,0.00887632948601586
extra_trees,num__attr_total_quality_score,0.008871877044891808
extra_trees,num__trend_sale_m2,0.008249385898567678
extra_trees,num__estimated_monthly_rent_gross,0.007967376600865174
extra_trees,num__attr_compactness_score,0.007773775785938911
extra_trees,num__dues,0.0066804970095945175
extra_trees,cat__demo_dominant_age_group_65+,0.006674855820607932
extra_trees,num__detail_effect_total_mean,0.005955826639762739
extra_trees,num__detail_effect_outside_x_attr_quality,0.005904017251221903
extra_trees,num__trend_yield,0.005794047138055063
extra_trees,num__attr_effect_elevator,0.005592105522271534
extra_trees,num__distance_to_coast_x_near_sea_zero,0.005523001578654043
extra_trees,num__gross_m2,0.005227882335382696
extra_trees,cat__heating_Kombi (Doğalgaz),0.005007437263779147
extra_trees,num__detail_effect_outside_sum,0.00481609223957531
extra_trees,num__location_baseline_vs_trend,0.004686883639999832
extra_trees,num__detail_effect_total_x_attr_quality,0.004597906800278043
extra_trees,num__net_m2,0.004576843979302604
extra_trees,num__detail_effect_outside_mean,0.004576359430929732
extra_trees,num__district_target_mean,0.004541934406271058
extra_trees,num__detail_effect_inside_x_attr_quality,0.004499143507916552
extra_trees,cat__parking_Açık Otopark,0.004407698901911789
extra_trees,num__total_floors,0.0044059969862348895
extra_trees,num__demo_age_65_plus,0.004386794092593564
extra_trees,num__attr_is_mid_age_building,0.004318822674012777
extra_trees,num__demo_old_ratio,0.004307513891915689
extra_trees,num__detail_effect_total_sum,0.004290405201411717
extra_trees,num__detail_effect_inside_sum,0.004171776948147573
extra_trees,num__distance_to_coast_x_large_home,0.004157168985221102
extra_trees,num__bearing_from_district_centroid_cos,0.00411650751677276
extra_trees,num__attr_effect_total_quality_bucket,0.004103106088151711
extra_trees,num__bathroom_count,0.0041021830285441745
extra_trees,num__detail_effect_inside_mean,0.004088010798903157
extra_trees,num__location_baseline_level_code,0.004068691047253702
extra_trees,num__detail_effect_county_total_sum,0.004054899997256412
extra_trees,num__bearing_from_district_centroid_sin,0.004011342685011972
extra_trees,cat__elevator_Yok,0.0038329210036747155
extra_trees,cat__usage_status_Boş,0.0038180600952617267
extra_trees,num__attr_compact_home_x_quality,0.003782141950634934
extra_trees,num__detail_effect_district_total_sum,0.0036695185707848656
extra_trees,num__demo_divorced_ratio,0.0036675392235501975
extra_trees,num__net_gross_ratio,0.00357307076559934
extra_trees,num__attr_net_gross_ratio,0.0035336779606782304
extra_trees,num__attr_quality_x_county_income,0.0034994041530653002
extra_trees,num__attr_building_age_inverse,0.003484965794566301
extra_trees,num__attr_quality_x_location_baseline,0.003329884509560087
extra_trees,num__remaining_floors,0.003228544433695496
extra_trees,num__floor_num,0.0030901739744187704
extra_trees,num__attr_quality_x_demo_income,0.003058166103933199
extra_trees,num__large_home_m2_excess,0.003013950719704105
extra_trees,num__district_room_rent_m2_count,0.0029862605345369743
extra_trees,num__location_baseline_count,0.002882767961535453
extra_trees,num__detail_effect_view_mean,0.002861495197252705
extra_trees,num__distance_to_district_centroid_m,0.002810265412215767
extra_trees,cat__m2_group_101-125,0.002793367967031524
extra_trees,num__detail_effect_front_sum,0.002776571093267124
extra_trees,cat__usage_status_Kiracılı,0.002770159186579508
extra_trees,num__detail_front_count,0.0027540222631919024
extra_trees,num__district_m2_group_rent_m2_median,0.0027499987588626026
extra_trees,cat__m2_group_126-150,0.002734872748743447
extra_trees,num__district_m2_group_rent_m2_count,0.0027317014923650177
extra_trees,num__detail_effect_total_abs_sum,0.002677944736561735
extra_trees,num__detail_inside_count,0.002674613767920082
extra_trees,num__bearing_from_county_centroid_cos,0.00266518198757403
extra_trees,num__nearby_score,0.002658364086560733
extra_trees,num__detail_near_count,0.002648336024546323
extra_trees,num__detail_effect_front_mean,0.0026483192932807184
extra_trees,num__floor_ratio,0.002609676281563107
extra_trees,num__detail_effect_view_x_location_baseline,0.002601542349539379
extra_trees,num__detail_effect_view_sum,0.0025897435627905002
extra_trees,num__basiskele_detail_group_bucket_median,0.0025663885337722722
extra_trees,num__attr_floor_ratio,0.0025600668310896053
extra_trees,num__distance_to_coast_x_view_sea,0.002559013510096687
extra_trees,num__detail_transport_count,0.002543964947100769
extra_trees,num__demo_widow_ratio,0.0025210339460125806
extra_trees,num__detail_effect_negative_count,0.0025028203886124424
extra_trees,cat__room_count_3+1,0.002482810904657806
extra_trees,cat__kitchen_Kapalı,0.002451639634731981
extra_trees,cat__kitchen_Açık (Amerikan),0.002444747435754568
extra_trees,num__lat_centered_county,0.002428713287459153
extra_trees,num__inside_quality_score,0.0024103353449431114
extra_trees,cat__floor_segment_Zemin/Giriş,0.0023939671693513575
extra_trees,cat__building_age_group_21-25 arası,0.002386705082540846
extra_trees,num__front_score,0.0023719591876892126
extra_trees,cat__coast_distance_bucket_500_1000,0.0023551493723761164
extra_trees,cat__building_age_group_0 (Oturuma Hazır),0.002318262017620096
extra_trees,num__distance_to_geo_cluster_center_m,0.00229215702834909
extra_trees,num__demo_population_density,0.0022680803098298658
extra_trees,num__detail_effect_level_code,0.0022560656147074623
extra_trees,num__county_room_count_target_median,0.002252875319640948
extra_trees,num__accessibility_score,0.002221444968836665
extra_trees,num__detail_view_count,0.002216826723124222
extra_trees,num__transport_score,0.0021893123450223433
extra_trees,num__attr_quality_x_district_median,0.002183204179387141
extra_trees,num__distance_to_county_centroid_m,0.0021811542616356847
extra_trees,num__attr_is_new_building,0.0021788487390134044
extra_trees,num__outside_quality_score,0.0021723107006611083
extra_trees,num__site_security_score,0.002162643240384117
extra_trees,num__location_quality_x_detail_effect_total,0.002159436150283369
extra_trees,num__bearing_from_county_centroid_sin,0.0021154999527972116
extra_trees,num__attr_is_middle_floor,0.002104907787977019
extra_trees,num__attr_amenity_score,0.0020997709094685534
extra_trees,num__detail_outside_count,0.0020966902111926393
extra_trees,num__detail_effect_nearby_mean,0.0020628566037434216
extra_trees,num__detail_quality_score,0.0020613821330665513
extra_trees,num__estimated_rent_m2_gross,0.0020577525721904035
extra_trees,num__district_room_rent_m2_median,0.0020548569434827107
extra_trees,num__detail_selected_count,0.002034376107240156
extra_trees,num__attr_net_gross_good,0.001999325972059564
extra_trees,cat__detail_konut_tipi_missing,0.0019798934766273326
extra_trees,num__detail_effect_positive_count,0.001957198122620234
extra_trees,num__detail_effect_nearby_sum,0.001955910820816726
extra_trees,num__detail_effect_transport_sum,0.0019468803360621688
extra_trees,num__view_score,0.0019421093314193098
extra_trees,cat__detail_cephe_missing,0.001903203182246455
extra_trees,num__detail_effect_used_count,0.0018842255639303566
extra_trees,num__detail_effect_transport_mean,0.0018703328002161491
extra_trees,cat__detail_manzara_Şehir,0.001853274214281278
extra_trees,cat__m2_group_76-100,0.0018197293068646517
extra_trees,num__demo_old_ratio_diff_county,0.0018173702114649896
extra_trees,cat__parking_Açık & Kapalı Otopark,0.001811647861535938
extra_trees,cat__coast_distance_bucket_1000_3000,0.0018107354571719114
extra_trees,num__lat_centered_city,0.0018095038567669483
extra_trees,num__attr_large_home_x_quality,0.0018056424787026358
extra_trees,cat__detail_cephe_Doğu|Güney,0.0017844603434972253
extra_trees,cat__heating_Yerden Isıtma,0.0017750560492372069
extra_trees,num__demo_age_0_14,0.0017662924138970367
extra_trees,num__lon_centered_county,0.00176134845998202
extra_trees,cat__parking_Kapalı Otopark,0.0017550225998937275
extra_trees,num__attr_effect_site_inside,0.0017314814608321584
extra_trees,num__demo_household_size,0.001725571814519206
extra_trees,num__lat,0.0017136303652189025
extra_trees,num__distance_to_coastline_m,0.0016959819032500423
extra_trees,cat__site_project_match_source_site_name,0.0016566055706163244
extra_trees,num__attr_heating_quality_score,0.0016487988640834434
extra_trees,cat__building_age_group_6-10 arası,0.0016359386341448603
extra_trees,num__attr_old_building_x_no_elevator,0.001621594800845022
extra_trees,num__district_target_median,0.001620377814952791
extra_trees,cat__room_count_2+1,0.001615810822624244
extra_trees,num__attr_new_building_x_site_inside,0.0016042887162687738
extra_trees,num__large_home_log_m2,0.001588396859054494
extra_trees,num__large_home_net_gross_quality,0.0015778235641192941
extra_trees,num__attr_floor_quality_score,0.0015748422041784373
extra_trees,num__demo_age_55_64,0.0015740824544791655
extra_trees,cat__m2_group_200+,0.0015718667786246956
extra_trees,cat__detail_cephe_Batı|Güney,0.0015604256437785325
extra_trees,num__large_home_room_density,0.0015547571751941185
extra_trees,num__basiskele_district_premium_bucket_mean,0.0015536051111724896
extra_trees,num__large_home_detail_premium_x_m2,0.001552161044433173
extra_trees,num__is_middle_floor,0.0015394488920654362
extra_trees,cat__floor_segment_Ara Kat,0.0015376808470161066
extra_trees,num__attr_is_ground_or_below,0.0015257748903007191
extra_trees,cat__furnished_Hayır,0.001523017031867837
extra_trees,num__demo_ses_d_ratio,0.0015143640774815605
extra_trees,num__distance_to_golcuk_center_m,0.0014904141073599768
extra_trees,num__large_home_quality_x_m2,0.0014803498533774843
extra_trees,num__demo_pharmacy_per_10k,0.001435236346471687
extra_trees,num__distance_to_izmit_center_m,0.001430356930671772
extra_trees,num__demo_married_ratio,0.0014233979807715606
extra_trees,num__is_new_building,0.001421818371941486
extra_trees,num__demo_age_65_plus_count,0.0014197624878977513
extra_trees,num__demo_pharmacy_count,0.001417085128577421
extra_trees,cat__district_Cumhuriyet Mah.,0.0013925017284311724
extra_trees,num__attr_net_gross_bad,0.001384093457763562
extra_trees,cat__site_project_x_county_missing__izmit,0.0013741310576645004
extra_trees,num__is_large_flat,0.0013724693563194662
extra_trees,num__district_rent_m2_count,0.001370726910666694
extra_trees,num__trend_sale_annual_change,0.0013626002036365246
extra_trees,num__demo_vehicle_per_capita,0.0013574312076891552
extra_trees,cat__coast_distance_bucket_3000_plus,0.0013416230842605815
extra_trees,cat__detail_manzara_Park & Yeşil Alan|Şehir,0.0013404784433377207
extra_trees,num__attr_is_young_building,0.0013383988836432428
extra_trees,num__trend_rent_m2,0.0013336780343141425
extra_trees,num__demo_car_per_capita,0.0013333046914304984
extra_trees,num__distance_to_sahil_m,0.0013312951936867642
extra_trees,num__distance_to_karamursel_center_m,0.0013289075159349012
extra_trees,num__demo_age_45_54,0.001328381574869886
extra_trees,num__distance_to_basiskele_coast_m,0.0013279842842328848
extra_trees,num__district_rent_m2_mean,0.0013158267446658862
extra_trees,cat__detail_cephe_Batı|Doğu|Güney,0.0013070437131689444
extra_trees,num__trend_count_sale,0.00130368950225054
extra_trees,cat__detail_manzara_Deniz,0.0013010444260558658
extra_trees,cat__detail_cephe_Batı|Doğu|Güney|Kuzey,0.001297745956852127
extra_trees,cat__demo_dominant_age_group_35-39,0.001296012471581294
extra_trees,num__demo_education_high_school_ratio,0.0012886299738335306
extra_trees,cat__detail_cephe_Güney,0.0012877218803374177
extra_trees,num__trend_listing_period_sale,0.0012867750972052974
extra_trees,cat__coast_distance_bucket_0_500,0.0012769298763696075
extra_trees,num__distance_to_bahcecik_m,0.0012680495782638964
extra_trees,cat__m2_group_151-200,0.0012633925195004018
extra_trees,num__district_rent_m2_median,0.0012610515103049923
extra_trees,cat__detail_manzara_Doğa|Park & Yeşil Alan|Şehir,0.0012607925243813504
extra_trees,num__distance_to_yuvacik_m,0.001260222840439898
extra_trees,num__distance_to_kullar_m,0.0012590859188809323
extra_trees,num__demo_young_ratio,0.0012534791243804895
extra_trees,cat__detail_konut_tipi_En Üst Kat,0.0012501326303430114
extra_trees,num__lon,0.0012397424459714124
extra_trees,cat__detail_manzara_missing,0.0012379354955773347
extra_trees,num__demo_residential_density,0.0012320243661547241
extra_trees,cat__geo_cluster_x_room_count_city_5||3+1,0.0012288914979143818
extra_trees,num__demo_age_35_44,0.0012241688893170352
