district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,0.9284748807892197,17464.166839702444
Tepeköy Mh.,31 ve üzeri,76-100,1,0.5253231270200985,14271.280035123098
Ereğli Mh.,16-20 arası,101-125,1,0.4634230787291403,13531.953898890897
Kayacık Mh.,31 ve üzeri,126-150,1,0.4536785591441003,10585.831534433812
4 Temmuz Mah.,4,76-100,1,0.447902636552272,14490.967126217463
Dereköy Mh.,11-15 arası,200+,1,0.44470452699302504,18550.533603299875
Kayacık Mh.,26-30 arası,200+,2,0.43549276396853664,26370.450908580424
4 Temmuz Mah.,21-25 arası,126-150,1,0.38940624295120313,7932.349249225899
Kayacık Mh.,2,151-200,1,0.340070031756725,24505.045205752132
Kayacık Mh.,3,126-150,1,0.3331293483145675,24344.06673643578
Kayacık Mh.,16-20 arası,126-150,2,0.33223682712625296,10237.647495299183
Kayacık Mh.,11-15 arası,200+,3,0.30301518007864564,10997.342451099437
4 Temmuz Mah.,1,0-75,1,0.30219802787320804,20750.932254620377
4 Temmuz Mah.,21-25 arası,101-125,4,0.3007113923446077,7276.524186060612
Tepeköy Mh.,6-10 arası,151-200,1,0.30012150639710955,18436.034964220293
4 Temmuz Mah.,4,200+,1,0.29602648093381106,10459.601339573055
Dereköy Mh.,16-20 arası,126-150,1,0.2821856358544988,7156.882395945271
Ereğli Mh.,21-25 arası,0-75,2,0.2811951050403118,18345.459043566276
Kayacık Mh.,6-10 arası,200+,1,0.2761771435605926,9559.976771664464
Kayacık Mh.,31 ve üzeri,76-100,4,0.2759467504442303,9441.984497559059
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.2752035842745658,17658.897574963252
Dereköy Mh.,11-15 arası,151-200,1,0.26784094711541184,7257.624540568479
4 Temmuz Mah.,31 ve üzeri,126-150,15,0.25872773013811595,7682.310179357935
Kayacık Mh.,16-20 arası,151-200,3,0.24891853431181699,10510.928882214896
4 Temmuz Mah.,5,101-125,1,0.24527854376771535,13285.921938346393
4 Temmuz Mah.,26-30 arası,76-100,5,0.2438651765060255,7611.472744708854
Dereköy Mh.,11-15 arası,76-100,1,0.24293892402816494,6478.372117214145
Kayacık Mh.,21-25 arası,76-100,2,0.2418019409666048,9705.007001875527
Ereğli Mh.,31 ve üzeri,101-125,1,0.23859736139604548,10975.478624218093
Yalakdere Mh.,16-20 arası,101-125,1,0.23662388907003912,13229.426310166833
4 Temmuz Mah.,6-10 arası,151-200,6,0.23438943784115152,10902.260869124666
Kayacık Mh.,6-10 arası,76-100,2,0.2203351662272619,10403.256238266702
Kayacık Mh.,5,0-75,1,0.2157787604699243,14385.251417257488
4 Temmuz Mah.,31 ve üzeri,0-75,3,0.21496397719865667,7771.168117099741
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.21361177410598042,10812.198876140861
