feature,importance,rank
num__location_baseline_log,0.019497051139739197,1
num__location_baseline_m2,0.01689046934642724,2
num__distance_to_coast_x_near_sea_zero,0.006224768812336457,3
num__demo_population_density,0.005127773412264881,4
num__location_baseline_vs_trend,0.0045207943643913754,5
num__distance_to_coastline_m,0.003833744105596117,6
num__distance_to_district_centroid_m,0.003023607992373725,7
num__bearing_from_district_centroid_sin,0.0028030983091887544,8
num__distance_to_coast_x_large_home,0.002741780864080121,9
num__attr_quality_x_location_baseline,0.0025683757058917642,10
num__location_baseline_level_code,0.002540359909309145,11
num__distance_to_karamursel_center_m,0.002526489809005315,12
num__distance_to_coast_x_view_sea,0.0023071277236206378,13
num__bearing_from_district_centroid_cos,0.0022660487161339483,14
num__lat_centered_county,0.002028631774356803,15
num__distance_to_county_centroid_m,0.0019857326060235877,16
num__distance_to_izmit_center_m,0.0019737906274483576,17
num__distance_to_coast_x_site_inside,0.0019204640953000883,18
num__detail_effect_view_x_location_baseline,0.001838663505566164,19
num__location_baseline_count,0.0018185568850910595,20
num__bearing_from_county_centroid_cos,0.001757239312381447,21
num__lon_centered_county,0.001685654422659577,22
num__bearing_from_county_centroid_sin,0.0015900645892866143,23
num__lon,0.0015525720015939755,24
num__distance_to_yuvacik_m,0.0015034600659721976,25
num__distance_to_golcuk_center_m,0.0014807288421783403,26
num__lat_centered_city,0.0014643700884225124,27
num__transport_score,0.0014529980428444969,28
num__lat,0.0013971661672984095,29
num__distance_to_sahil_m,0.0012721470546923177,30
num__distance_to_basiskele_coast_m,0.0012552200520790514,31
num__distance_to_geo_cluster_center_m,0.00123726993964267,32
cat__coast_distance_bucket_500_1000,0.0011775746861880582,33
num__location_quality_x_detail_effect_total,0.0010797180751416845,34
num__distance_to_bahcecik_m,0.0010579799588060729,35
num__demo_pharmacy_per_10k,0.0010348928674760198,36
cat__coast_distance_bucket_1000_3000,0.0009053677285859557,37
num__distance_to_kullar_m,0.0008335869086447222,38
num__demo_pharmacy_count,0.0007927587657959108,39
cat__geo_cluster_x_room_count_city_5||3+1,0.0006901986664468469,40
cat__geo_cluster_x_room_count_city_2||3+1,0.000687494837532179,41
num__is_large_flat,0.0006862346781597331,42
num__lon_centered_city,0.0006847445725390974,43
num__demo_population_female,0.0006762394974460705,44
cat__coast_distance_bucket_3000_plus,0.0006708115421302907,45
cat__geo_cluster_county_Karamürsel_0,0.0006599923457188862,46
num__demo_education_high_school_count,0.0006492991598711459,47
num__demo_education_high_school_ratio,0.0006443149869167653,48
cat__coast_distance_bucket_0_500,0.0006384649381848038,49
num__basiskele_premium_x_location_baseline,0.0006039492132381116,50
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||200+,0.0006013644092125499,51
num__demo_education_primary_school_ratio,0.0005911518921653362,52
cat__geo_cluster_x_room_count_city_8||3+1,0.0005222180574385087,53
cat__geo_cluster_county_İzmit_0,0.0005186796404684464,54
cat__geo_cluster_x_room_count_city_7||3+1,0.0005015797069443139,55
num__demo_education_primary_school_count,0.00048264247857139056,56
num__demo_population_total,0.00046829534170350845,57
num__demo_high_school_diff_county,0.0004652815126593362,58
cat__geo_cluster_x_room_count_missing||3+1,0.00046471249951286563,59
cat__geo_cluster_x_room_count_city_8||2+1,0.0004448082337247728,60
cat__geo_cluster_city_city_5,0.00042897893309812025,61
num__is_small_flat,0.0004067884789485619,62
cat__geo_cluster_city_city_10,0.0004057091235328199,63
num__demo_education_middle_school_count,0.00040459453447084067,64
cat__geo_cluster_x_room_count_city_1||3+1,0.00039266606727493184,65
num__demo_education_middle_school_ratio,0.0003712571267462194,66
cat__geo_cluster_county_İzmit_1,0.0003659528972918504,67
cat__geo_cluster_city_city_8,0.000364061847231251,68
cat__geo_cluster_x_room_count_city_10||3+1,0.00035519240977670833,69
cat__geo_cluster_x_room_count_missing||2+1,0.0003349042944932356,70
cat__geo_cluster_county_other,0.00032004916803844594,71
num__demo_population_male,0.00031443489775100244,72
cat__geo_cluster_x_room_count_city_3||3+1,0.0003070448600286077,73
cat__geo_cluster_x_room_count_city_7||2+1,0.00029395166216911715,74
cat__geo_cluster_city_city_3,0.000283039511346149,75
num__basiskele_lat_lon_interaction,0.0002769211034137478,76
cat__geo_cluster_county_İzmit_2,0.0002715845219721702,77
cat__geo_cluster_county_İzmit_5,0.0002595475265693643,78
cat__geo_cluster_county_İzmit_3,0.0002537760281596653,79
cat__geo_cluster_county_Gölcük_3,0.00024300091319720622,80
cat__geo_cluster_x_room_count_city_4||2+1,0.00022856942517023978,81
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.00022403015397271618,82
cat__geo_cluster_x_room_count_city_4||3+1,0.0002219785194195424,83
cat__geo_cluster_x_room_count_city_1||2+1,0.0002131533242460089,84
cat__geo_cluster_county_İzmit_4,0.00021106490213852443,85
cat__geo_cluster_x_room_count_city_3||2+1,0.00020834962381167347,86
cat__geo_cluster_x_room_count_city_6||3+1,0.00020794938365061675,87
num__basiskele_distance_to_coast_x_large_home,0.00019792926419779012,88
cat__geo_cluster_x_room_count_city_2||2+1,0.0001954300540548628,89
cat__geo_cluster_x_room_count_city_0||4+1,0.00019271268783975336,90
cat__geo_cluster_x_room_count_city_0||3+1,0.00019135816462446668,91
cat__geo_cluster_x_room_count_city_4||4+1,0.00018991546659234197,92
cat__geo_cluster_city_city_7,0.00018453346008875222,93
cat__geo_cluster_county_Başiskele_4,0.00017429247173027907,94
cat__basiskele_geo_cluster_Başiskele_4,0.00017141192071483424,95
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||126-150,0.00015321516998337056,96
cat__geo_cluster_x_room_count_city_5||2+1,0.0001441850167285455,97
cat__geo_cluster_city_city_1,0.00013946185634108234,98
