site_project_id,n,mean_actual,mean_pred,mean_residual
basiskele::orka_life,3,56599.920000000006,46933.95671192711,-9665.963288072895
basiskele::zeray_korupark,6,49349.613333333335,40955.74958032093,-8393.863753012403
basiskele::royal_life,3,50745.386666666665,43647.73402878986,-7097.652637876808
basiskele::orka_life_2,8,50780.725,46308.32393883989,-4472.401061160111
basiskele::zeray_perla,16,50309.36125,46796.04087795493,-3513.32037204507
basiskele::alizepark_city,5,46178.534,43245.2388452145,-2933.2951547854927
golcuk::yakamoz_konutlari,1,30800.0,28461.026479439504,-2338.9735205604957
basiskele::evimiz_kocaeli,20,47590.9985,45829.84984081959,-1761.1486591804144
kartepe::other,344,41715.395872093024,40865.45994062903,-849.9359314639955
basiskele::mamik_reform,8,46433.6575,45786.123168639955,-647.534331360047
izmit::other,866,44273.3533256351,43666.44718805182,-606.906137583289
basiskele::yakamoz_konutlari,8,41078.125,40536.95436442957,-541.1706355704282
basiskele::other,322,39721.91068322981,39182.0474080007,-539.8632752291157
golcuk::other,247,35305.80255060729,34814.14176883314,-491.66078177414425
missing,4632,36668.49837867012,36353.50582769769,-314.9925509724275
basiskele::kirazli_kent,10,33006.297999999995,32795.24177317036,-211.05622682963696
basiskele::ustgrup_mezire,8,43967.52125,44080.41426234275,112.89301234274444
kartepe::bahcekent_konutlari,1,31666.67,31785.0158821742,118.34588217420242
basiskele::royal_city_akkurt,11,38002.89363636364,38255.20826856862,252.31463220497972
karamursel::other,54,37942.82074074074,38252.650525966535,309.8297852257944
basiskele::zeray_gunesi,28,42480.92035714286,43368.7854485931,887.8650914502492
basiskele::royal_country,11,43914.946363636365,44862.36808336981,947.4217197334464
basiskele::ustpark_afraze,10,40609.077000000005,41591.65461425656,982.5776142565555
basiskele::bahcekent_konutlari,20,34568.7525,35955.02822531264,1386.275725312646
basiskele::zeraykent_yuvacik,7,39558.05285714286,41022.76283495855,1464.7099778156892
basiskele::mamik_life,2,41660.08,43817.7396020086,2157.6596020086
basiskele::yuvana_evleri,12,31965.5475,34152.243399202656,2186.6958992026543
basiskele::ritim_vadi_evleri,4,33227.01,38852.87157942914,5625.861579429144
