decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,33045.40345938932,5258.2442503497705
1,174,31543.124942528735,34774.5161052193,3231.3911626905647
2,176,33617.061534090906,36142.13775837452,2525.0762242836117
3,174,35227.52902298851,36652.13615959928,1424.6071366107703
4,176,36766.70914772727,37605.04233270819,838.3331849809157
5,175,38721.52542857143,38606.234272002366,-115.29115656906502
6,175,41049.114285714284,39827.53659334213,-1221.5776923721542
7,175,43378.922857142854,41193.90202699979,-2185.0208301430703
8,175,46825.67697142858,43247.34790667429,-3578.3290647542904
9,176,55005.39056818183,45416.94411548379,-9588.446452698023
