model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_outside_mean,0.023537750764761042,1
gradient_boosting,,num__detail_effect_total_mean,0.02194939997672761,2
gradient_boosting,,num__detail_effect_subtype_sum,0.018533479326892265,3
gradient_boosting,,num__detail_effect_subtype_mean,0.01587319926227991,4
gradient_boosting,,num__detail_effect_inside_sum,0.012483032453881732,5
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.011324661473937198,6
gradient_boosting,,num__detail_effect_outside_sum,0.010893746098644566,7
extra_trees,,num__detail_effect_subtype_mean,0.009879988799893902,8
extra_trees,,num__detail_effect_subtype_sum,0.009341142615124228,9
extra_trees,,num__detail_effect_total_mean,0.00626794996248096,10
gradient_boosting,,num__detail_effect_inside_mean,0.006129508573722571,11
extra_trees,,num__detail_effect_outside_x_attr_quality,0.005619003793673003,12
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.005250495016781668,13
extra_trees,,num__detail_effect_total_x_attr_quality,0.005238513602876706,14
extra_trees,,num__detail_effect_outside_sum,0.004807848081281165,15
gradient_boosting,,num__detail_effect_view_mean,0.004536762228379808,16
extra_trees,,num__detail_effect_inside_x_attr_quality,0.004441061963733845,17
extra_trees,,num__detail_effect_outside_mean,0.004419456602804772,18
extra_trees,,num__detail_effect_total_sum,0.004217741290168536,19
extra_trees,,num__detail_effect_inside_sum,0.004180111320826332,20
extra_trees,,num__detail_effect_inside_mean,0.00406475241010064,21
extra_trees,,num__detail_effect_county_total_sum,0.003948405993256677,22
extra_trees,,num__detail_effect_district_total_sum,0.0037452602639102945,23
gradient_boosting,,num__detail_effect_front_sum,0.0031000209288647535,24
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.0028933499889087586,25
extra_trees,,num__detail_effect_front_sum,0.002794966065916035,26
extra_trees,,num__detail_effect_front_mean,0.0027799877515758877,27
extra_trees,,num__detail_effect_view_mean,0.0026719613504575064,28
extra_trees,,num__detail_effect_view_x_location_baseline,0.002604795592879345,29
extra_trees,,num__detail_effect_negative_count,0.0025770898104758642,30
extra_trees,,num__detail_effect_view_sum,0.002534449216250186,31
extra_trees,,num__detail_effect_total_abs_sum,0.0024380882731662996,32
extra_trees,,num__detail_effect_level_code,0.002275983272515827,33
extra_trees,,num__location_quality_x_detail_effect_total,0.0021784800955761577,34
gradient_boosting,,num__detail_effect_county_total_sum,0.0021492547096596424,35
extra_trees,,num__detail_effect_positive_count,0.002027661001781366,36
extra_trees,,num__detail_effect_nearby_mean,0.002023654846352954,37
extra_trees,,num__detail_effect_nearby_sum,0.0019852072620200494,38
gradient_boosting,,num__detail_effect_front_mean,0.0019471620119889156,39
extra_trees,,num__detail_effect_transport_sum,0.0019098712356756282,40
extra_trees,,num__detail_effect_transport_mean,0.0018804697021449742,41
extra_trees,,num__detail_effect_used_count,0.0018223069920186106,42
gradient_boosting,,num__detail_effect_negative_count,0.0015435543769989908,43
gradient_boosting,,num__detail_effect_total_sum,0.0013561357538174898,44
gradient_boosting,,num__detail_effect_used_count,0.0013201669835705592,45
gradient_boosting,,num__detail_effect_total_abs_sum,0.0012403066225482207,46
gradient_boosting,,num__detail_effect_nearby_mean,0.0011692974679078873,47
gradient_boosting,,num__detail_effect_transport_mean,0.0011440739748683505,48
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0008917169495957201,49
gradient_boosting,,num__detail_effect_view_sum,0.0007040778691402768,50
gradient_boosting,,num__detail_effect_district_total_sum,0.0005648966083702275,51
gradient_boosting,,num__detail_effect_level_code,0.000359810164411527,52
gradient_boosting,,num__location_quality_x_detail_effect_total,0.00027852237077818643,53
gradient_boosting,,num__detail_effect_positive_count,0.00016430232297449644,54
gradient_boosting,,num__detail_effect_nearby_sum,8.727767634325362e-05,55
gradient_boosting,,num__detail_effect_transport_sum,0.0,56
