heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.22275465011738463,0.22818150276260438,9492.176338478657,6004.776508585117,36936.85,32193.85527728589
Yok,26,0.2101393337916482,0.18101784315051328,6863.087812109628,5472.785297795865,34610.45115384615,33590.36601281046
Doğalgaz Sobası,45,0.18209644558615365,0.16298095009846614,5560.064349683558,4247.037561272889,29016.16688888889,27852.617604498497
Kombi (Elektrik),12,0.15091734986766392,0.13746095090686009,6699.613129038557,5345.313224196445,39483.42083333334,38442.450608304316
Klima,7,0.1390176239186696,0.08743371935558653,4627.8024766368935,3829.0809588974553,32086.58714285714,31523.02773251149
,18,0.1313852747181362,0.1185692610488802,5602.317480691251,5093.580208226755,42992.14388888889,41409.94911445463
Kombi (Doğalgaz),3871,0.13116501704193181,0.10447531793300685,4663.9935677940075,3614.721091691419,36411.337104107464,36236.31975390886
Merkezi,209,0.1214021952703417,0.09304363460541355,4419.013898791078,3753.420356075858,37981.59133971292,37100.88798365455
Kat Kaloriferi,26,0.12125441281733791,0.09860723085196794,4243.445869496458,3864.1293665590074,35067.71076923077,34957.345589497265
Merkezi (Pay Ölçer),331,0.1109271357542792,0.07667955848795874,5173.899704506156,3155.345143226841,45494.26628398792,44593.624502962644
VRV,2,0.09787106131134074,0.09787106131134074,7741.617003849202,7741.617003849202,71051.59,64625.59732284258
Yerden Isıtma,2115,0.09777756832031281,0.07703561263949092,4057.3269162741676,2958.8250725490943,40547.94645390071,39908.69247544858
