room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
4.5+2,1,0.3739848942260267,0.3739848942260267,23374.05588912667,23374.05588912667,62500.0,39125.94411087333
2+0,1,0.333834053745298,0.333834053745298,11058.253030312997,11058.253030312997,33125.0,44183.253030313
6+3,1,0.26563249880799333,0.26563249880799333,6842.0503386467935,6842.0503386467935,25757.58,32599.630338646795
5+2,7,0.23942889863019293,0.23272053112399865,6491.427425641539,7454.01000078642,30521.02142857143,33539.572868689414
3.5+1,15,0.23019354523192698,0.19199855434268684,9203.766048993275,5949.786048012036,40512.062666666665,37414.389089850796
4.5+1,11,0.22725218817425866,0.16340252963941682,7661.371309485009,5780.976890919403,37813.62454545454,38429.62114591145
3+0,2,0.22274855318582118,0.22274855318582118,7060.1501749226445,7060.1501749226445,32567.31,31634.941779567354
4+2,23,0.21996436813308512,0.1779610159639672,6214.795134072605,6495.331902281359,31348.985217391306,33611.29693719134
6+2,2,0.17690674497397463,0.17690674497397463,6123.694201837221,6123.694201837221,34615.38,38098.95515108803
3+2,11,0.17216096140367884,0.19140850635712547,5237.383584332236,5754.820278320425,31216.80818181818,32423.78909031645
6+1,10,0.16479204249552373,0.14903507913975372,6332.447101709249,4758.436925918313,37903.004,37887.28401562559
5+1,56,0.15930504030708428,0.17487438958002255,5818.261335624988,5269.785840707875,35885.91071428572,35792.48533891953
2.5+1,13,0.15377959121767268,0.1844606067957547,6045.245564703178,6042.8281444205495,39644.58384615385,39866.09869255637
2+2,4,0.15374477444884244,0.15881124706643238,6657.034179970768,5044.44734354152,42830.542499999996,39111.89063279066
4+1,588,0.13976292096058426,0.10495499393229483,5038.36665952889,3703.3696723993526,36239.4018707483,35929.42631115787
3+1,3028,0.12339705135721388,0.0981539964646792,4507.649817354903,3437.6535231940325,36975.068873844124,36519.61299501961
1+1,417,0.1174574796863934,0.09829291437341925,5539.493230717625,4333.877647883099,46893.92798561151,46372.493962832654
2+1,2452,0.10739431225715389,0.08389525019049679,4082.296007711991,3155.6648077415375,38679.249004893965,38325.57184641139
Stüdyo (1+0),14,0.1021920949690569,0.08114313373859144,6684.635603719233,3724.1682473943183,63090.70428571429,59218.134511067845
7+1,1,0.0800537502185574,0.0800537502185574,2485.0020965468866,2485.0020965468866,31041.67,28556.66790345311
1.5+1,7,0.07263289910719142,0.06372196121324071,3220.4346242932274,2986.9669318706583,44694.17142857143,44079.35375650639
5.5+1,3,0.06808795939401098,0.0587361381885465,2275.1937593960306,1852.0403033762996,31615.309999999998,32655.81022381183
