feature,importance,rank
num__location_baseline_log,0.021434070364583137,1
num__location_baseline_m2,0.015248465519452548,2
num__distance_to_coast_x_near_sea_zero,0.006070446828857928,3
num__demo_population_density,0.004896748622197914,4
num__location_baseline_vs_trend,0.004552585000244606,5
num__distance_to_coastline_m,0.003656269950692396,6
num__distance_to_district_centroid_m,0.0031008158176947694,7
num__bearing_from_district_centroid_sin,0.002875757480178754,8
num__distance_to_karamursel_center_m,0.0026767641889438223,9
num__attr_quality_x_location_baseline,0.0025922807945280915,10
num__distance_to_coast_x_large_home,0.002583596558407596,11
num__location_baseline_level_code,0.00250597402300757,12
num__bearing_from_district_centroid_cos,0.002323665777829085,13
num__distance_to_coast_x_site_inside,0.0020737450062087927,14
num__distance_to_coast_x_view_sea,0.0020177663896812077,15
num__bearing_from_county_centroid_cos,0.0019988682953558062,16
num__distance_to_county_centroid_m,0.0019007449553162456,17
num__lon_centered_county,0.001826307825442238,18
num__bearing_from_county_centroid_sin,0.0018109007731949528,19
num__transport_score,0.001758563468106441,20
num__detail_effect_view_x_location_baseline,0.0017482562712375325,21
num__distance_to_golcuk_center_m,0.0015761136476024197,22
num__location_baseline_count,0.001563564645864359,23
num__lat_centered_county,0.0015190121951640357,24
num__distance_to_yuvacik_m,0.0014599895235654049,25
num__distance_to_izmit_center_m,0.0014009238885299628,26
num__lat_centered_city,0.0013978268034116766,27
num__distance_to_geo_cluster_center_m,0.001368084925463541,28
num__distance_to_basiskele_coast_m,0.0013356826400080079,29
num__lon,0.0012505876378635142,30
num__location_quality_x_detail_effect_total,0.0012285012331771721,31
num__distance_to_bahcecik_m,0.0012268584440532906,32
num__lat,0.0012168830682634168,33
cat__coast_distance_bucket_500_1000,0.001196880291875223,34
num__distance_to_sahil_m,0.0010692071552496905,35
num__distance_to_kullar_m,0.001029887835956146,36
num__demo_pharmacy_per_10k,0.0009323607923364962,37
num__demo_pharmacy_count,0.0009024333763262734,38
cat__coast_distance_bucket_1000_3000,0.0008546852616246837,39
num__lon_centered_city,0.000819264959550774,40
cat__geo_cluster_county_Karamürsel_0,0.0007922965879077882,41
cat__coast_distance_bucket_3000_plus,0.0006984878445942278,42
num__demo_education_high_school_count,0.0006634925929788478,43
num__demo_population_female,0.0006555711952147452,44
cat__geo_cluster_x_room_count_city_5||3+1,0.0006368405896758358,45
num__demo_education_high_school_ratio,0.0006344819447691953,46
num__is_large_flat,0.0006084917174086866,47
cat__coast_distance_bucket_0_500,0.000606890704035565,48
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||200+,0.0005972981165636701,49
num__demo_high_school_diff_county,0.0005915345687921002,50
num__demo_education_primary_school_ratio,0.0005514899032977442,51
num__basiskele_premium_x_location_baseline,0.0005340711521310765,52
cat__geo_cluster_x_room_count_city_8||3+1,0.0005308860117286636,53
cat__geo_cluster_county_İzmit_0,0.0005177337917162589,54
cat__geo_cluster_x_room_count_city_2||3+1,0.0004869583245482019,55
cat__geo_cluster_county_İzmit_1,0.00048081474359925745,56
cat__geo_cluster_x_room_count_city_1||3+1,0.00046198604611349654,57
num__demo_education_primary_school_count,0.0004485068682226798,58
num__is_small_flat,0.00043822807035134696,59
num__demo_population_total,0.00043623495881269187,60
cat__geo_cluster_x_room_count_city_8||2+1,0.000433901868175185,61
cat__geo_cluster_x_room_count_missing||3+1,0.00042734959265104905,62
cat__geo_cluster_city_city_5,0.000381829904348689,63
cat__geo_cluster_x_room_count_city_7||3+1,0.00037923109134287765,64
cat__geo_cluster_city_city_8,0.000367502780991962,65
cat__geo_cluster_x_room_count_city_10||3+1,0.00036738630381723166,66
num__demo_population_male,0.00035890127073753,67
num__demo_education_middle_school_ratio,0.00035097561238930355,68
cat__geo_cluster_x_room_count_missing||2+1,0.0003403885946533606,69
cat__geo_cluster_county_other,0.0003399410301296653,70
num__demo_education_middle_school_count,0.00032596868793148033,71
num__basiskele_lat_lon_interaction,0.0003031564748516684,72
cat__geo_cluster_x_room_count_city_7||2+1,0.00030084188106964946,73
cat__geo_cluster_x_room_count_city_3||3+1,0.00029642717779167736,74
cat__geo_cluster_city_city_3,0.00029220744068842645,75
cat__geo_cluster_county_İzmit_2,0.0002856634166035946,76
cat__geo_cluster_county_Gölcük_3,0.0002794597766747246,77
cat__geo_cluster_county_İzmit_3,0.0002680609323902368,78
cat__geo_cluster_city_city_10,0.0002624467152791601,79
cat__geo_cluster_county_İzmit_4,0.0002577554377441915,80
cat__geo_cluster_x_room_count_city_4||2+1,0.00024409705120803543,81
cat__geo_cluster_x_room_count_city_1||2+1,0.00022893194820962107,82
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.00022680995033767172,83
cat__geo_cluster_county_İzmit_5,0.00021558460268739871,84
cat__geo_cluster_x_room_count_city_2||2+1,0.00021276090541218602,85
cat__geo_cluster_x_room_count_city_4||3+1,0.00020576761855751745,86
cat__geo_cluster_x_room_count_city_3||2+1,0.00020017064832657507,87
cat__geo_cluster_x_room_count_city_0||3+1,0.00019738604174171197,88
cat__geo_cluster_x_room_count_city_6||3+1,0.00019226705975708595,89
num__basiskele_distance_to_coast_x_large_home,0.00019044129380279716,90
cat__geo_cluster_city_city_7,0.0001812101968634721,91
cat__geo_cluster_x_room_count_city_5||2+1,0.00017536435610312177,92
cat__geo_cluster_x_room_count_city_0||4+1,0.00017286759260849114,93
cat__geo_cluster_city_city_1,0.00016935521114795767,94
cat__geo_cluster_x_room_count_city_4||4+1,0.00016634236051281154,95
cat__basiskele_geo_cluster_Başiskele_4,0.00016631226601336694,96
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||126-150,0.00014680789510456102,97
cat__basiskele_geo_cluster_Başiskele_2,0.00014506042852083345,98
cat__geo_cluster_county_Başiskele_2,0.0001447667683076786,99
cat__geo_cluster_x_room_count_city_5||4+1,0.000138310943194608,100
cat__geo_cluster_county_Başiskele_4,0.00013318449640375667,101
num__county_demo_population_density_median,0.00012557182570701805,102
cat__geo_cluster_city_city_6,0.00012448798354937584,103
cat__basiskele_geo_cluster_Başiskele_5,0.00012312167083526807,104
cat__geo_cluster_county_Başiskele_5,0.00012305904512445597,105
cat__geo_cluster_county_Başiskele_3,0.00012223719871459047,106
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||151-200,0.00012133830676162802,107
num__basiskele_distance_to_coast_x_quality,0.00012029763498980593,108
cat__geo_cluster_x_room_count_city_8||4+1,0.00012002413197090289,109
cat__geo_cluster_county_Gölcük_1,0.00011972784448128888,110
cat__basiskele_geo_cluster_Başiskele_3,0.00011754921221276727,111
