building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,585,0.1597444377972992,0.1313543928051699,4387.259448402949,3418.541507809481,27460.147572649574,27366.115255389424
26-30 arası,415,0.14375907839554705,0.12125845452020591,4093.5521612789407,3253.696772781572,28543.812409638555,28139.01901339594
16-20 arası,206,0.1380642430622203,0.09798027042915004,4819.137772066834,3341.3079161111255,35885.83932038835,36202.44846865889
21-25 arası,242,0.1336861959184644,0.10055321440754332,4325.241814998204,3513.0666148637083,33980.545,34285.87892509719
missing,18,0.12875054413749945,0.12512735760384214,5483.742933828144,4879.878062955533,42992.14388888889,41473.35613162046
5,278,0.12828514713097083,0.09886974671474374,5165.416696442706,3932.562961318772,40081.814496402876,39365.91464293135
3,197,0.12747590487839217,0.10087234162697306,5319.828571914144,4129.339251072983,41236.08126903553,40588.33376947544
6-10 arası,1148,0.12328987995452445,0.09826003522518226,4779.482673341559,3667.7373438297727,39176.28763937282,38896.21171372126
11-15 arası,781,0.12270325961992781,0.09672309599642852,4765.064820314416,3716.2241553431923,39677.26417413572,39488.5213708388
2,206,0.12126654786788199,0.09700546925912815,5109.989190901773,3951.2017314982004,41854.85223300971,41446.306274774775
4,155,0.11482184491654707,0.0983227347127064,4727.901404626605,3727.2342042740565,41030.00180645161,40411.466909972994
1,261,0.11019870489340917,0.08497203269009822,4444.52393034286,3467.041888188556,41322.642873563214,41186.63162431244
0 (Yapım Aşamasında),179,0.1086638066180824,0.08325210827055435,4969.374488683857,3914.07587227528,45358.292402234634,44435.12074539866
0 (Oturuma Hazır),1996,0.0964136010536712,0.07566171735114105,4038.605885853479,2915.9204764174538,40684.464183366734,40018.69375511571
