heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.22355129156499282,0.2199094596331792,9472.86591654657,5787.091158720221,36936.85,32267.730213177285
Yok,26,0.20861076727182043,0.1766883201279231,6801.676127448545,5778.5382211798005,34610.45115384615,33666.7025810549
Doğalgaz Sobası,45,0.18215091414755696,0.16083348065758632,5567.636968701195,4377.3878592499605,29016.16688888889,27816.714893299788
Kombi (Elektrik),12,0.14847917929092447,0.13700589075091602,6582.18601082738,4932.76562085691,39483.42083333334,38485.846149111945
Klima,7,0.13495805575591363,0.08856710963930393,4540.455871979441,3450.657442561009,32086.58714285714,31348.179165589503
Kombi (Doğalgaz),3871,0.13087855643644714,0.10359106966838055,4651.349163606479,3607.160988278156,36411.337104107464,36250.05059262842
,18,0.12875054413749945,0.12512735760384214,5483.742933828144,4879.878062955533,42992.14388888889,41473.35613162046
Kat Kaloriferi,26,0.12427115842728122,0.10422294628012571,4334.043675030844,4091.3085406446316,35067.71076923077,35044.1850827297
Merkezi,209,0.1215719133904219,0.09206815722624982,4425.207457203172,3689.146866204079,37981.59133971292,37100.37523547696
Merkezi (Pay Ölçer),331,0.11057533630434445,0.07935868727007235,5147.377187340618,3299.016526162086,45494.26628398792,44612.38191480988
Yerden Isıtma,2115,0.0973814283161298,0.0768579478766778,4040.7766741345213,2998.8638736964203,40547.94645390071,39907.337092105925
VRV,2,0.09143592849980735,0.09143592849980735,7391.315004521359,7391.315004521359,71051.59,63957.19327685462
