room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
4.5+2,1,0.36917938490768815,0.36917938490768815,23073.711556730508,23073.711556730508,62500.0,39426.28844326949
2+0,1,0.35155103768192625,0.35155103768192625,11645.128123213806,11645.128123213806,33125.0,44770.128123213806
6+3,1,0.24461020825890137,0.24461020825890137,6300.567008045313,6300.567008045313,25757.58,32058.147008045315
4.5+1,11,0.23458578985997625,0.18776466575369866,7965.76993166364,6382.287564247257,37813.62454545454,38803.515788241646
5+2,7,0.22946474443764572,0.21837266892850898,6279.933395733896,6610.891890447081,30521.02142857143,32881.46998015518
3.5+1,15,0.22758550767252175,0.17188410273959062,9074.78027887006,5946.020089432568,40512.062666666665,37501.72217775506
4+2,23,0.22202209362225883,0.1891046469438523,6305.023343292679,6876.533303793345,31348.985217391306,33532.7652903802
3+0,2,0.21506162335108253,0.21506162335108253,6754.628811772171,6754.628811772171,32567.31,31924.91030734291
3+2,11,0.1761032838292654,0.19914127426058567,5300.823773411801,5964.161225779586,31216.80818181818,32516.84359810193
6+2,2,0.16578278429296828,0.16578278429296828,5738.634075759128,5738.634075759128,34615.38,38105.256244893506
5+1,56,0.16060976503608737,0.16245752719403989,5858.151403637421,5330.778170283682,35885.91071428572,35685.338511301605
6+1,10,0.16017965615211868,0.1358869322156959,6213.542313505817,4434.117472198357,37903.004,37688.43065793223
2.5+1,13,0.15477453913890393,0.1847609280195587,6077.865508929448,5981.885720645092,39644.58384615385,39846.7855498664
2+2,4,0.14352627358556627,0.15283526228413985,6076.75641957973,5113.460028416395,42830.542499999996,39637.31457722715
4+1,588,0.13917486634657078,0.10472586482143523,5024.766922480826,3652.504869706474,36239.4018707483,35895.188523310004
3+1,3028,0.12310814264251935,0.09683194735547498,4495.0335451687315,3430.150607390755,36975.068873844124,36534.1333080903
1+1,417,0.11731802053333407,0.09876875523431183,5523.270228230633,4417.487323659057,46893.92798561151,46383.808195264406
2+1,2452,0.10704364514516494,0.08322844161073069,4064.539993161995,3150.4007685638644,38679.249004893965,38341.47710602441
Stüdyo (1+0),14,0.10234369348801527,0.0822253456902424,6697.991922228953,3770.4388164839474,63090.70428571429,59102.42854489595
7+1,1,0.07669142496589196,0.07669142496589196,2380.629905620979,2380.629905620979,31041.67,28661.04009437902
5.5+1,3,0.07462292546355308,0.08364544087853464,2520.1410655475643,2637.468728424741,31615.309999999998,32377.13857993107
1.5+1,7,0.07319178294271526,0.06298040120701212,3245.9984373469083,2952.2063065786933,44694.17142857143,43857.7977159502
