room_count,n,mape,mae
4.5+1,1,0.9249867458121774,17398.556695089068
4.5+2,1,0.36917938490768815,23073.711556730508
6+2,1,0.26660144481015763,9228.510320652633
2.5+1,1,0.22024387694554146,7882.411626626148
5+2,1,0.21837266892850898,6610.891890447081
4+2,6,0.2111549555245457,7710.204646505858
4+1,27,0.1762362165799098,7827.568016485067
3+1,141,0.1692350101591119,6006.162536340257
5+1,8,0.16312909177468962,6894.967211944728
1+1,13,0.153487603400423,7721.486872554569
3+2,2,0.15319346164118355,7109.122904809392
2+1,118,0.13897087925257195,5693.540942912433
5.5+1,1,0.12529237274931365,4515.746352147755
3.5+1,3,0.0877142195456022,2757.980132457827
6+1,3,0.05884966204523639,2036.3381945977708
2+2,1,0.05422962020603976,2361.6126502845
