feature,importance,rank
num__location_baseline_log,0.019936224153694223,1
num__location_baseline_m2,0.015374392320717982,2
num__distance_to_coast_x_near_sea_zero,0.005714201918118574,3
num__demo_population_density,0.005633692543587943,4
num__location_baseline_vs_trend,0.004337093681307904,5
num__distance_to_coastline_m,0.0037790695560897787,6
num__distance_to_district_centroid_m,0.0030808057168408955,7
num__bearing_from_district_centroid_sin,0.002801112318604618,8
num__distance_to_karamursel_center_m,0.0026236894951859433,9
num__attr_quality_x_location_baseline,0.0023117628978856666,10
num__distance_to_coast_x_view_sea,0.0022726848164464452,11
num__bearing_from_district_centroid_cos,0.00224071953827482,12
num__bearing_from_county_centroid_cos,0.0022254281003308775,13
num__detail_effect_view_x_location_baseline,0.002106570462667757,14
num__location_baseline_level_code,0.0020929152306770186,15
num__distance_to_county_centroid_m,0.0019234990797913545,16
num__distance_to_yuvacik_m,0.001902502991328992,17
num__lon_centered_county,0.0018007223273505517,18
num__distance_to_coast_x_site_inside,0.0017351039307478434,19
num__bearing_from_county_centroid_sin,0.001650527206852299,20
num__location_baseline_count,0.001618075998173253,21
num__distance_to_izmit_center_m,0.001537323339726535,22
num__lat_centered_county,0.0015351766862779699,23
num__distance_to_coast_x_large_home,0.0015334137453234433,24
num__distance_to_sahil_m,0.0013722545587615445,25
num__lon,0.0013483096050930573,26
num__transport_score,0.0012839115837605596,27
num__distance_to_geo_cluster_center_m,0.001243271580685032,28
num__lat_centered_city,0.0012395453385501797,29
cat__coast_distance_bucket_500_1000,0.0011449777136917317,30
num__distance_to_basiskele_coast_m,0.0010762834777146544,31
num__lat,0.0010442469383319902,32
num__location_quality_x_detail_effect_total,0.0010393749145751422,33
num__distance_to_golcuk_center_m,0.0009912087906000086,34
num__demo_pharmacy_count,0.0009165864574427397,35
num__distance_to_bahcecik_m,0.0009003826673950298,36
cat__coast_distance_bucket_1000_3000,0.0008749435730899405,37
num__distance_to_kullar_m,0.0008236639762923064,38
num__demo_pharmacy_per_10k,0.0008063053923840004,39
cat__coast_distance_bucket_3000_plus,0.0007777912525605745,40
num__demo_education_high_school_ratio,0.0007339291135426023,41
cat__geo_cluster_x_room_count_city_2||3+1,0.0007215732620729416,42
num__demo_education_primary_school_count,0.0006939682818292564,43
num__lon_centered_city,0.0006928281707390296,44
cat__geo_cluster_x_room_count_city_5||3+1,0.0006711018628895802,45
cat__geo_cluster_county_Karamürsel_0,0.0006687568648062374,46
num__demo_high_school_diff_county,0.0006586078327713387,47
cat__coast_distance_bucket_0_500,0.0006228806176773843,48
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||200+,0.0006154936912927897,49
num__demo_population_female,0.0005943150204368395,50
cat__geo_cluster_x_room_count_city_10||3+1,0.0005220477298548921,51
num__demo_education_primary_school_ratio,0.0005212967010184796,52
cat__geo_cluster_x_room_count_city_8||3+1,0.0004987123376798763,53
num__demo_education_middle_school_count,0.0004688346692615837,54
cat__geo_cluster_x_room_count_city_1||3+1,0.0004556325508639524,55
num__is_small_flat,0.0004527897233402462,56
num__demo_population_total,0.00044109011106922065,57
cat__geo_cluster_x_room_count_missing||3+1,0.0004290399238256282,58
num__is_large_flat,0.00042329119111234704,59
cat__geo_cluster_x_room_count_city_8||2+1,0.0004131969482731372,60
cat__geo_cluster_x_room_count_city_3||3+1,0.00040574761864652206,61
cat__geo_cluster_x_room_count_city_7||2+1,0.00038967220023777165,62
cat__geo_cluster_county_İzmit_0,0.00037798208311662964,63
num__basiskele_premium_x_location_baseline,0.0003744233327704987,64
cat__geo_cluster_county_İzmit_1,0.00035700072085245575,65
num__demo_education_middle_school_ratio,0.00035609998948081377,66
cat__geo_cluster_city_city_8,0.0003535748747828717,67
num__demo_population_male,0.00034725643236914005,68
num__basiskele_lat_lon_interaction,0.0003331436482942163,69
cat__geo_cluster_x_room_count_missing||2+1,0.00033174158558245853,70
num__demo_education_high_school_count,0.000318921743005458,71
cat__geo_cluster_city_city_10,0.0002975163358947697,72
cat__geo_cluster_city_city_5,0.00029715298109772283,73
cat__geo_cluster_x_room_count_city_1||2+1,0.00029508814955778526,74
cat__geo_cluster_county_other,0.0002745372019478447,75
cat__geo_cluster_x_room_count_city_7||3+1,0.0002522123520170356,76
cat__geo_cluster_county_İzmit_3,0.0002475248392861584,77
cat__geo_cluster_x_room_count_city_4||2+1,0.00024613390940551774,78
cat__geo_cluster_x_room_count_city_4||3+1,0.00022766732222760262,79
cat__geo_cluster_city_city_3,0.00022648668189217052,80
cat__geo_cluster_county_Gölcük_3,0.00022550574709098446,81
cat__geo_cluster_county_İzmit_5,0.00021895102980264226,82
cat__geo_cluster_x_room_count_city_5||2+1,0.00021543140757310583,83
cat__geo_cluster_x_room_count_city_6||3+1,0.00021525840053684254,84
cat__geo_cluster_city_city_7,0.00021221608684904612,85
cat__geo_cluster_county_İzmit_2,0.00021117261849409608,86
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.00019575998221528956,87
num__basiskele_distance_to_coast_x_large_home,0.00018324992032165032,88
cat__geo_cluster_x_room_count_city_3||2+1,0.00017526885748995135,89
