site_project_id,n,mean_actual,mean_pred,mean_residual
basiskele::orka_life,3,56599.920000000006,47284.718537008506,-9315.201462991497
basiskele::zeray_korupark,6,49349.613333333335,40848.346914193244,-8501.266419140087
basiskele::royal_life,3,50745.386666666665,43586.7170609743,-7158.669605692368
basiskele::orka_life_2,8,50780.725,46511.537360407005,-4269.1876395929985
basiskele::zeray_perla,16,50309.36125,46625.48642888982,-3683.8748211101815
basiskele::alizepark_city,5,46178.534,43777.10064081948,-2401.433359180519
golcuk::yakamoz_konutlari,1,30800.0,28410.41402719371,-2389.5859728062896
basiskele::evimiz_kocaeli,20,47590.9985,45865.67511080514,-1725.3233891948585
kartepe::other,344,41715.395872093024,40904.00699673086,-811.3888753621675
basiskele::yakamoz_konutlari,8,41078.125,40363.76082741238,-714.3641725876232
izmit::other,866,44273.3533256351,43711.02565735467,-562.327668280427
basiskele::mamik_reform,8,46433.6575,45891.227395607966,-542.4301043920341
basiskele::other,322,39721.91068322981,39224.95069916356,-496.959984066252
golcuk::other,247,35305.80255060729,34829.67143342672,-476.1311171805644
missing,4632,36668.49837867012,36346.80997702957,-321.6884016405512
basiskele::kirazli_kent,10,33006.297999999995,32712.671751922964,-293.626248077038
kartepe::bahcekent_konutlari,1,31666.67,31687.54721413833,20.8772141383306
basiskele::ustgrup_mezire,8,43967.52125,44279.49692797503,311.9756779750278
karamursel::other,54,37942.82074074074,38348.376577470146,405.5558367294065
basiskele::royal_city_akkurt,11,38002.89363636364,38518.47851062332,515.5848742596784
basiskele::ustpark_afraze,10,40609.077000000005,41473.576989270296,864.4999892702974
basiskele::royal_country,11,43914.946363636365,44859.732984750284,944.7866211139209
basiskele::zeray_gunesi,28,42480.92035714286,43564.45413993014,1083.5337827872838
basiskele::bahcekent_konutlari,20,34568.7525,35942.30114473242,1373.5486447324192
basiskele::zeraykent_yuvacik,7,39558.05285714286,41277.09350146341,1719.0406443205518
basiskele::yuvana_evleri,12,31965.5475,34083.88815860709,2118.340658607094
basiskele::mamik_life,2,41660.08,44847.0302586028,3186.9502586027957
basiskele::ritim_vadi_evleri,4,33227.01,38724.937416238245,5497.927416238246
