model_scope,county,feature,importance,rank
random_forest,,num__detail_effect_total_mean,0.013073878556636517,1
random_forest,,num__detail_effect_subtype_mean,0.012406921319903456,2
random_forest,,num__detail_effect_outside_mean,0.012140194396919577,3
random_forest,,num__detail_effect_subtype_sum,0.00886812817881904,4
random_forest,,num__detail_effect_inside_x_attr_quality,0.008477140943195094,5
random_forest,,num__detail_effect_outside_x_attr_quality,0.007956657073805521,6
random_forest,,num__detail_effect_inside_mean,0.007635910320702138,7
extra_trees,,num__detail_effect_subtype_mean,0.006366060553427819,8
extra_trees,,num__detail_effect_outside_x_attr_quality,0.0060027253969525225,9
random_forest,,num__detail_effect_total_x_attr_quality,0.005970291872092672,10
random_forest,,num__detail_effect_outside_sum,0.005934904285526088,11
random_forest,,num__detail_effect_inside_sum,0.005914950292536786,12
extra_trees,,num__detail_effect_outside_sum,0.005881767199632894,13
extra_trees,,num__detail_effect_subtype_sum,0.005838509840777555,14
extra_trees,,num__detail_effect_total_mean,0.005629746082366461,15
random_forest,,num__detail_effect_total_abs_sum,0.005542402230639201,16
extra_trees,,num__detail_effect_total_x_attr_quality,0.0050810832899316994,17
random_forest,,num__detail_effect_front_sum,0.004928770232828667,18
extra_trees,,num__detail_effect_inside_x_attr_quality,0.004829459901842071,19
random_forest,,num__detail_effect_front_mean,0.004604334848659967,20
extra_trees,,num__detail_effect_outside_mean,0.0045574359691518025,21
extra_trees,,num__detail_effect_county_total_sum,0.004290921374169245,22
random_forest,,num__detail_effect_view_mean,0.0042702446178514,23
extra_trees,,num__detail_effect_total_sum,0.004241066566141091,24
extra_trees,,num__detail_effect_inside_mean,0.004070132952292807,25
extra_trees,,num__detail_effect_inside_sum,0.003816490981124243,26
extra_trees,,num__detail_effect_district_total_sum,0.003748226855395634,27
random_forest,,num__detail_effect_nearby_mean,0.0036369510177191784,28
random_forest,,num__detail_effect_view_x_location_baseline,0.003364288278885873,29
random_forest,,num__detail_effect_transport_mean,0.0033015788369606123,30
random_forest,,num__detail_effect_view_sum,0.0032317569293607547,31
random_forest,,num__detail_effect_district_total_sum,0.002957803825541398,32
random_forest,,num__detail_effect_total_sum,0.002918611871787894,33
random_forest,,num__detail_effect_nearby_sum,0.002887205296496841,34
extra_trees,,num__detail_effect_front_sum,0.0028771376758429342,35
random_forest,,num__detail_effect_county_total_sum,0.0028754244566576797,36
random_forest,,num__detail_effect_transport_sum,0.0028730640633343285,37
extra_trees,,num__detail_effect_total_abs_sum,0.002817214648116304,38
extra_trees,,num__detail_effect_view_mean,0.0027962315790117484,39
random_forest,,num__detail_effect_negative_count,0.0026831924371517996,40
extra_trees,,num__detail_effect_view_x_location_baseline,0.002679671137318568,41
random_forest,,num__detail_effect_used_count,0.0026632863591370226,42
extra_trees,,num__detail_effect_front_mean,0.002631167395757626,43
random_forest,,num__detail_effect_positive_count,0.0024803105446134614,44
extra_trees,,num__detail_effect_view_sum,0.002352974181624802,45
extra_trees,,num__detail_effect_negative_count,0.0023179943367938583,46
extra_trees,,num__detail_effect_level_code,0.0021781694935777865,47
extra_trees,,num__location_quality_x_detail_effect_total,0.0021494250496711877,48
extra_trees,,num__detail_effect_nearby_sum,0.0020057601701799583,49
extra_trees,,num__detail_effect_positive_count,0.00200571810588764,50
extra_trees,,num__detail_effect_nearby_mean,0.0019938557765233145,51
extra_trees,,num__detail_effect_transport_mean,0.001955806204766033,52
extra_trees,,num__detail_effect_used_count,0.001890479383060699,53
extra_trees,,num__detail_effect_transport_sum,0.0018418353229284175,54
random_forest,,num__location_quality_x_detail_effect_total,0.0016863503259149026,55
random_forest,,num__detail_effect_level_code,0.0016396886526441458,56
