district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,0.9618039415597406,18091.070474846772
Tepeköy Mh.,31 ve üzeri,76-100,1,0.5430842762095537,14753.791313973794
Ereğli Mh.,16-20 arası,101-125,1,0.47107000315221714,13755.24409204474
4 Temmuz Mah.,4,76-100,1,0.4681606975396567,15146.374957858661
Kayacık Mh.,31 ve üzeri,126-150,1,0.4355056685762585,10161.79748176047
Kayacık Mh.,26-30 arası,200+,2,0.43134257903818474,26113.422481879632
Dereköy Mh.,11-15 arası,200+,1,0.4292814101823579,17907.16923595583
4 Temmuz Mah.,21-25 arası,126-150,1,0.40819946931356504,8315.174223720966
Kayacık Mh.,2,151-200,1,0.34448020245102695,24822.83690198211
Kayacık Mh.,3,126-150,1,0.33697730920616803,24625.263866674402
Kayacık Mh.,16-20 arası,126-150,2,0.3287583998128957,10137.154440969092
Kayacık Mh.,11-15 arası,200+,3,0.322628181518631,11545.938926091012
Kayacık Mh.,6-10 arası,200+,1,0.30193866527818547,10451.721635297195
Tepeköy Mh.,6-10 arası,151-200,1,0.2989418372547658,18363.56957573299
4 Temmuz Mah.,1,0-75,1,0.2952123071483633,20271.2460748953
4 Temmuz Mah.,21-25 arası,101-125,4,0.29507519509604757,7132.136123099507
Dereköy Mh.,11-15 arası,151-200,1,0.29380301600327935,7961.11274994718
4 Temmuz Mah.,4,200+,1,0.2903294092364627,10258.304825256986
Dereköy Mh.,16-20 arası,126-150,1,0.2880011057359309,7304.376204028515
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.2816220529554312,18070.749336713678
Ereğli Mh.,21-25 arası,0-75,2,0.2698819154441764,17649.692534396258
Kayacık Mh.,31 ve üzeri,76-100,4,0.2640958583170821,9005.356627528181
Dereköy Mh.,11-15 arası,76-100,1,0.26204764612675685,6987.938103539003
4 Temmuz Mah.,31 ve üzeri,126-150,15,0.2586812722537463,7662.311449339483
Kayacık Mh.,16-20 arası,151-200,3,0.24949490677979227,10382.917068277007
Kayacık Mh.,21-25 arası,76-100,2,0.23909605296023273,9567.185108511387
4 Temmuz Mah.,26-30 arası,76-100,5,0.23770159935765395,7518.235929668165
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.23612793269488486,11944.639306495119
4 Temmuz Mah.,5,101-125,1,0.2348668623505115,12721.955826875579
Yalakdere Mh.,16-20 arası,101-125,1,0.23106003171766507,12918.35610870579
Kayacık Mh.,6-10 arası,76-100,2,0.23000613524358238,10686.65795367943
Ereğli Mh.,31 ve üzeri,101-125,1,0.22992138900523235,10576.383894240687
4 Temmuz Mah.,31 ve üzeri,0-75,3,0.22797909380469394,8136.0963149800655
4 Temmuz Mah.,6-10 arası,151-200,6,0.22715341111214074,10656.628414457113
Kayacık Mh.,5,0-75,1,0.22157368575635233,14771.57978900244
Kayacık Mh.,11-15 arası,151-200,3,0.20939059141381763,7095.715960139099
Kayacık Mh.,1,151-200,1,0.2052336747705252,8986.562812503493
Kayacık Mh.,26-30 arası,76-100,4,0.20135019047085959,6947.545360442082
4 Temmuz Mah.,4,151-200,1,0.18232189900506762,6381.266465177367
Kayacık Mh.,26-30 arası,101-125,3,0.1815129999471299,7732.918664672598
Kayacık Mh.,31 ve üzeri,101-125,11,0.1779679701352843,5354.12881855488
Avcıköy Mh.,21-25 arası,76-100,1,0.16566772884275768,8467.46151233236
4 Temmuz Mah.,1,76-100,3,0.16431706401772697,8116.758547437409
4 Temmuz Mah.,0 (Yapım Aşamasında),101-125,1,0.16217490956882502,7973.600261050262
4 Temmuz Mah.,6-10 arası,76-100,3,0.15879597294083053,7821.303320421614
