room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
3+2,3,9.0,7.0,0,0,0.7740978130767843,27662.906666666666
4.5+1,1,8.0,8.0,0,0,1.7062762990212346,55405.4
1.5+1,6,7.333333333333333,5.0,0,0,1.2664716647681553,45062.78
5+1,7,7.285714285714286,7.0,0,0,0.8868064546607641,35493.864285714284
3.5+1,5,7.2,5.0,0,0,1.0625638795075023,40717.10400000001
2.5+1,3,6.0,5.0,0,0,0.8640801951576715,36391.94
4+2,2,4.0,4.0,0,0,0.711550851838485,25953.489999999998
1+1,49,3.4081632653061225,0.0,0,0,1.2105532164543444,47964.283673469385
4+1,147,2.761904761904762,0.0,0,0,0.9466707768036524,33158.81265306122
2+1,353,2.311614730878187,0.0,0,0,0.9997804579460728,37658.529291784704
3+1,574,2.1132404181184667,0.0,0,0,0.9841841098344981,36307.20576655052
2+2,1,0.0,0.0,0,0,1.1755631381069476,58450.7
5.5+1,1,0.0,0.0,0,0,0.9837822754147708,31531.53
