feature,group,basiskele_positive_count,basiskele_negative_count,basiskele_effect,global_effect,smoothed_effect,abs_effect,direction,reliability_level
subtype_triplex,subtype,0,,-0.32262664799521623,-0.32262664799521623,-0.32262664799521623,0.32262664799521623,discount,unreliable
view_pool,view,0,,0.1279485529992499,0.1279485529992499,0.1279485529992499,0.1279485529992499,premium,unreliable
transport_metro,transport,0,,0.09343226565116858,0.09343226565116858,0.09343226565116858,0.09343226565116858,premium,unreliable
out_sauna_hamam,outside,0,,0.09134256576595234,0.09134256576595234,0.09134256576595234,0.09134256576595234,premium,unreliable
out_open_pool,outside,0,,0.08925579949660456,0.08925579949660456,0.08925579949660456,0.08925579949660456,premium,unreliable
out_pool,outside,0,,0.08455816012476447,0.08455816012476447,0.08455816012476447,0.08455816012476447,premium,unreliable
subtype_reverse_duplex,subtype,0,,0.07142291480267371,0.07142291480267371,0.07142291480267371,0.07142291480267371,premium,unreliable
in_smart_home,inside,0,,0.06876329986231866,0.06876329986231866,0.06876329986231866,0.06876329986231866,premium,unreliable
subtype_middle_floor,subtype,0,,0.06440928668711443,0.06440928668711443,0.06440928668711443,0.06440928668711443,premium,unreliable
out_security,outside,0,,0.059619429044037275,0.059619429044037275,0.059619429044037275,0.059619429044037275,premium,unreliable
out_camera,outside,0,,0.057155257382003555,0.057155257382003555,0.057155257382003555,0.057155257382003555,premium,unreliable
transport_train,transport,0,,-0.0567923167457014,-0.0567923167457014,-0.0567923167457014,0.0567923167457014,discount,unreliable
in_dressing_room,inside,0,,0.05619370625172948,0.05619370625172948,0.05619370625172948,0.05619370625172948,premium,unreliable
near_sea_zero,nearby,0,,0.05569909679848628,0.05569909679848628,0.05569909679848628,0.05569909679848628,premium,unreliable
in_parent_bathroom,inside,0,,0.04856832809165379,0.04856832809165379,0.04856832809165379,0.04856832809165379,premium,unreliable
out_hydrofor,outside,0,,0.046174075930105474,0.046174075930105474,0.046174075930105474,0.046174075930105474,premium,unreliable
view_bosphorus,view,0,,0.0435724390501111,0.0435724390501111,0.0435724390501111,0.0435724390501111,premium,unreliable
near_lake_zero,nearby,0,,0.042439076010268195,0.042439076010268195,0.042439076010268195,0.042439076010268195,premium,unreliable
in_builtin_kitchen,inside,0,,0.038418209828959604,0.038418209828959604,0.038418209828959604,0.038418209828959604,premium,unreliable
view_sea,view,0,,0.03376753729205184,0.03376753729205184,0.03376753729205184,0.03376753729205184,premium,unreliable
in_air_conditioner,inside,0,,0.03320636065690419,0.03320636065690419,0.03320636065690419,0.03320636065690419,premium,unreliable
in_intercom,inside,0,,0.03203713548275644,0.03203713548275644,0.03203713548275644,0.03203713548275644,premium,unreliable
out_children_playground,outside,0,,0.030810160556138833,0.030810160556138833,0.030810160556138833,0.030810160556138833,premium,unreliable
out_sports_area,outside,0,,0.03074923419477038,0.03074923419477038,0.03074923419477038,0.03074923419477038,premium,unreliable
in_pantry,inside,0,,-0.02656067620469038,-0.02656067620469038,-0.02656067620469038,0.02656067620469038,discount,unreliable
subtype_roof_duplex,subtype,0,,-0.025611948339276047,-0.025611948339276047,-0.025611948339276047,0.025611948339276047,discount,unreliable
subtype_garden_duplex,subtype,0,,-0.02413800381876463,-0.02413800381876463,-0.02413800381876463,0.02413800381876463,discount,unreliable
subtype_duplex,subtype,0,,-0.023905684156115825,-0.023905684156115825,-0.023905684156115825,0.023905684156115825,discount,unreliable
in_heat_glass,inside,0,,0.02314733921828882,0.02314733921828882,0.02314733921828882,0.02314733921828882,premium,unreliable
front_north,front,0,,-0.022315898469370765,-0.022315898469370765,-0.022315898469370765,0.022315898469370765,discount,unreliable
out_closed_pool,outside,0,,0.02164113352975061,0.02164113352975061,0.02164113352975061,0.02164113352975061,premium,unreliable
near_university,nearby,0,,-0.021577790012564435,-0.021577790012564435,-0.021577790012564435,0.021577790012564435,discount,unreliable
transport_airport,transport,0,,0.021363054657742353,0.021363054657742353,0.021363054657742353,0.021363054657742353,premium,unreliable
in_terrace,inside,0,,-0.02135176795140925,-0.02135176795140925,-0.02135176795140925,0.02135176795140925,discount,unreliable
transport_tram,transport,0,,0.02036270344120439,0.02036270344120439,0.02036270344120439,0.02036270344120439,premium,unreliable
transport_e5,transport,0,,0.02018009670864984,0.02018009670864984,0.02018009670864984,0.02018009670864984,premium,unreliable
transport_minibus,transport,0,,0.017465885445414386,0.017465885445414386,0.017465885445414386,0.017465885445414386,premium,unreliable
front_south,front,0,,-0.016663457922958536,-0.016663457922958536,-0.016663457922958536,0.016663457922958536,discount,unreliable
out_generator,outside,0,,0.015931448379298274,0.015931448379298274,0.015931448379298274,0.015931448379298274,premium,unreliable
near_pharmacy,nearby,0,,0.0156848990769074,0.0156848990769074,0.0156848990769074,0.0156848990769074,premium,unreliable
transport_main_road,transport,0,,0.01501748536650549,0.01501748536650549,0.01501748536650549,0.01501748536650549,premium,unreliable
near_park,nearby,0,,0.014753623152024886,0.014753623152024886,0.014753623152024886,0.014753623152024886,premium,unreliable
near_city_center,nearby,0,,0.014440884951799404,0.014440884951799404,0.014440884951799404,0.014440884951799404,premium,unreliable
view_park_green,view,0,,0.014359876786746995,0.014359876786746995,0.014359876786746995,0.014359876786746995,premium,unreliable
in_pvc,inside,0,,0.014359876786746995,0.014359876786746995,0.014359876786746995,0.014359876786746995,premium,unreliable
front_east,front,0,,-0.014336505829179558,-0.014336505829179558,-0.014336505829179558,0.014336505829179558,discount,unreliable
in_steel_door,inside,0,,0.014044122514846435,0.014044122514846435,0.014044122514846435,0.014044122514846435,premium,unreliable
out_sound_insulation,outside,0,,0.013558684084761907,0.013558684084761907,0.013558684084761907,0.013558684084761907,premium,unreliable
near_mosque,nearby,0,,0.013419577459536924,0.013419577459536924,0.013419577459536924,0.013419577459536924,premium,unreliable
transport_score,transport,0,,0.012772771577493458,0.012772771577493458,0.012772771577493458,0.012772771577493458,premium,unreliable
near_school,nearby,0,,0.011745264800111954,0.011745264800111954,0.011745264800111954,0.011745264800111954,premium,unreliable
out_heat_insulation,outside,0,,0.011677563360843024,0.011677563360843024,0.011677563360843024,0.011677563360843024,premium,unreliable
view_score,view,0,,0.011563278557664702,0.011563278557664702,0.011563278557664702,0.011563278557664702,premium,unreliable
subtype_top_floor,subtype,0,,-0.011423894718150862,-0.011423894718150862,-0.011423894718150862,0.011423894718150862,discount,unreliable
transport_bus_stop,transport,0,,0.011394573549832643,0.011394573549832643,0.011394573549832643,0.011394573549832643,premium,unreliable
front_score,front,0,,-0.011381928478817471,-0.011381928478817471,-0.011381928478817471,0.011381928478817471,discount,unreliable
near_market,nearby,0,,0.010653534996356129,0.010653534996356129,0.010653534996356129,0.010653534996356129,premium,unreliable
in_fiber,inside,0,,0.010649567189739528,0.010649567189739528,0.010649567189739528,0.010649567189739528,premium,unreliable
near_mall,nearby,0,,0.010579634126449022,0.010579634126449022,0.010579634126449022,0.010579634126449022,premium,unreliable
front_west,front,0,,-0.00953299265030072,-0.00953299265030072,-0.00953299265030072,0.00953299265030072,discount,unreliable
view_nature,view,0,,0.009018181522489677,0.009018181522489677,0.009018181522489677,0.009018181522489677,premium,unreliable
in_glass_balcony,inside,0,,-0.00873840251545932,-0.00873840251545932,-0.00873840251545932,0.00873840251545932,discount,unreliable
view_lake,view,0,,-0.008493387161319532,-0.008493387161319532,-0.008493387161319532,0.008493387161319532,discount,unreliable
near_hospital,nearby,0,,0.005161551539593745,0.005161551539593745,0.005161551539593745,0.005161551539593745,premium,unreliable
transport_tem,transport,0,,-0.00514580406907772,-0.00514580406907772,-0.00514580406907772,0.00514580406907772,discount,unreliable
view_city,view,0,,0.0023468987374313244,0.0023468987374313244,0.0023468987374313244,0.0023468987374313244,premium,unreliable
in_laminate_floor,inside,0,,-0.0002479562442658789,-0.0002479562442658789,-0.0002479562442658789,0.0002479562442658789,discount,unreliable
view_river,view,0,,0.0,0.0,0.0,0.0,neutral,unreliable
