model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.025713726066640696,1
gradient_boosting,,num__detail_effect_outside_mean,0.015169177110282735,2
gradient_boosting,,num__detail_effect_total_mean,0.013412289328166908,3
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.012231343249101896,4
gradient_boosting,,num__detail_effect_inside_mean,0.011790462973368408,5
gradient_boosting,,num__detail_effect_subtype_mean,0.009790388470973573,6
extra_trees,,num__detail_effect_total_x_attr_quality,0.008157034788625967,7
gradient_boosting,,num__detail_effect_subtype_sum,0.007252902930166646,8
extra_trees,,num__detail_effect_outside_mean,0.005851660665542266,9
gradient_boosting,,num__detail_effect_outside_sum,0.005826645058735944,10
extra_trees,,num__detail_effect_total_mean,0.005682735835538435,11
extra_trees,,num__detail_effect_outside_x_attr_quality,0.005527739268681967,12
extra_trees,,num__detail_effect_county_total_sum,0.004960644309178611,13
extra_trees,,num__detail_effect_total_sum,0.004579624239582195,14
gradient_boosting,,num__detail_effect_district_total_sum,0.004371874448803727,15
extra_trees,,num__detail_effect_district_total_sum,0.004184692345447373,16
extra_trees,,num__detail_effect_subtype_sum,0.0039076015408851085,17
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.003882504452325207,18
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.0036907517816427795,19
extra_trees,,num__detail_effect_outside_sum,0.0034313280793722254,20
extra_trees,,num__detail_effect_subtype_mean,0.0032971744910650184,21
gradient_boosting,,num__detail_effect_county_total_sum,0.0030415848542661686,22
extra_trees,,num__detail_effect_view_x_location_baseline,0.0029480054529780206,23
extra_trees,,num__detail_effect_inside_x_attr_quality,0.0027543918752947014,24
extra_trees,,num__detail_effect_view_sum,0.002720829171311086,25
extra_trees,,num__detail_effect_inside_sum,0.002632949605909232,26
extra_trees,,num__detail_effect_inside_mean,0.0025907399752267686,27
extra_trees,,num__detail_effect_total_abs_sum,0.0024738169875411103,28
extra_trees,,num__detail_effect_level_code,0.00243496159139587,29
extra_trees,,num__detail_effect_view_mean,0.00228594323894076,30
extra_trees,,num__detail_effect_transport_sum,0.0021884369561543755,31
extra_trees,,num__detail_effect_nearby_sum,0.0021287656983330814,32
gradient_boosting,,num__detail_effect_front_sum,0.002120345310223043,33
extra_trees,,num__detail_effect_negative_count,0.0020961981480181096,34
gradient_boosting,,num__detail_effect_total_abs_sum,0.0019796186371549727,35
extra_trees,,num__detail_effect_nearby_mean,0.0019466769669775385,36
gradient_boosting,,num__detail_effect_view_sum,0.0018766568737733581,37
extra_trees,,num__detail_effect_front_sum,0.0018648368907899244,38
extra_trees,,num__detail_effect_transport_mean,0.001853038512152596,39
extra_trees,,num__location_quality_x_detail_effect_total,0.0017964744942834533,40
extra_trees,,num__detail_effect_positive_count,0.0017906821260925499,41
extra_trees,,num__detail_effect_used_count,0.001537589180213599,42
extra_trees,,num__detail_effect_front_mean,0.0014453544424320893,43
gradient_boosting,,num__detail_effect_nearby_mean,0.0014162568116704707,44
gradient_boosting,,num__detail_effect_total_sum,0.001331694409340871,45
gradient_boosting,,num__detail_effect_view_mean,0.0012144194846272509,46
gradient_boosting,,num__detail_effect_transport_sum,0.0012100710774097924,47
gradient_boosting,,num__detail_effect_transport_mean,0.001156051781632631,48
gradient_boosting,,num__detail_effect_inside_sum,0.0010844150401094366,49
gradient_boosting,,num__detail_effect_level_code,0.0009982325342928209,50
gradient_boosting,,num__detail_effect_positive_count,0.0007022764927259632,51
gradient_boosting,,num__detail_effect_used_count,0.0005816273232279809,52
gradient_boosting,,num__detail_effect_front_mean,0.0005599884908831074,53
gradient_boosting,,num__detail_effect_negative_count,0.00018753418034593984,54
gradient_boosting,,num__detail_effect_nearby_sum,0.0,55
gradient_boosting,,num__location_quality_x_detail_effect_total,0.0,56
