room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
4.5+1,1,0.33979318850398516,0.33979318850398516,18826.3775263387,18826.3775263387,55405.4,36579.0224736613
3.5+1,5,0.3029437528801501,0.2992629123234014,12061.670755520081,8095.941611310238,40717.10400000001,37619.10740491607
2+2,1,0.25765974576539746,0.25765974576539746,15060.392501809518,15060.392501809518,58450.7,43390.30749819048
4+2,2,0.2553185028721241,0.2553185028721241,6161.063525746709,6161.063525746709,25953.489999999998,32114.55352574671
3+2,3,0.2453811869250111,0.20219552109393035,6552.157635998107,6318.6100341853235,27662.906666666666,34215.064302664774
2.5+1,3,0.1461767500858759,0.09506283781772037,4904.044295221019,4413.6316200186775,36391.94,36301.465727166295
5+1,7,0.13743036686003965,0.1410868752026358,6033.118350795359,5038.817576180743,35493.864285714284,32601.52661251148
1+1,49,0.13052761054939047,0.11481514376221733,6188.3661790063,5635.622910756654,47964.283673469385,47852.6302452378
1.5+1,6,0.12960684540270542,0.15904816213308767,5927.911691952438,7293.55801975913,45062.78,41885.828136466815
4+1,147,0.12314015815270664,0.09668551587271963,4260.352098720842,3204.959295669785,33158.81265306122,32826.33850366322
2+1,353,0.10991225734535091,0.08279306266533373,4110.340032743941,3163.3893191407915,37658.529291784704,37389.8568732566
3+1,574,0.10706127445872303,0.08029462282166414,3912.19646008519,2837.055772003052,36307.20576655052,35914.50352437413
5.5+1,1,0.057826974905381606,0.057826974905381606,1823.3729940382873,1823.3729940382873,31531.53,29708.15700596171
