district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,1.0778067665502615,20273.027931562476
Kayacık Mh.,16-20 arası,126-150,1,0.6229651791505346,18259.32120906308
4 Temmuz Mah.,26-30 arası,76-100,1,0.4686340352739644,10934.792594279053
4 Temmuz Mah.,31 ve üzeri,0-75,1,0.45412275466393975,13018.18714744212
Dereköy Mh.,16-20 arası,126-150,1,0.39372063299481297,9985.668684617005
Kayacık Mh.,6-10 arası,200+,1,0.39010234813249606,13503.54101949864
Kayacık Mh.,2,151-200,1,0.3634829908418504,26192.155410134546
Kayacık Mh.,21-25 arası,76-100,1,0.3564110696059848,11067.501072378891
Dereköy Mh.,11-15 arası,200+,1,0.3551371055552397,14814.29221089188
Tepeköy Mh.,6-10 arası,151-200,1,0.35143883925439473,21588.385337857333
4 Temmuz Mah.,31 ve üzeri,151-200,2,0.3309065618634294,8047.51172826175
Kayacık Mh.,11-15 arası,101-125,1,0.32908065895203253,13026.108319915758
Kayacık Mh.,11-15 arası,200+,3,0.3140999078905212,10417.514201958438
4 Temmuz Mah.,0 (Oturuma Hazır),126-150,2,0.30637635634193194,19471.739663410513
Kayacık Mh.,16-20 arası,151-200,2,0.28215996887659195,9624.742612326318
4 Temmuz Mah.,4,200+,1,0.27800758106682183,9822.933604335769
Kayacık Mh.,26-30 arası,200+,2,0.2639400697757637,16142.17528905567
4 Temmuz Mah.,6-10 arası,151-200,4,0.26364055599426356,14315.673612613384
Kayacık Mh.,6-10 arası,76-100,1,0.2630792467562026,15653.215181994055
4 Temmuz Mah.,26-30 arası,126-150,1,0.250852606109967,6753.724782507132
4 Temmuz Mah.,2,126-150,1,0.24928557630003043,14957.132085146062
Ereğli Mh.,11-15 arası,200+,1,0.24606160018508622,11262.049973039255
4 Temmuz Mah.,21-25 arası,101-125,1,0.22798749995654793,7150.517873137185
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.22665085059289047,11529.830604468621
Tepeköy Mh.,0 (Oturuma Hazır),76-100,1,0.2063224313203243,8361.488874865485
4 Temmuz Mah.,2,151-200,1,0.20010030539022244,9067.045087994455
4 Temmuz Mah.,4,151-200,1,0.19971220580556484,6989.927203194769
Tepeköy Mh.,21-25 arası,0-75,1,0.19806157856620807,8582.667744330422
4 Temmuz Mah.,5,101-125,1,0.18337968088413312,9933.066659156146
Kayacık Mh.,16-20 arası,101-125,2,0.18261631331909173,5544.944743005844
Kayacık Mh.,31 ve üzeri,0-75,1,0.1714610897859932,7429.979985856073
4 Temmuz Mah.,6-10 arası,200+,6,0.16975042525459585,6139.324645558484
4 Temmuz Mah.,6-10 arası,101-125,4,0.16034543709956742,4797.71718249714
4 Temmuz Mah.,6-10 arası,126-150,5,0.15925621272874732,5806.6989403934185
Kayacık Mh.,0 (Oturuma Hazır),76-100,1,0.1540807285010817,6082.133371018579
Kayacık Mh.,5,101-125,1,0.14859357582696664,7786.303373333052
4 Temmuz Mah.,0 (Oturuma Hazır),151-200,2,0.1306112554282427,5830.679597165687
4 Temmuz Mah.,6-10 arası,76-100,2,0.1302522666720709,5623.247784419607
4 Temmuz Mah.,11-15 arası,200+,3,0.12937836607384798,3970.454265635702
Kayacık Mh.,0 (Oturuma Hazır),126-150,6,0.1238001360691951,7322.975074054124
Ereğli Mh.,26-30 arası,76-100,1,0.12362403564320511,5779.423666319839
Kayacık Mh.,0 (Oturuma Hazır),0-75,4,0.1200494101046291,6008.539732263163
Kayacık Mh.,0 (Oturuma Hazır),101-125,2,0.11483046184770467,4937.34181043243
Ereğli Mh.,11-15 arası,151-200,1,0.1117061245810669,4864.621878644888
Kayacık Mh.,0 (Oturuma Hazır),151-200,4,0.10795633785721187,7913.438069156851
4 Temmuz Mah.,31 ve üzeri,76-100,4,0.10203624265401139,3088.7738415577414
4 Temmuz Mah.,0 (Oturuma Hazır),76-100,2,0.08674201337286512,4053.756126879027
Kayacık Mh.,11-15 arası,151-200,2,0.08273272816486321,3662.2577003948536
4 Temmuz Mah.,0 (Oturuma Hazır),101-125,5,0.07532158687684995,4060.6925968133874
Kayacık Mh.,5,76-100,1,0.07448048277058787,3242.0914715188555
Ereğli Mh.,0 (Oturuma Hazır),76-100,1,0.06977547305114964,3558.5491256086316
4 Temmuz Mah.,11-15 arası,151-200,6,0.06302835656255196,2523.1607749808522
Kayacık Mh.,6-10 arası,101-125,2,0.06280462759090573,3261.437762596732
4 Temmuz Mah.,26-30 arası,151-200,1,0.042875370580523875,1138.8770310451655
Ereğli Mh.,0 (Oturuma Hazır),200+,3,0.04218303622673577,1576.928979121835
Kayacık Mh.,6-10 arası,151-200,3,0.04142136740514272,2292.2718447278894
4 Temmuz Mah.,11-15 arası,126-150,3,0.032426800316421325,1393.576684986103
4 Temmuz Mah.,16-20 arası,151-200,1,0.028617364194405748,1220.4464478406735
Kayacık Mh.,1,0-75,1,0.017928599321634275,979.177264818798
Ereğli Mh.,0 (Oturuma Hazır),151-200,1,0.01226720205919733,552.0240926638799
Dereköy Mh.,6-10 arası,151-200,1,0.0037223866374283985,119.28339588613017
4 Temmuz Mah.,4,101-125,1,0.0019051528969599696,78.58755699959875
